,Equity_x,stock_name,Equity_y,Sector
121,9,AU Small Financ,AU Small Financ,Banking & Financial Services
122,8,Idea Cellular,Idea Cellular,Telecommunication
123,8,Laurus Labs,Laurus Labs,Pharmaceuticals
124,8,M&M; Financial,M&M; Financial,Banking & Financial Services
125,8,IDFC,IDFC,Banking & Financial Services
126,8,Dr Lal PathLab,Dr Lal PathLab,Pharmaceuticals
127,8,Amara Raja Batt,Amara Raja Batt,Automotive
128,8,Nestle,Nestle,Food & Beverages
129,8,Thermax,Thermax,Engineering & Capital Goods
130,8,Capital First,Capital First,Banking & Financial Services
131,8,CRISIL,CRISIL,Miscellaneous
132,8,SKF India,SKF India,Engineering & Capital Goods
133,8,Solar Ind,Solar Ind,Chemicals
134,8,Apollo Tyres,Apollo Tyres,Automotive
135,8,Exide Ind,Exide Ind,Automotive
136,8,Bata India,Bata India,Consumer Non-durables
137,8,BEML,BEML,Engineering & Capital Goods
138,8,Bayer CropScien,Bayer CropScien,Chemicals
139,8,MRPL,MRPL,Oil & Gas
140,8,United Brewerie,United Brewerie,Food & Beverages
141,8,Aarti Ind,Aarti Ind,Chemicals
142,8,Schaeffler Ind,Schaeffler Ind,Engineering & Capital Goods
143,8,Tata Power,Tata Power,Utilities
144,7,JK Lakshmi Cem,JK Lakshmi Cem,Cement & Construction
145,7,BSE Limited,BSE Limited,Miscellaneous
146,7,Century,Century,Conglomerates
147,7,Alkem Lab,Alkem Lab,Pharmaceuticals
148,7,Tata Elxsi,Tata Elxsi,Information Technology
149,7,HUDCO,HUDCO,Retail & Real Estate
150,7,Biocon,Biocon,Pharmaceuticals
151,7,Guj State Petro,Guj State Petro,Oil & Gas
152,7,Godrej Ind,Godrej Ind,Consumer Non-durables
153,6,GRUH Finance,GRUH Finance,Banking & Financial Services
154,6,Sadbhav Engg,Sadbhav Engg,Engineering & Capital Goods
155,6,Manpasand Bever,Manpasand Bever,Food & Beverages
156,6,Sun Pharma Adv,Sun Pharma Adv,Pharmaceuticals
157,6,Tata Global Bev,Tata Global Bev,Food & Beverages
158,6,Tata Chemicals,Tata Chemicals,Chemicals
159,6,Tata Comm,Tata Comm,Telecommunication
160,6,Raymond,Raymond,Manufacturing
161,6,Aegis Logistics,Aegis Logistics,Services
162,6,Dewan Housing,Dewan Housing,Banking & Financial Services
163,6,Oracle Fin Serv,Oracle Fin Serv,Information Technology
164,6,Ajanta Pharma,Ajanta Pharma,Pharmaceuticals
165,6,Akzo Nobel,Akzo Nobel,Chemicals
166,6,Voltas,Voltas,Conglomerates
167,6,Yuken India,Yuken India,Engineering & Capital Goods
168,6,Shankara Buildi,Shankara Buildi,Miscellaneous
169,6,Mindtree,Mindtree,Information Technology
170,6,GE T&D; India,GE T&D; India,Engineering & Capital Goods
171,6,REC,REC,Banking & Financial Services
172,6,Shriram Trans,Shriram Trans,Banking & Financial Services
173,6,GlaxoSmith Con,GlaxoSmith Con,Food & Beverages
174,6,J. K. Cement,J. K. Cement,Cement & Construction
175,6,Aditya Birla F,Aditya Birla F,Retail & Real Estate
176,5,Future Retail,Future Retail,Retail & Real Estate
177,5,INOX Leisure,INOX Leisure,Media & Entertainment
178,5,Motilal Oswal,Motilal Oswal,Banking & Financial Services
179,5,Indiabulls,Indiabulls,Banking & Financial Services
180,5,SAIL,SAIL,Metals & Mining
181,5,CCL Products,CCL Products,Food & Beverages
182,5,Rel Capital,Rel Capital,Banking & Financial Services
183,5,VIP Industries,VIP Industries,Manufacturing
184,5,Minda Ind,Minda Ind,Automotive
185,5,SREI Infra,SREI Infra,Banking & Financial Services
186,5,Dilip Buildcon,Dilip Buildcon,Cement & Construction
187,5,Sintex Plastics,Sintex Plastics,Manufacturing
188,4,CG Power ,CG Power ,Engineering & Capital Goods
189,4,eClerx Services,eClerx Services,Information Technology
190,4,Relaxo Footwear,Relaxo Footwear,Consumer Non-durables
191,4,JSW Steel,JSW Steel,Metals & Mining
192,4,Equitas Holding,Equitas Holding,Banking & Financial Services
193,4,Va Tech Wabag,Va Tech Wabag,Engineering & Capital Goods
194,4,Ipca Labs,Ipca Labs,Pharmaceuticals
195,4,MphasiS,MphasiS,Information Technology
196,4,TI Financial,TI Financial,Miscellaneous
197,4,Syngene Intl,Syngene Intl,Miscellaneous
198,4,Bajaj Electric,Bajaj Electric,Consumer Durables
199,4,Grindwell Norto,Grindwell Norto,Engineering & Capital Goods
