fundname,code,link,Do_Not_Use
Edelweiss LCAF - A (G),MEW041,/mutual-funds/nav/edelweiss-lcaf-a/MEW041,
IDBI India Top 100 Eqty -Direct (G),MIB092,/mutual-funds/nav/idbi-india-top-100-eqty-direct/MIB092,
BNP Paribas Equity Fund (G),MAB001,/mutual-funds/nav/bnp-paribas-equity-fund/MAB001,
Principal Large Cap Fund (G),MID094,/mutual-funds/nav/principal-large-cap-fund/MID094,
Motilal MOSt Focused 25 - RP (G),MMO009,/mutual-funds/nav/motilal-most-focused-25-rp/MMO009,
UTI Mastershare - Direct (G),MUT639,/mutual-funds/nav/uti-mastershare-direct/MUT639,
Reliance Focused Large Cap-Dir (G),MRC911,/mutual-funds/nav/reliance-focused-large-cap-dir/MRC911,
Tata Large Cap Fund  - Regular Plan (G),MTA006,/mutual-funds/nav/tata-large-cap-fund-regular-plan/MTA006,
Canara Robeco Large Cap+-Direct (G),MCA212,/mutual-funds/nav/canara-robeco-large-cap+-direct/MCA212,
Franklin India Bluechip (G),MKP001,/mutual-funds/nav/franklin-india-bluechip/MKP001,
HSBC Dynamic Fund (G),MHS139,/mutual-funds/nav/hsbc-dynamic-fund/MHS139,
Kotak 50 - Regular Plan (G),MKM003,/mutual-funds/nav/kotak-50-regular-plan/MKM003,
SBI Blue Chip Fund - Direct (G),MSB532,/mutual-funds/nav/sbi-blue-chip-fund-direct/MSB532,
UTI Mastershare (G),MUT051,/mutual-funds/nav/uti-mastershare/MUT051,
Reliance Focused Large Cap - RP (G),MRC103,/mutual-funds/nav/reliance-focused-large-cap-rp/MRC103,
L&T; India Large Cap - Direct (G),MCC293,/mutual-funds/nav/l-t-india-large-cap-direct/MCC293,
Invesco India Bus-Leaders (G),MLI339,/mutual-funds/nav/invesco-india-bus-leaders/MLI339,
LIC Growth Fund -Direct (G),MJB161,/mutual-funds/nav/lic-growth-fund-direct/MJB161,
Reliance Vision Fund - Direct (D),MRC945,/mutual-funds/nav/reliance-vision-fund-direct/MRC945,
Canara Robeco Large Cap+ (G),MCA174,/mutual-funds/nav/canara-robeco-large-cap+/MCA174,
IDBI India Top 100 Equity Fund (G),MIB062,/mutual-funds/nav/idbi-india-top-100-equity-fund/MIB062,
SBI Blue Chip Fund (G),MSB079,/mutual-funds/nav/sbi-blue-chip-fund/MSB079,
UTI Opportunities Fund - Direct (G),MUT635,/mutual-funds/nav/uti-opportunities-fund-direct/MUT635,
L&T; India Large Cap Fund (G),MFF027,/mutual-funds/nav/l-t-india-large-cap-fund/MFF027,
DSP BR Focus 25 Fund -Direct (G),MDS588,/mutual-funds/nav/dsp-br-focus-25-fund-direct/MDS588,
ICICI Pru Select Large Cap Fund - DP (G),MPI1124,/mutual-funds/nav/icici-pru-select-large-cap-fund-dp/MPI1124,
UTI Opportunities Fund (G),MUT072,/mutual-funds/nav/uti-opportunities-fund/MUT072,
LIC Growth Fund (G),MJB009,/mutual-funds/nav/lic-growth-fund/MJB009,
DSP BR Focus 25 Fund (G),MDS281,/mutual-funds/nav/dsp-br-focus-25-fund/MDS281,
Union Trigger Fund - Sr2-DP (G),MUK094,/mutual-funds/nav/union-trigger-fund-sr2-dp/MUK094,
DSP-BR Top 100 Equity - Direct (G),MDS568,/mutual-funds/nav/dsp-br-top-100-equity-direct/MDS568,
ICICI Pru Select Large Cap Fund - RP (G),MPI643,/mutual-funds/nav/icici-pru-select-large-cap-fund-rp/MPI643,
UTI Equity Fund - Direct (G),MUT651,/mutual-funds/nav/uti-equity-fund-direct/MUT651,
Edelweiss Prudent Advantage - Direct (G),MEW086,/mutual-funds/nav/edelweiss-prudent-advantage-direct/MEW086,
SBI Magnum Equity Fund - Direct (G),MSB511,/mutual-funds/nav/sbi-magnum-equity-fund-direct/MSB511,
Edelweiss Prudent Advantage Fund (G),MEW053,/mutual-funds/nav/edelweiss-prudent-advantage-fund/MEW053,
UTI Equity Fund (G),MUT009,/mutual-funds/nav/uti-equity-fund/MUT009,
Edelweiss Prudent Advantage - Plan B (G),MEW047,/mutual-funds/nav/edelweiss-prudent-advantage-plan-b/MEW047,
Union Trigger Fund - Sr2-RP (G),MUK093,/mutual-funds/nav/union-trigger-fund-sr2-rp/MUK093,
DSP-BR Top 100 Equity - RP (G),MDS018,/mutual-funds/nav/dsp-br-top-100-equity-rp/MDS018,
SBI Magnum Equity Fund (G),MSB085,/mutual-funds/nav/sbi-magnum-equity-fund/MSB085,
DHFL Pramerica BAF -Direct (G),MDE513,/mutual-funds/nav/dhfl-pramerica-baf-direct/MDE513,
Sundaram Equity Plus -Direct (G),MSN551,/mutual-funds/nav/sundaram-equity-plus-direct/MSN551,
DHFL Pramerica BAF - RP (G),MDE029,/mutual-funds/nav/dhfl-pramerica-baf-rp/MDE029,
DHFL Pramerica BAF -WP (G),MDE262,/mutual-funds/nav/dhfl-pramerica-baf-wp/MDE262,
Sundaram Equity Plus (G),MSN431,/mutual-funds/nav/sundaram-equity-plus/MSN431,
DHFL Pramerica BAF - RP (QD),MDE1627,/mutual-funds/nav/dhfl-pramerica-baf-rp-qd-/MDE1627,
DHFL Pramerica BAF - RP (MD),MDE1626,/mutual-funds/nav/dhfl-pramerica-baf-rp-md-/MDE1626,
DHFL Pramerica Large Cap Equity -Dir (G),MPA041,/mutual-funds/nav/dhfl-pramerica-large-cap-equity-dir/MPA041,
DHFL Pramerica Large Cap Equity (G),MPA011,/mutual-funds/nav/dhfl-pramerica-large-cap-equity/MPA011,
Indiabulls Blue Chip Fund - Dir (HD),MIM103,/mutual-funds/nav/indiabulls-blue-chip-fund-dir-hd-/MIM103,
Indiabulls Blue Chip Fund (MD),MIM107,/mutual-funds/nav/indiabulls-blue-chip-fund-md-/MIM107,
Indiabulls Blue Chip Fund - Dir (QD),MIM105,/mutual-funds/nav/indiabulls-blue-chip-fund-dir-qd-/MIM105,
Indiabulls Blue Chip Fund (HD),MIM106,/mutual-funds/nav/indiabulls-blue-chip-fund-hd-/MIM106,
Indiabulls Blue Chip Fund - (QD),MIM111,/mutual-funds/nav/indiabulls-blue-chip-fund-qd-/MIM111,
Indiabulls Blue Chip Fund - Dir (MD),MIM104,/mutual-funds/nav/indiabulls-blue-chip-fund-dir-md-/MIM104,
