fundname,code,link,Do_Not_Use
A & M Febcon,F03,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03,
A F Ent,AFE01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01,
A Infra.,AI74,http://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/ainfrastructure/AI74,
A K S Credits,AKS,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS,
A K Spintex,AKS01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01,
A P T Yarns,APT01,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aptyarns/APT01,
A.K.Capital Ser,AKC01,http://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01,
A2Z Infra Eng,AME02,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,
Aachal Alloys,AA,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aachalalloys/AA,
Aadhaar Venture,PI37,http://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37,
Aadi Industries,AI63,http://www.moneycontrol.com/india/stockpricequote/plastics/aadiindustries/AI63,
Aagam Capital,PC18,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18,
Aakar Engg & Mf,AEM,http://www.moneycontrol.com/india/stockpricequote/engineering/aakarengineeringmanufacturingcompany/AEM,
Aamcol Tools,AT01,http://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01,
Aananda Lakshmi,ALS,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aanandalakshmispinningmills/ALS,
Aanchal Ispat,AI36,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36,
Aankit Granites,AGL,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/aankitgranites/AGL,
AAR COMMERCIAL ,AAR,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR,
Aarey Drugs,ADP,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP,
Aarti Drugs,AD,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,
Aarti Ind,AI45,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,
AARV Infratel,N05,http://www.moneycontrol.com/india/stockpricequote/textilesmanmade/aarvinfratel/N05,
Aarvee Denim,ADE,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE,
Aarvi Encon,AE19,http://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19,
Aarya Global,KIF02,http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/aaryaglobalsharessecurities/KIF02,
Aashee Infotech,SRO01,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/aasheeinfotech/SRO01,
Aasheesh Sec,AS12,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12,
Aaswa Trading,ATE02,http://www.moneycontrol.com/india/stockpricequote/trading/aaswatradingexports/ATE02,
Aayush Food ,AFH01,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aayushfoodherbs/AFH01,
AB Corp,ABC05,http://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05,
AB Nuvo,ABN01,http://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01,
Abacus Computer,AC,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abacuscomputers/AC,
Aban Offshore,AO04,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,
ABans Enterpris,MST03,http://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03,
ABB India,ABB,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,
Abbott India,AI51,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,
ABC Bearings,ABC02,http://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02,
ABC Gas,BE05,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05,
ABC India,ABC,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC,
Abco Plastic,AP17,http://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17,
Abee Printer,APR01,http://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01,
ABG Shipyard,ABG01,http://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01,
Abhijit Trading,ATC01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01,
Abhinav Capital,ACS04,http://www.moneycontrol.com/india/stockpricequote/financegeneral/abhinavcapitalservices/ACS04,
Abhinav Leasing,ALF03,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03,
Abhishek Corp,AC22,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22,
Abhishek Finle,AF32,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhishekfinlease/AF32,
Abhishek Infra,AI73,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73,
Abirami Finance,AFS,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS,
ABL Biotech,ABL,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ablbiotechnologies/ABL,
ABM Inter,ABM02,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02,
ABM Knowledg,ABM,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM,
ABN Granites,ABN,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/abngranites/ABN,
Abner Pharma,AP01,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01,
ACC,ACC06,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,
Accel Frontline,AF29,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelfrontline/AF29,
Accel Transmati,AT17,http://www.moneycontrol.com/india/stockpricequote/computershardware/acceltransmatic/AT17,
Accelya Kale,KAL,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL,
Accentia Techno,AT19,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accentiatechnologies/AT19,
Acclaim Ind,EP12,http://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12,
Accord Synergy,AS22,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22,
Accurate Exp,AE12,http://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12,
