Equity,Sector,Qty,Value,%,Fund_Name,Fund_Code,Time_Stamp
Kotak Mahindra,Banking & Financial Services,"204,000.00",19.91,5.09,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
IOC,Oil & Gas,"424,000.00",19.28,4.93,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
IndusInd Bank,Banking & Financial Services,"104,000.00",17.23,4.40,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Maruti Suzuki,Automotive,"22,000.00",16.94,4.33,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Astral Poly Tec,Manufacturing,"234,000.00",16.06,4.11,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Kajaria Ceramic,Cement & Construction,"224,000.00",15.72,4.02,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
MRF,Automotive,"2,440.00",15.64,4.00,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Titan Company,Miscellaneous,"244,000.00",15.06,3.85,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
RBL Bank,Banking & Financial Services,"274,000.00",14.92,3.81,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Petronet LNG,Oil & Gas,"640,000.00",14.54,3.72,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Minda Ind,Automotive,"168,000.00",14.19,3.63,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Eicher Motors,Automotive,"4,400.00",13.84,3.54,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Dollar Ind,Manufacturing,"290,000.00",13.84,3.54,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
PNB Housing Fin,Banking & Financial Services,"84,000.00",13.73,3.51,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
CDSL,Banking & Financial Services,"400,000.00",13.53,3.46,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Avenue Supermar,Retail & Real Estate,"128,000.00",13.31,3.40,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Eris Life,Pharmaceuticals,"220,000.00",13.00,3.32,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
SREI Infra,Banking & Financial Services,"1,000,000.00",12.83,3.28,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Infosys,Information Technology,"134,000.00",12.26,3.13,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Bharat Elec,Manufacturing,"640,000.00",12.16,3.11,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Bajaj Finance,Banking & Financial Services,"68,000.00",12.12,3.10,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
SIS,Miscellaneous,"154,000.00",11.94,3.05,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
South Ind Bk,Banking & Financial Services,"4,000,000.00",11.14,2.85,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Skipper,Miscellaneous,"508,000.00",10.78,2.76,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
Sagar Cement,Cement & Construction,"104,000.00",8.84,2.26,IDFC Imperial Equity - Direct (G),MAG727,2017-10-05 16:02:48.115000
