Equity,Sector,Qty,Value,%,Fund_Name,Fund_Code,Time_Stamp
Max Financial,Manufacturing,"947,900.00",57.02,3.61,L and T growth,MCC087,4/10/2017
Sterlite Techno,Telecommunication,"1,668,200.00",36.83,2.33,L and T growth,MCC087,4/10/2017
Future Life,Retail & Real Estate,"1,004,600.00",36.19,2.29,L and T growth,MCC087,4/10/2017
Rane Holdings,Automotive,"204,957.00",32.67,2.07,L and T growth,MCC087,4/10/2017
Future Retail,Retail & Real Estate,"603,700.00",32.31,2.04,L and T growth,MCC087,4/10/2017
Mah Seamless,Metals & Mining,"738,378.00",31.61,2,L and T growth,MCC087,4/10/2017
Carborundum,Engineering & Capital Goods,"887,000.00",31.34,1.98,L and T growth,MCC087,4/10/2017
Amara Raja Batt,Automotive,"400,000.00",31.13,1.97,L and T growth,MCC087,4/10/2017
Dalmia Bharat,Cement & Construction,"113,611.00",30.82,1.95,L and T growth,MCC087,4/10/2017
Coromandel Int,Chemicals,"683,900.00",30.28,1.91,L and T growth,MCC087,4/10/2017
Somany Ceramics,Cement & Construction,"374,509.00",29.79,1.88,L and T growth,MCC087,4/10/2017
Lakshmi Machine,Engineering & Capital Goods,"48,300.00",29.47,1.86,L and T growth,MCC087,4/10/2017
AIA Engineering,Engineering & Capital Goods,"224,174.00",29.39,1.86,L and T growth,MCC087,4/10/2017
Max Financial,Manufacturing,"2,081,700.00",29.09,1.84,L and T growth,MCC087,4/10/2017
Indian Bank,Banking & Financial Services,"998,100.00",28.59,1.81,L and T growth,MCC087,4/10/2017
City Union Bank,Banking & Financial Services,"1,782,300.00",28.32,1.79,L and T growth,MCC087,4/10/2017
Godrej Prop,Retail & Real Estate,"483,460.00",28.02,1.77,L and T growth,MCC087,4/10/2017
Trent,Retail & Real Estate,"936,700.00",27.9,1.76,L and T growth,MCC087,4/10/2017
Sobha,Retail & Real Estate,"706,046.00",27.78,1.76,L and T growth,MCC087,4/10/2017
Avanti Feeds,Miscellaneous,"149,483.00",27.62,1.75,L and T growth,MCC087,4/10/2017
Navkar Corp,Services,"1,274,800.00",25.2,1.59,L and T growth,MCC087,4/10/2017
Dollar Ind,Manufacturing,"515,190.00",24.58,1.55,L and T growth,MCC087,4/10/2017
Aarti Ind,Chemicals,"275,800.00",23.94,1.51,L and T growth,MCC087,4/10/2017
Supreme Petro,Chemicals,"666,000.00",23.68,1.5,L and T growth,MCC087,4/10/2017
NOCIL,Chemicals,"1,667,300.00",23.72,1.5,L and T growth,MCC087,4/10/2017
Mirza Intl,Consumer Non-durables,"1,396,200.00",22.3,1.41,L and T growth,MCC087,4/10/2017
IIFL Holdings,Banking & Financial Services,"346,544.00",21.51,1.36,L and T growth,MCC087,4/10/2017
Ramco Cements,Cement & Construction,"310,800.00",21.47,1.36,L and T growth,MCC087,4/10/2017
DCB Bank,Banking & Financial Services,"1,161,000.00",21.33,1.35,L and T growth,MCC087,4/10/2017
AksharChem,Chemicals,"278,980.00",21.05,1.33,L and T growth,MCC087,4/10/2017
Swaraj Engines,Engineering & Capital Goods,"105,997.00",21.02,1.33,L and T growth,MCC087,4/10/2017
Sterling Tools,Manufacturing,"916,241.00",20.95,1.33,L and T growth,MCC087,4/10/2017
Jamna Auto,Automotive,"838,900.00",20.73,1.31,L and T growth,MCC087,4/10/2017
Triveni Turbine,Engineering & Capital Goods,"1,536,000.00",20.37,1.29,L and T growth,MCC087,4/10/2017
Supreme Ind,Manufacturing,"168,800.00",20.28,1.28,L and T growth,MCC087,4/10/2017
RSWM,Manufacturing,"594,500.00",20,1.26,L and T growth,MCC087,4/10/2017
Sunteck Realty,Retail & Real Estate,"769,919.00",19.87,1.26,L and T growth,MCC087,4/10/2017
Savita Oil Tech,Chemicals,"172,557.00",19.46,1.23,L and T growth,MCC087,4/10/2017
EngineersInd,Engineering & Capital Goods,"1,215,000.00",18.89,1.19,L and T growth,MCC087,4/10/2017
NALCO,Metals & Mining,"2,451,700.00",17.71,1.12,L and T growth,MCC087,4/10/2017
KPR Mill,Manufacturing,"224,898.00",17.07,1.08,L and T growth,MCC087,4/10/2017
Oriental Carbon,Chemicals,"137,860.00",16.89,1.07,L and T growth,MCC087,4/10/2017
IFGL Refractory,Cement & Construction,"550,277.00",15.77,1,L and T growth,MCC087,4/10/2017
Techno Electric,Engineering & Capital Goods,"417,000.00",15.19,0.96,L and T growth,MCC087,4/10/2017
Skipper,Miscellaneous,"705,636.00",14.98,0.95,L and T growth,MCC087,4/10/2017
Rico Auto,Automotive,"2,003,700.00",14.64,0.93,L and T growth,MCC087,4/10/2017
EIH,Services,"1,090,400.00",14.67,0.93,L and T growth,MCC087,4/10/2017
Wim Plast,Manufacturing,"106,352.00",14.73,0.93,L and T growth,MCC087,4/10/2017
WABCO India,Automotive,"26,906.00",14.77,0.93,L and T growth,MCC087,4/10/2017
Orient Paper,Conglomerates,"1,471,465.00",14.5,0.92,L and T growth,MCC087,4/10/2017
Deepak Nitrite,Chemicals,"805,200.00",14.38,0.91,L and T growth,MCC087,4/10/2017
Apar Ind,Miscellaneous,"184,200.00",14.33,0.91,L and T growth,MCC087,4/10/2017
TVS Srichakra,Automotive,"37,900.00",12.52,0.79,L and T growth,MCC087,4/10/2017
Indian Hume,Cement & Construction,"204,833.00",11.94,0.75,L and T growth,MCC087,4/10/2017
Sudarshan Chem,Chemicals,"317,575.00",11.81,0.75,L and T growth,MCC087,4/10/2017
Ent Network Ind,Media & Entertainment,"141,395.00",11.75,0.74,L and T growth,MCC087,4/10/2017
Astra Microwave,Telecommunication,"902,300.00",11.76,0.74,L and T growth,MCC087,4/10/2017
Arihant Super,Banking & Financial Services,"623,675.00",11.57,0.73,L and T growth,MCC087,4/10/2017
Aegis Logistics,Services,"592,398.00",11.23,0.71,L and T growth,MCC087,4/10/2017
Tamil Newsprint,Manufacturing,"311,088.00",10.41,0.66,L and T growth,MCC087,4/10/2017
Centum Electron,Manufacturing,"135,539.00",9.01,0.57,L and T growth,MCC087,4/10/2017
Deccan Cements,Cement & Construction,"47,400.00",5.25,0.33,L and T growth,MCC087,4/10/2017
Ballarpur Ind,Manufacturing,"1,808,863.00",2.47,0.16,L and T growth,MCC087,4/10/2017
Dhunseri Tea,Food & Beverages,"71,562.00",2,0.13,L and T growth,MCC087,4/10/2017
Westlife Dev,Banking & Financial Services,"1,805,374.00",45.1,6.2,L and T growth,MCC087,4/10/2017
Orient Refract,Cement & Construction,"2,500,000.00",37.55,5.16,L and T growth,MCC087,4/10/2017
Relaxo Footwear,Consumer Non-durables,"700,000.00",35.69,4.91,L and T growth,MCC087,4/10/2017
Graphite India,Engineering & Capital Goods,"1,270,000.00",33.31,4.58,L and T growth,MCC087,4/10/2017
Atul,Chemicals,"150,000.00",32.76,4.5,L and T growth,MCC087,4/10/2017
Elgi Equipments,Engineering & Capital Goods,"1,400,000.00",31.55,4.34,L and T growth,MCC087,4/10/2017
Greenply Ind,Miscellaneous,"1,100,000.00",30.15,4.14,L and T growth,MCC087,4/10/2017
Solar Ind,Chemicals,"330,000.00",29.17,4.01,L and T growth,MCC087,4/10/2017
Kirloskar Ind,Engineering & Capital Goods,"770,000.00",28.62,3.93,L and T growth,MCC087,4/10/2017
Hawkins Cooker,Consumer Durables,"95,619.00",25.74,3.54,L and T growth,MCC087,4/10/2017
Gabriel India,Automotive,"1,500,000.00",25.58,3.52,L and T growth,MCC087,4/10/2017
Thangamayil,Services,"700,000.00",23.89,3.28,L and T growth,MCC087,4/10/2017
Sheela Foam,Miscellaneous,"170,000.00",22.74,3.13,L and T growth,MCC087,4/10/2017
NESCO,Conglomerates,"90,000.00",21.28,2.93,L and T growth,MCC087,4/10/2017
Ganesha Ecosph,Manufacturing,"606,690.00",20.95,2.88,L and T growth,MCC087,4/10/2017
Power Mech,Engineering & Capital Goods,"370,000.00",19.62,2.7,L and T growth,MCC087,4/10/2017
Fairchem Spec,Chemicals,"470,000.00",19.58,2.69,L and T growth,MCC087,4/10/2017
Himadri Special,Chemicals,"1,710,000.00",17.97,2.47,L and T growth,MCC087,4/10/2017
Divis Labs,Pharmaceuticals,"247,552.00",17.24,2.37,L and T growth,MCC087,4/10/2017
Avanti Feeds,Miscellaneous,"90,000.00",16.63,2.29,L and T growth,MCC087,4/10/2017
KCP,Cement & Construction,"1,364,800.00",16.1,2.21,L and T growth,MCC087,4/10/2017
