,Equity ,PE,Industry
Aarti Ind,30,,Chemicals
Somany Ceramics,30,,Cement & Construction
Indian Terrain,30,,Manufacturing
Century,28,,Conglomerates
Tata Steel,28,,Metals & Mining
Shanthi Gears,28,,Engineering & Capital Goods
GlaxoSmith Con,28,,Food & Beverages
Kajaria Ceramic,28,,Cement & Construction
Vesuvius India,28,,Cement & Construction
Bata India,28,,Consumer Non-durables
Monsanto India,28,,Chemicals
Siemens,28,,Engineering & Capital Goods
HT Media,28,,Media & Entertainment
Mold-Tek Pack,28,,Manufacturing
Shriram Trans,28,16.56,Banking & Financial Services
Greenply Ind,28,,Miscellaneous
SML Isuzu,28,,Automotive
KNR Construct,28,,Cement & Construction
Dr Lal PathLab,28,,Pharmaceuticals
TD Power System,26,,Engineering & Capital Goods
Oracle Fin Serv,26,,Information Technology
Endurance Techn,26,,Automotive
Swaraj Engines,26,,Engineering & Capital Goods
SBI,26,108.02,Banking & Financial Services
Page Industries,26,,Manufacturing
Havells India,26,,Engineering & Capital Goods
Future Retail,26,50.88,Retail & Real Estate
Canara Bank,26,17.36,Banking & Financial Services
INEOS Styro,26,,Chemicals
PNB Housing Fin,26,41.52,Banking & Financial Services
Ent Network Ind,26,,Media & Entertainment
Piramal Enter,26,,Pharmaceuticals
CG Power ,26,,Engineering & Capital Goods
ZF Steering Gea,26,,Automotive
Akzo Nobel,26,,Chemicals
Shriram City,26,25,Banking & Financial Services
Cadila Health,26,,Pharmaceuticals
Centum Electron,26,,Manufacturing
Union Bank,26,18.98,Banking & Financial Services
Bharat Forge,26,,Manufacturing
Ingersoll Rand,26,,Engineering & Capital Goods
CG Consumer,24,,Manufacturing
Balkrishna Ind,24,,Automotive
Dhanuka Agritec,24,,Chemicals
Eveready Ind,24,,Consumer Non-durables
J Kumar Infra,24,,Cement & Construction
Taj GVK Hotels,24,,Services
Sun Pharma,24,,Pharmaceuticals
IIFL Holdings,24,24.91,Banking & Financial Services
Chennai Petro,24,,Oil & Gas
Tata Global Bev,24,,Food & Beverages
Ipca Labs,24,,Pharmaceuticals
Triveni Engg,24,,Food & Beverages
Pennar Eng,24,,Miscellaneous
Madhucon Proj,24,,Cement & Construction
Elgi Equipments,24,,Engineering & Capital Goods
Advanced Enzyme,24,,Pharmaceuticals
Capital First,24,30.7,Banking & Financial Services
Bharat Fin,24,723.27,Banking & Financial Services
KEI Industries,24,,Engineering & Capital Goods
Unichem Labs,24,,Pharmaceuticals
Tata Elxsi,24,,Information Technology
IRB Infra,22,,Engineering & Capital Goods
Ceat,22,,Automotive
Triveni Turbine,22,,Engineering & Capital Goods
IFGL Refractory,22,,Cement & Construction
Ahluwalia,22,,Cement & Construction
Indian Hotels,22,,Services
United Spirits,22,,Food & Beverages
Jindal Steel,22,,Metals & Mining
West Coast Pap,22,,Manufacturing
BPCL,22,,Oil & Gas
Hind Constr,22,,Cement & Construction
Lakshmi Machine,22,,Engineering & Capital Goods
Apar Ind,22,,Miscellaneous
Thyrocare Techn,22,,Services
United Brewerie,22,,Food & Beverages
Sheela Foam,22,,Miscellaneous
Mahanagar Gas,22,,Oil & Gas
ICICI Prudentia,22,49.32,Banking & Financial Services
Sobha,22,,Retail & Real Estate
Tech Mahindra,20,,Information Technology
Guj Flourochem,20,,Chemicals
Sanghi Ind,20,,Cement & Construction
GRUH Finance,20,57.22,Banking & Financial Services
TVS Srichakra,20,,Automotive
Goodyear,20,,Automotive
Tata Motors (D),20,,Automotive
Elantas Beck,20,,Chemicals
Trident,20,,Manufacturing
IDFC,20, 10.91,Banking & Financial Services
Blue Dart,20,,Services
Asian Granito,20,,Cement & Construction
Berger Paints,20,,Chemicals
Eris Life,20,,Pharmaceuticals
MRPL,20,,Oil & Gas
Adani Ports,20,,Engineering & Capital Goods
Star Cement,20,,Metals & Mining
Arrow Greentech,20,,Manufacturing
JK Tyre & Ind,20,,Automotive
Gillette India,20,,Consumer Non-durables
Allcargo,20,,Services
Igarashi Motors,20,,Engineering & Capital Goods
JM Financial,20,19.56,Banking & Financial Services
Sun Pharma Adv,20,,Pharmaceuticals
UFO Moviez,20,,Media & Entertainment
Colgate,20,,Consumer Non-durables
VST Tillers,20,,Automotive
Skipper,18,,Miscellaneous
CL Educate,18,,Miscellaneous
Mindtree,18,,Information Technology
Rel Capital,18,17.72,Banking & Financial Services
GE Shipping,18,,Services
Deccan Cements,18,,Cement & Construction
ISGEC Heavy Eng,18,,Food & Beverages
Godrej Prop,18,,Retail & Real Estate
Hind Zinc,18,,Metals & Mining
Tata Metaliks,18,,Metals & Mining
EIH,18,,Services
South Ind Bk,18,12.62,Banking & Financial Services
L&T Technology,18,,Information Technology
Avanti Feeds,18,,Miscellaneous
CCL Products,18,,Food & Beverages
Aegis Logistics,18,,Services
Jamna Auto,18,,Automotive
LG Balakrishnan,18,,Engineering & Capital Goods
S H Kelkar,18,,Miscellaneous
TVS Motor,18,,Automotive
IOC,16,,Oil & Gas
Orient Paper,16,,Conglomerates
Zee Entertain,16,,Media & Entertainment
BASF,16,,Chemicals
Escorts,16,,Automotive
Hawkins Cooker,16,,Consumer Durables
Shree Cements,16,,Cement & Construction
PTC India Fin,16,6.6,Banking & Financial Services
SREI Infra,16,22.48,Banking & Financial Services
Shankara Buildi,16,,Miscellaneous
Firstsource Sol,16,,Information Technology
eClerx Services,16,,Information Technology
Kirloskar Ind,16,,Engineering & Capital Goods
RamkrishnaForge,16,,Manufacturing
Edelweiss,16,32.31,Banking & Financial Services
Indo Count,16,,Manufacturing
Suven Life Sci,16,,Pharmaceuticals
Allahabad Bank,16, 18.89,Banking & Financial Services
Manappuram Fin,16,9.34,Banking & Financial Services
Sanghvi Movers,16,,Engineering & Capital Goods
VRL Logistics,16,,Services
Syngene Intl,16,,Miscellaneous
TeamLease Ser.,16,,Miscellaneous
Vedanta,16,,Metals & Mining
Bosch,16,,Automotive
Kewal Kiran,16, 28.73,Retail & Real Estate
Avenue Supermar,16,,Retail & Real Estate
Relaxo Footwear,16,,Consumer Non-durables
Westlife Dev,16,,Banking & Financial Services
Shemaroo Ent,16,,Media & Entertainment
HPL Electric & ,16,,Engineering & Capital Goods
Gujarat Gas,16,,Oil & Gas
Axis Bank,16,34.28,Banking & Financial Services
Chambal Fert,16,,Chemicals
Godfrey Phillip,16,,Tobacco
Ramcoind,16,,Cement & Construction
Orient Cement,16,,Cement & Construction
Wonderla,16,,Miscellaneous
JB Chemicals,16,,Pharmaceuticals
Ratnamani Metal,16,,Metals & Mining
Satin Credit,16,,Miscellaneous
Novartis India,16,,Pharmaceuticals
Manpasand Bever,14,,Food & Beverages
Jain Irrigation,14,,Manufacturing
Interglobe Avi,14,,Services
Oriental Carbon,14,,Chemicals
Sundram,14,24.72,Manufacturing
Mah Seamless,14,not worth,Metals & Mining
Dewan Housing,14,12.92,Banking & Financial Services
DLF,14,67.94,Retail & Real Estate
Raymond,14, 96.27,Manufacturing
Dabur India,14,43.3,Consumer Non-durables
Sudarshan Chem,14,32.57,Chemicals
Alembic Pharma,14,26.67,Pharmaceuticals
Dishman Pharma,14,,Pharmaceuticals
AksharChem,14,,Chemicals
Thomas Cook,14,,Miscellaneous
Mirza Intl,14,,Consumer Non-durables
Karnataka Bank,14, 8.90,Banking & Financial Services
Dish TV,14,,Media & Entertainment
Amrutanjan Heal,14,,Pharmaceuticals
Indian Hume,14,,Cement & Construction
RSWM,14,,Manufacturing
Future Life,14,,Retail & Real Estate
Essel Propack,14,,Manufacturing
Sunteck Realty,14,,Retail & Real Estate
Indoco Remedies,12,,Pharmaceuticals
V-Mart Retail,12,42.03,Retail & Real Estate
Kaveri Seed,12,,Miscellaneous
Sonata,12,,Information Technology
Delta Corp,12,60.49,Banking & Financial Services
Bajaj Corp,12,,Consumer Non-durables
Marico,12,,Consumer Non-durables
Birla Corp,12,,Cement & Construction
Voltamp Trans,12,,Engineering & Capital Goods
Tamil Newsprint,12,,Manufacturing
Nilkamal,12,,Manufacturing
IFB Industries,12,,Consumer Durables
Motilal Oswal,12,51.39,Banking & Financial Services
Disa India,12,,Engineering & Capital Goods
Power Mech,12,,Engineering & Capital Goods
Info Edge,12,,Miscellaneous
Transport Corp,12,,Services
APL Apollo,12,,Metals & Mining
Nava Bharat Ven,12,,Conglomerates
Ambuja Cements,12,,Cement & Construction
M&M,12,,Automotive
CDSL,12,38.81,Banking & Financial Services
VST,12,,Tobacco
Sharda Crop,12,,Chemicals
Ashok Leyland,12,,Automotive
Zydus Wellness,12,,Food & Beverages
Minda Corp,12,,Automotive
Atul Auto,12,,Automotive
Pidilite Ind,12,,Chemicals
HUL,12,,Consumer Non-durables
3M India,12,,Conglomerates
GE T&D India,12,,Engineering & Capital Goods
TV TodayNetwork,12,,Media & Entertainment
Kirloskar Bros,12,,Engineering & Capital Goods
Suprajit Eng,12,,Automotive
Maruti Suzuki,12,,Automotive
HCL Tech,12,,Information Technology
Infosys,10,,Information Technology
Power Grid Corp,10,,Utilities
Power Finance,10,17.64,Banking & Financial Services
Orient Refract,10,,Cement & Construction
Can Fin Homes,10,30.05,Banking & Financial Services
Mayur Uniquoter,10,,Manufacturing
Precision Camsh,10,,Automotive
Supreme Petro,10,,Chemicals
Ajanta Pharma,10,,Pharmaceuticals
Torrent Power,10,,Utilities
Hindalco,10,,Metals & Mining
Biocon,10,,Pharmaceuticals
Savita Oil Tech,10,,Chemicals
Dhunseri Tea,10,,Food & Beverages
Sterling Tools,10,,Manufacturing
Rico Auto,10,,Automotive
Reliance,10,,Oil & Gas
Jubilant Life,10,,Pharmaceuticals
Mold Tek Tech,10,,Manufacturing
Godrej Ind,10,,Consumer Non-durables
Wim Plast,10,,Manufacturing
NOCIL,10,,Chemicals
Oil India,10,,Oil & Gas
JK Bank,10,,Banking & Financial Services
Arihant Super,10, 21.50,Banking & Financial Services
Sagar Cement,10,,Cement & Construction
Parag Milk Food,10,,Food & Beverages
Camlin Fine,10,,Chemicals
Sun TV Network,10,,Media & Entertainment
Ballarpur Ind,10,,Manufacturing
Sundaram-Clayto,10,,Automotive
Monte Carlo,8,,Manufacturing
Narayana Hruda,8,,Services
Geojit Fin,8,48.69,Banking & Financial Services
NBCC (India),8,,Engineering & Capital Goods
Oberoi Realty,8,,Retail & Real Estate
Astral Poly Tec,8,,Manufacturing
KCP,8,,Cement & Construction
MOIL,8,,Metals & Mining
Siyaram Silk,8,,Manufacturing
Asian Paints,8,,Chemicals
GE Power India,8,,Engineering & Capital Goods
NIIT,8,,Information Technology
GSFC,8,,Chemicals
Tata Coffee,8,,Food & Beverages
Fortis Health,8,,Services
Zuari Agro Chem,8,,Chemicals
Intellect Desig,8,,Information Technology
TTK Prestige,8,,Consumer Durables
Tata Comm,8,,Telecommunication
Kaya,8,,Miscellaneous
Hexaware Tech,8,,Information Technology
Bajaj Electric,8,,Consumer Durables
Genus Power,8,,Manufacturing
Polyplex Corp,8,,Manufacturing
Symphony,8,,Consumer Durables
Insecticides,8,,Chemicals
Bajaj Auto,8,,Automotive
Bajaj Holdings,8,11.54,Banking & Financial Services
Asahi India,8,,Manufacturing
GIC Housing Fin,8,17.03,Banking & Financial Services
Eicher Motors,8,,Automotive
Indiabulls Hsg,8,17.3,Banking & Financial Services
Action Const,8,,Engineering & Capital Goods
Hikal,8,,Pharmaceuticals
Esab India,8,,Engineering & Capital Goods
Cox & Kings,8,,Miscellaneous
Quess Corp,8,,Engineering & Capital Goods
Automotive Axle,8,,Automotive
BSE Limited,8,,Miscellaneous
Kirloskar Pneum,8,,Engineering & Capital Goods
Tata Power,8,,Utilities
Graphite India,8,,Engineering & Capital Goods
GOCL Corp,8,,Chemicals
Pfizer,8,,Pharmaceuticals
Hinduja Global,8,,Information Technology
GAIL,8,,Oil & Gas
Agro Tech Foods,8,,Miscellaneous
FDC,8,,Pharmaceuticals
NESCO,8,,Conglomerates
Guj Alkali,8,,Chemicals
Sequent Scienti,8,,Pharmaceuticals
LIC Housing Fin,6,16.66,Banking & Financial Services
SAIL,6,,Metals & Mining
Welspun India,6,,Manufacturing
Bank of India,6,,Banking & Financial Services
Equity ,6,,Sector
Wockhardt,6,,Pharmaceuticals
NMDC,6,,Metals & Mining
Varun Beverages,6,,Food & Beverages
SpiceJet,6,,Services
Cipla,6,,Pharmaceuticals
Ramco System,6,,Information Technology
Rajapalayam,6,,Manufacturing
IDFC Bank,6,15.93,Banking & Financial Services
Reliance Comm,6,,Telecommunication
Vakrangee,6,,Information Technology
REC,6,,Banking & Financial Services
NHPC,6,,Utilities
Vijaya Bank,6,,Banking & Financial Services
Hind Dorr-Olive,6,,Engineering & Capital Goods
Dr Reddys Labs,4,,Pharmaceuticals
Titagarh Wagons,4,,Engineering & Capital Goods
Gulshan Poly,4,,Chemicals
Ashapura Intima,4,,Manufacturing
Nestle,4,,Food & Beverages
Future Consumer,4,,Banking & Financial Services
Bharat Wire Rop,4,,Engineering & Capital Goods
HDFC,4,,Banking & Financial Services
Huhtamaki PPL,4,,Manufacturing
Bodal Chemicals,4,,Chemicals
Jet Airways,4,,Services
Shree Pushkar,4,,Chemicals
Good Luck,4,,Metals & Mining
Srikalahasthi,4,,Metals & Mining
Larsen,4,,Engineering & Capital Goods
Gufic Bio,4,,Pharmaceuticals
Poddar Housing ,4,,Manufacturing
Prabhat Dairy,4,,Food & Beverages
Ashiana Housing,4,,Retail & Real Estate
Balrampur Chini,4,,Food & Beverages
GMR Infra,4,,Engineering & Capital Goods
Banco Products,4,,Automotive
Magma Fincorp,4,,Banking & Financial Services
Tata Motors,4,,Automotive
Ion Exchange,4,,Engineering & Capital Goods
GlaxoSmithKline,4,,Pharmaceuticals
JMC Projects,4,,Cement & Construction
Thangamayil,4,,Services
8K Miles Soft,4,,Banking & Financial Services
Kalyani Steels,4,,Metals & Mining
AB Nuvo,4,,Conglomerates
Guj Heavy Chem,4,,Chemicals
Vindhya Telelin,4,,Telecommunication
Garware Wall,4,,Manufacturing
PDS Multi,4,,Manufacturing
Ortel Comm,4,,Media & Entertainment
Gabriel India,4,,Automotive
Rajratan Global,4,,Automotive
MMTC Ltd,4,,Services
Oriental Hotels,4,,Services
Control Print,4,,Services
ONGC,4,,Oil & Gas
Aarti Drugs,4,,Pharmaceuticals
Neuland Lab,4,,Pharmaceuticals
JSW Steel,4,,Metals & Mining
Coal India,4,,Metals & Mining
Honda Siel,4,,Engineering & Capital Goods
Welspun Corp,4,,Metals & Mining
Ganesha Ecosph,4,,Manufacturing
Excel Crop Care,4,,Chemicals
EID Parry,4,,Food & Beverages
S P Apparels,4,,Manufacturing
D-Link India,4,,Miscellaneous
Visaka Ind,4,,Cement & Construction
Music Broadcast,4,,Media & Entertainment
Steel Str Wheel,4,,Automotive
Lux Industries,4,,Manufacturing
HBL Power,4,,Engineering & Capital Goods
KPIT Tech,4,,Information Technology
MBL Infra,4,,Cement & Construction
Titan Company,4,,Miscellaneous
Cera Sanitary,4,,Cement & Construction
Jindal (Hisar),4,,Metals & Mining
ACC,4,,Cement & Construction
Abbott India,4,,Pharmaceuticals
Idea Cellular,4,,Telecommunication
Hindustan Media,4,,Media & Entertainment
Aditya Birla,4,,Banking & Financial Services
Auto Corp Goa,4,,Automotive
Greenlam Ind,4,,Miscellaneous
Pricol,4,,Automotive
V2 Retail,4,,Services
Glenmark,4,,Pharmaceuticals
Sarla Performan,4,,Manufacturing
Lumax Auto Tech,4,,Automotive
Deepak Fert,4,,Chemicals
OCL India,4,,Cement & Construction
Nagarjuna Fert,4,,Chemicals
Summit Sec,4,,Banking & Financial Services
Indian Metals,4,,Metals & Mining
Linc PenandPlas,4,,Miscellaneous
Kirloskar Ferro,4,,Metals & Mining
Career Point,4,,Information Technology
Bharti Airtel,4,,Telecommunication
Fairchem Spec,4,,Chemicals
NCL Industries,4,,Cement & Construction
Lakshmi Vilas,4,,Banking & Financial Services
FIEM Ind,4,,Automotive
Hatsun Agro,4,,Food & Beverages
Pearl Global In,4,,Manufacturing
GTPL Hathway,4,,Media & Entertainment
Radico Khaitan,4,,Food & Beverages
Lupin,4,,Pharmaceuticals
Claris Life,4,,Pharmaceuticals
Balaji Amines,4,,Chemicals
Mangalam Cement,4,,Cement & Construction
Sadbhav Infra,4,,Engineering & Capital Goods
La Opala RG,4,,Manufacturing
Tata Inv Corp,4,,Banking & Financial Services
Pennar Inds,4,,Metals & Mining
Tejas Networks,4,,Telecommunication
Bharat Bijlee,4,,Engineering & Capital Goods
Majesco,4,,Information Technology
Momai Apparels,4,,Manufacturing
DCM Shriram,4,,Conglomerates
Max Ventures an,4,,Manufacturing
CCCL,4,,Cement & Construction
Siti Networks,4,,Media & Entertainment
Inox Wind,4,,Utilities
Arman Financial,4,Not Worth,Banking & Financial Services
Lovable Lingeri,4,22.29,Manufacturing
ITC,4,,Tobacco
Sintex Ind,4,,Conglomerates
Valiant Organic,4,,Chemicals
Federal-Mogul,4,40.49,Automotive
Guj Ind Power,4,,Utilities
Hind Copper,4,77,Metals & Mining
DFM Foods,4,85.14,Miscellaneous
Sutlej Textiles,4,,Manufacturing
SQS India BFSI,4,,Information Technology
Seya Industries,4,Not Worth,Chemicals
Jubilant Food,2,,Miscellaneous
L&T Infotech,2,,Information Technology
Reliance Power,2,,Utilities
Indiabulls Real,2,,Retail & Real Estate
IDBI Bank,2,,Banking & Financial Services
JSW Energy,2,,Utilities
Rajesh Exports,2,,Services
Hero Motocorp,2,,Automotive
Reliance Infra,2,,Utilities
Suzlon Energy,2,,Engineering & Capital Goods
Adani Power,2,,Utilities
Gammon Infra,2,,Cement & Construction
KSK Energy Vent,2,,Utilities
