,Equity ,PE,Industry
Federal Bank,118,24,Banking & Financial Services
Repco Home,112,22,Banking & Financial Services
Ramco Cements,108,,Cement & Construction
J. K. Cement,100,,Cement & Construction
Schaeffler Ind,94,,Engineering & Capital Goods
DCB Bank,92,25.86,Banking & Financial Services
Max Financial,90,,Manufacturing
Exide Ind,88,,Automotive
Atul,86,,Chemicals
Bayer CropScien,84,,Chemicals
Johnson Control,84,,Consumer Durables
Timken,82,,Engineering & Capital Goods
Navin Fluorine,82,,Chemicals
Techno Electric,80,,Engineering & Capital Goods
NCC,78,,Cement & Construction
Blue Star,78,,Consumer Durables
KPR Mill,78,,Manufacturing
City Union Bank,78,19.61,Banking & Financial Services
Coromandel Int,76,,Chemicals
Grindwell Norto,76,,Engineering & Capital Goods
Heidelberg Cem,74,,Cement & Construction
Va Tech Wabag,74,,Engineering & Capital Goods
Rane Holdings,74,,Automotive
IndusInd Bank,74,31.89,Banking & Financial Services
V-Guard Ind,72,,Miscellaneous
Ashoka Buildcon,72,,Cement & Construction
India Cements,70,,Cement & Construction
Minda Ind,70,,Automotive
Cholamandalam,70,23.81,Banking & Financial Services
ITD Cementation,70,,Cement & Construction
UPL,70,,Chemicals
Voltas,70,,Conglomerates
Dollar Ind,70,,Manufacturing
CenturyPlyboard,68,,Miscellaneous
Supreme Ind,66,,Manufacturing
S Chand and Co,66,,Miscellaneous
Equitas Holding,64,44.55,Banking & Financial Services
PSP Projects,64,,Cement & Construction
NIIT Tech,64,,Information Technology
Bank of Baroda,62,29.17,Banking & Financial Services
PNC Infratech,62,,Retail & Real Estate
IGL,62,,Oil & Gas
Petronet LNG,62,,Oil & Gas
SRF,60,,Manufacturing
Bharat Elec,60,,Manufacturing
Gateway Distri,60,,Miscellaneous
Mcleod,60,,Food & Beverages
Himatsingka Sei,60,,Manufacturing
Navneet,60,,Miscellaneous
Subros,58,,Automotive
Bajaj Finance,58,46.54,Banking & Financial Services
Karur Vysya,58,14.3,Banking & Financial Services
AIA Engineering,58,,Engineering & Capital Goods
Gujarat Pipavav,56,,Services
HSIL,56,,Cement & Construction
PVR,56,,Media & Entertainment
Ujjivan Financi,56,62.67,Banking & Financial Services
Thermax,56,,Engineering & Capital Goods
Emami,56,,Consumer Non-durables
M&M Financial,56,51.11,Banking & Financial Services
Carborundum,56,,Engineering & Capital Goods
Finolex Cables,56,,Telecommunication
INOX Leisure,56,,Media & Entertainment
KSB Pumps,54,,Engineering & Capital Goods
RPP Infra Proj,54,,Cement & Construction
Clariant Chem,54,,Chemicals
Solar Ind,54,,Chemicals
Premier Explo,54,,Chemicals
Whirlpool,54,,Consumer Durables
HPCL,52,,Oil & Gas
Guj State Petro,52,,Oil & Gas
JK Lakshmi Cem,52,,Cement & Construction
Praj Industries,52,,Engineering & Capital Goods
MCX India,52,,Miscellaneous
Arvind,52,,Manufacturing
Astra Microwave,50,,Telecommunication
CESC,50,,Utilities
Sterlite Techno,50,,Telecommunication
Vardhman Text,50,,Manufacturing
Kalpataru Power,50,,Engineering & Capital Goods
MRF,50,,Automotive
Redington,50,,Information Technology
EngineersInd,50,,Engineering & Capital Goods
Apollo Tyres,48,,Automotive
CARE,48,,Miscellaneous
Kennametal,48,,Engineering & Capital Goods
AU Small Financ,48,42.35,Banking & Financial Services
Castrol,48,,Chemicals
Apollo Hospital,48,,Services
WABCO India,48,,Automotive
Motherson Sumi,48,,Automotive
Honeywell Autom,46,,Telecommunication
Take Solutions,46,,Information Technology
Mahindra Holida,46,,Services
Torrent Pharma,46,,Pharmaceuticals
PI Industries,46,,Chemicals
Amara Raja Batt,46,,Automotive
MM Forgings,46,,Manufacturing
Dalmia Bharat,44,,Cement & Construction
NALCO,44,,Metals & Mining
DB Corp,44,,Media & Entertainment
Deepak Nitrite,44,,Chemicals
PNB,44, 22.21,Banking & Financial Services
Bajaj Finserv,44,35.51,Banking & Financial Services
Ador Welding,44,,Engineering & Capital Goods
Persistent,44,,Information Technology
Britannia,44,,Food & Beverages
Kotak Mahindra,44,40.66,Banking & Financial Services
Laurus Labs,42,,Pharmaceuticals
Cummins,42,,Engineering & Capital Goods
Jyothy Labs,42,,Consumer Non-durables
Heritage Foods,42,,Food & Beverages
Force Motors,42,,Automotive
ICICI Bank,42,19.55,Banking & Financial Services
Mahindra CIE,42,,Manufacturing
Strides Shasun,42,,Pharmaceuticals
Aditya Birla F,42,242,Retail & Real Estate
Rallis India,40,,Chemicals
Divis Labs,40,,Pharmaceuticals
Greaves Cotton,40,,Engineering & Capital Goods
Salzer Electro,40,,Engineering & Capital Goods
Indian Bank,40,9.93,Banking & Financial Services
Muthoot Finance,40,14.71,Banking & Financial Services
Healthcare Glob,40,,Services
VIP Industries,40,,Manufacturing
Tata Chemicals,38,,Chemicals
HDFC Bank,38,29.68,Banking & Financial Services
Texmaco Rail,38,,Engineering & Capital Goods
Sundaram Fin,36,26.74,Banking & Financial Services
Sadbhav Engg,36,,Engineering & Capital Goods
PTC India,36,,Services
P and G,36,,Consumer Non-durables
Yes Bank,36,22.1,Banking & Financial Services
Container Corp,36,,Services
Finolex Ind,36,,Chemicals
WPIL,36,,Engineering & Capital Goods
Alkem Lab,36,,Pharmaceuticals
Trent,34,88.51,Retail & Real Estate
GNFC,34,,Chemicals
Navkar Corp,34,,Services
RBL Bank,34,39.38,Banking & Financial Services
Gulf Oil Lubric,34,,Chemicals
KEC Intl,34,,Engineering & Capital Goods
GNA Axles,34,,Automotive
Kansai Nerolac,34,,Chemicals
L&T Finance,34,28,Banking & Financial Services
Grasim,34,,Conglomerates
Schneider Infra,32,,Utilities
Cyient,32,,Information Technology
Aurobindo Pharm,32,,Pharmaceuticals
BEML,32,,Engineering & Capital Goods
Vinati Organics,32,,Chemicals
ICRA,32,,Miscellaneous
Himadri Special,32,,Chemicals
CRISIL,32,,Miscellaneous
SKF India,32,,Engineering & Capital Goods
Guj Mineral,30,,Metals & Mining
Brigade Ent,30,20.75,Retail & Real Estate
JagranPrakashan,30,,Media & Entertainment
Sanofi India,30,,Pharmaceuticals
Natco Pharma,30,,Pharmaceuticals
HUDCO,30,,Retail & Real Estate
MphasiS,30,,Information Technology
NRB Bearings,30,,Engineering & Capital Goods
Tube Investment,30,,Miscellaneous
ABB India,30,,Engineering & Capital Goods
