,#EANF#,%,Cash / Call,Equity,Equity ,Qty,Qty ,Rating ,Sector,Unnamed: 0,Unnamed: 0.1,Unnamed: 4,Unnamed: 5,Value,"Value
 (Rs cr)",Value  (Rs cr),company_code,company_name
2,,5.34,,,City Union Bank,,"3,781,152.00",,Banking & Financial Services,2,,,,,60.92,,MAA099,axis-mid-cap-fund
3,,4.24,,,Motherson Sumi,,"1,577,603.00",,Automotive,3,,,,,48.37,,MAA099,axis-mid-cap-fund
4,,3.86,,,Bajaj Finserv,,"106,990.00",,Banking & Financial Services,4,,,,,44.04,,MAA099,axis-mid-cap-fund
5,,3.67,,,UPL,,"498,210.00",,Chemicals,5,,,,,41.87,,MAA099,axis-mid-cap-fund
6,,3.42,,,Endurance Techn,,"444,618.00",,Automotive,6,,,,,39.02,,MAA099,axis-mid-cap-fund
7,,3.4,,,PVR,,"275,521.00",,Media & Entertainment,7,,,,,38.79,,MAA099,axis-mid-cap-fund
8,,3.34,,,P and G,,"47,357.00",,Consumer Non-durables,8,,,,,38.1,,MAA099,axis-mid-cap-fund
9,,3.03,,,Britannia,,"93,562.00",,Food & Beverages,9,,,,,34.57,,MAA099,axis-mid-cap-fund
10,,3.02,,,Sundaram Fin,,"215,614.00",,Banking & Financial Services,10,,,,,34.45,,MAA099,axis-mid-cap-fund
11,,2.87,,,Supreme Ind,,"267,298.00",,Manufacturing,11,,,,,32.74,,MAA099,axis-mid-cap-fund
12,,2.51,,,Berger Paints,,"1,163,339.00",,Chemicals,12,,,,,28.64,,MAA099,axis-mid-cap-fund
13,,2.25,,,Cholamandalam,,"229,406.00",,Banking & Financial Services,13,,,,,25.67,,MAA099,axis-mid-cap-fund
14,,2.17,,,Petronet LNG,,"1,147,310.00",,Oil & Gas,14,,,,,24.76,,MAA099,axis-mid-cap-fund
15,,2.13,,,Balkrishna Ind,,"146,163.00",,Automotive,15,,,,,24.3,,MAA099,axis-mid-cap-fund
16,,1.89,,,Ceat,,"120,047.00",,Automotive,16,,,,,21.56,,MAA099,axis-mid-cap-fund
17,,1.83,,,Federal Bank,,"1,850,863.00",,Banking & Financial Services,17,,,,,20.88,,MAA099,axis-mid-cap-fund
18,,1.68,,,Ramco Cements,,"276,632.00",,Cement & Construction,18,,,,,19.17,,MAA099,axis-mid-cap-fund
