,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Sterlite Techno,Telecommunication,"1,668,200.00",35.30,2.56,,l-t-emerging-businesses-fund-dp,MCC492
1,Rane Holdings,Automotive,"197,500.00",33.46,2.43,,l-t-emerging-businesses-fund-dp,MCC492
2,Avanti Feeds,Miscellaneous,"196,720.00",32.18,2.33,,l-t-emerging-businesses-fund-dp,MCC492
3,Tube Investment,Miscellaneous,"375,900.00",29.15,2.11,,l-t-emerging-businesses-fund-dp,MCC492
4,City Union Bank,Banking & Financial Services,"1,652,500.00",29.14,2.11,,l-t-emerging-businesses-fund-dp,MCC492
5,Mah Seamless,Metals & Mining,"712,233.00",28.70,2.08,,l-t-emerging-businesses-fund-dp,MCC492
6,Somany Ceramics,Cement & Construction,"349,253.00",28.02,2.03,,l-t-emerging-businesses-fund-dp,MCC492
7,Coromandel Int,Chemicals,"621,600.00",27.94,2.03,,l-t-emerging-businesses-fund-dp,MCC492
8,Dalmia Bharat,Cement & Construction,"105,000.00",27.92,2.02,,l-t-emerging-businesses-fund-dp,MCC492
9,Max Financial,Manufacturing,"446,500.00",27.21,1.97,,l-t-emerging-businesses-fund-dp,MCC492
10,Sobha,Retail & Real Estate,"672,200.00",26.84,1.95,,l-t-emerging-businesses-fund-dp,MCC492
11,Indian Bank,Banking & Financial Services,"855,000.00",26.79,1.94,,l-t-emerging-businesses-fund-dp,MCC492
12,Carborundum,Engineering & Capital Goods,"782,100.00",26.52,1.92,,l-t-emerging-businesses-fund-dp,MCC492
13,Max Financial,Manufacturing,"1,704,422.00",25.28,1.83,,l-t-emerging-businesses-fund-dp,MCC492
14,Future Retail,Retail & Real Estate,"603,700.00",24.43,1.77,,l-t-emerging-businesses-fund-dp,MCC492
15,Aarti Ind,Chemicals,"249,756.00",24.28,1.76,,l-t-emerging-businesses-fund-dp,MCC492
16,Trent,Retail & Real Estate,"886,700.00",23.75,1.72,,l-t-emerging-businesses-fund-dp,MCC492
17,RSWM,Manufacturing,"581,345.00",22.89,1.66,,l-t-emerging-businesses-fund-dp,MCC492
18,Godrej Prop,Retail & Real Estate,"431,300.00",22.52,1.63,,l-t-emerging-businesses-fund-dp,MCC492
19,Supreme Petro,Chemicals,"641,000.00",22.45,1.63,,l-t-emerging-businesses-fund-dp,MCC492
