symbol
3MINDIA
AAVAS
ABB
ABCAPITAL
ABFRL
ACC
ADANIGREEN
ADANIPORTS
ADANIPOWER
ADANITRANS
ADVENZYMES
AEGISCHEM
AIAENG
AJANTPHARM
AKZOINDIA
ALBK
ALKEM
ALLCARGO
AMARAJABAT
AMBUJACEM
ANDHRABANK
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
ASHOKA
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAL
ASTRAZEN
ATUL
AUBANK
AUROPHARMA
AVANTIFEED
AXISBANK
BAJAJ-AUTO
BAJAJCON
BAJAJELEC
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALKRISIND
BALMLAWRIE
BALRAMCHIN
BANDHANBNK
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BBTC
BDL
BEL
BEML
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BIRLACORPN
BLISSGVS
BLUEDART
BLUESTARCO
BOMDYEING
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
CADILAHC
CANBK
CANFINHOME
CAPLIPOINT
CARBORUNIV
CARERATING
CASTROLIND
CCL
CDSL
CEATLTD
CENTRALBK
CENTURYPLY
CERA
CESC
CGPOWER
CHAMBLFERT
CHENNPETRO
CHOLAFIN
CIPLA
COALINDIA
COCHINSHIP
COFFEEDAY
COLPAL
CONCOR
COROMANDEL
CORPBANK
COX&KINGS
CREDITACC
CRISIL
CROMPTON
CUB
CUMMINSIND
CYIENT
DABUR
DBCORP
DBL
DCAL
DCBBANK
DCMSHRIRAM
DEEPAKFERT
DEEPAKNTR
DELTACORP
DHFL
DISHTV
DIVISLAB
DIXON
DLF
DMART
DRREDDY
ECLERX
EDELWEISS
EICHERMOT
EIDPARRY
EIHOTEL
ELGIEQUIP
EMAMILTD
ENDURANCE
ENGINERSIN
EQUITAS
ERIS
ESCORTS
ESSELPACK
EXCELCROP
EXIDEIND
FCONSUMER
FDC
FEDERALBNK
FINCABLES
FINEORG
FINPIPE
FLFL
FORTIS
FRETAIL
FSL
GAIL
GALAXYSURF
GAYAPROJ
GDL
GEPIL
GESHIP
GET&D
GHCL
GICRE
GILLETTE
GLAXO
GLENMARK
GMDCLTD
GMRINFRA
GNFC
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GODREJPROP
GPPL
GRANULES
GRAPHITE
GRASIM
GREAVESCOT
GRINDWELL
GRUH
GSFC
GSKCONS
GSPL
GUJALKALI
GUJFLUORO
GUJGASLTD
GULFOILLUB
HAL
HATHWAY
HATSUN
HAVELLS
HCLTECH
HDFC
HDFCAMC
HDFCBANK
HDFCLIFE
HEG
HEIDELBERG
HERITGFOOD
HEROMOTOCO
HEXAWARE
HFCL
HIMATSEIDE
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HONAUT
HSCL
HUDCO
IBREALEST
IBULHSGFIN
IBULISL
IBVENTURES
ICICIBANK
ICICIGI
ICICIPRULI
ICRA
IDBI
IDEA
IDFC
IDFCFIRSTB
IEX
IFBIND
IFCI
IGL
INDHOTEL
INDIACEM
INDIANB
INDIGO
INDOCO
INDOSTAR
INDUSINDBK
INFIBEAM
INFRATEL
INFY
INOXLEISUR
INOXWIND
INTELLECT
IOB
IOC
IPCALAB
IRB
IRCON
ISEC
ITC
ITDC
ITDCEM
ITI
J&KBANK
JAGRAN
JAICORPLTD
JAMNAAUTO
JBCHEPHARM
JETAIRWAYS
JINDALSAW
JINDALSTEL
JISLJALEQS
JKCEMENT
JKLAKSHMI
JKPAPER
JKTYRE
JMFINANCIL
JPASSOCIAT
JSL
JSLHISAR
JSWENERGY
JSWSTEEL
JUBILANT
JUBLFOOD
JUSTDIAL
JYOTHYLAB
KAJARIACER
KALPATPOWR
KANSAINER
KARURVYSYA
KEC
KEI
KIOCL
KIRLOSENG
KNRCON
KOLTEPATIL
KOTAKBANK
KPRMILL
KRBL
KSCL
KTKBANK
L&TFH
LAKSHVILAS
LALPATHLAB
LAURUSLABS
LAXMIMACH
LEMONTREE
LICHSGFIN
LINDEINDIA
LT
LTI
LTTS
LUPIN
LUXIND
M&M
M&MFIN
MAGMA
MAHABANK
MAHINDCIE
MAHLOG
MAHSCOOTER
MAHSEAMLES
MANAPPURAM
MARICO
MARUTI
MASFIN
MAXINDIA
MCDOWELL-N
MERCK
MFSL
MGL
MHRIL
MINDACORP
MINDAIND
MINDTREE
MMTC
MOIL
MONSANTO
MOTHERSUMI
MOTILALOFS
MPHASIS
MRF
MRPL
MUTHOOTFIN
NATCOPHARM
NATIONALUM
NAUKRI
NAVINFLUOR
NBCC
NBVENTURES
NCC
NESCO
NETWORK18
NFL
NH
NHPC
NIACL
NIITTECH
NILKAMAL
NLCINDIA
NMDC
NTPC
OBEROIRLTY
OFSS
OIL
OMAXE
ONGC
ORIENTBANK
ORIENTCEM
ORIENTELEC
PAGEIND
PARAGMILK
PCJEWELLER
PEL
PERSISTENT
PETRONET
PFC
PFIZER
PGHH
PHILIPCARB
PHOENIXLTD
PIDILITIND
PIIND
PNB
PNBHOUSING
PNCINFRA
POWERGRID
PRAJIND
PRESTIGE
PRSMJOHNSN
PTC
PVR
QUESS
RADICO
RAIN
RAJESHEXPO
RALLIS
RAMCOCEM
RAYMOND
RBLBANK
RCF
RCOM
RECLTD
REDINGTON
RELAXO
RELCAPITAL
RELIANCE
RELINFRA
RENUKA
REPCOHOME
RHFL
RITES
RKFORGE
RNAM
RPOWER
RUPA
SADBHAV
SAIL
SANOFI
SBILIFE
SBIN
SCHAEFFLER
SCI
SFL
SHANKARA
SHARDACROP
SHILPAMED
SHK
SHOPERSTOP
SHREECEM
SHRIRAMCIT
SIEMENS
SIS
SJVN
SKFINDIA
SOBHA
SOLARINDS
SONATSOFTW
SOUTHBANK
SPARC
SPTL
SREINFRA
SRF
SRTRANSFIN
STAR
STARCEMENT
STRTECH
SUDARSCHEM
SUNDARMFIN
SUNDRMFAST
SUNPHARMA
SUNTECK
SUNTV
SUPRAJIT
SUPREMEIND
SUVEN
SUZLON
SWANENERGY
SYMPHONY
SYNDIBANK
SYNGENE
TAKE
TATACHEM
TATACOFFEE
TATAELXSI
TATAGLOBAL
TATAINVEST
TATAMOTORS
TATAMTRDVR
TATAPOWER
TATASTEEL
TCNSBRANDS
TCS
TEAMLEASE
TECHM
THERMAX
THOMASCOOK
THYROCARE
TIFIN
TIINDIA
TIMETECHNO
TIMKEN
TITAN
TNPL
TORNTPHARM
TORNTPOWER
TRENT
TRIDENT
TRITURBINE
TTKPRESTIG
TV18BRDCST
TVSMOTOR
TVTODAY
UBL
UCOBANK
UFLEX
UJJIVAN
ULTRACEMCO
UNIONBANK
UPL
VAKRANGEE
VARROC
VBL
VEDL
VENKEYS
VGUARD
VINATIORGA
VIPIND
VMART
VOLTAS
VRLLOG
VSTIND
VTL
WABAG
WABCOINDIA
WELCORP
WELSPUNIND
WHIRLPOOL
WIPRO
WOCKPHARMA
YESBANK
ZEEL
ZENSARTECH
ZYDUSWELL
