Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Natco Pharma,Pharmaceuticals,"1,914.00",0.19,7.85,
Yes Bank,Banking & Financial Services,"1,262.00",0.18,7.50,
Dalmia Bharat,Cement & Construction,713.00,0.18,7.15,
Eicher Motors,Automotive,62.00,0.17,6.82,
Voltas,Conglomerates,"2,875.00",0.13,5.35,
Repco Home,Banking & Financial Services,"1,325.00",0.11,4.44,
V-Guard Ind,Miscellaneous,"5,211.00",0.09,3.65,
Capital First,Banking & Financial Services,"1,323.00",0.09,3.59,
Berger Paints,Chemicals,"3,548.00",0.09,3.55,
KPR Mill,Manufacturing,975.00,0.08,3.25,
Emami,Consumer Non-durables,734.00,0.08,3.20,
Bayer CropScien,Chemicals,150.00,0.07,2.83,
TVS Motor,Automotive,"1,231.00",0.07,2.75,
HPCL,Oil & Gas,"1,854.00",0.06,2.56,
Johnson Control,Consumer Durables,310.00,0.06,2.51,
PI Industries,Chemicals,725.00,0.06,2.46,
Torrent Pharma,Pharmaceuticals,497.00,0.06,2.45,
Bharat Fin,Banking & Financial Services,823.00,0.06,2.41,
AIA Engineering,Engineering & Capital Goods,349.00,0.05,1.98,
Va Tech Wabag,Engineering & Capital Goods,641.00,0.04,1.79,
Bajaj Finserv,Banking & Financial Services,100.00,0.04,1.68,
Bosch,Automotive,17.00,0.04,1.65,
Atul Auto,Automotive,915.00,0.04,1.47,
WABCO India,Automotive,63.00,0.03,1.42,
Orient Cement,Cement & Construction,"2,394.00",0.03,1.38,
Schaeffler Ind,Engineering & Capital Goods,66.00,0.03,1.19,
BPCL,Oil & Gas,435.00,0.03,1.13,
Astral Poly Tec,Manufacturing,384.00,0.03,1.07,
GE T&D India,Engineering & Capital Goods,761.00,0.03,1.06,
Kalpataru Power,Engineering & Capital Goods,773.00,0.03,1.04,
Equitas Holding,Banking & Financial Services,"1,642.00",0.02,1.00,
Hind Zinc,Metals & Mining,917.00,0.02,0.98,
Bharat Elec,Manufacturing,"1,464.00",0.02,0.96,
Cholamandalam,Banking & Financial Services,202.00,0.02,0.92,
Cummins,Engineering & Capital Goods,213.00,0.02,0.79,
Astra Microwave,Telecommunication,"1,094.00",0.02,0.63,
J. K. Cement,Cement & Construction,160.00,0.02,0.61,
Indo Count,Manufacturing,872.00,0.01,0.59,
Guj Flourochem,Chemicals,170.00,0.01,0.51,
Divis Labs,Pharmaceuticals,183.00,0.01,0.48,
Greaves Cotton,Engineering & Capital Goods,455.00,0.01,0.30,
VRL Logistics,Services,147.00,0.00,0.20
