Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
P and G,Consumer Non-durables,"9,597.00",7.70,3.18,
Shree Cements,Cement & Construction,"3,942.00",6.68,2.76,
Minda Ind,Automotive,"98,312.00",6.30,2.60,
Finolex Ind,Chemicals,"99,852.00",6.03,2.49,
RBL Bank,Banking & Financial Services,"118,263.00",6.00,2.48,
Bajaj Finance,Banking & Financial Services,"42,145.00",5.79,2.39,
Akzo Nobel,Chemicals,"30,387.00",5.57,2.30,
Vedanta,Metals & Mining,"221,665.00",5.52,2.28,
Grasim,Conglomerates,"44,250.00",5.50,2.27,
Tata Elxsi,Information Technology,"34,378.00",5.45,2.25,
Motherson Sumi,Automotive,"176,869.00",5.45,2.25,
Indiabulls Hsg,Banking & Financial Services,"49,274.00",5.30,2.19,
Aurobindo Pharm,Pharmaceuticals,"73,919.00",5.06,2.09,
AIA Engineering,Engineering & Capital Goods,"35,401.00",4.94,2.04,
Canara Bank,Banking & Financial Services,"147,348.00",4.84,2.00,
PNB Housing Fin,Banking & Financial Services,"29,580.00",4.72,1.95,
Siemens,Engineering & Capital Goods,"34,450.00",4.60,1.90,
Cummins,Engineering & Capital Goods,"49,229.00",4.53,1.87,
Dalmia Bharat,Cement & Construction,"18,039.00",4.46,1.84,
Supreme Ind,Manufacturing,"35,497.00",4.36,1.80,
M&M Financial,Banking & Financial Services,"122,837.00",4.24,1.75,
Force Motors,Automotive,"9,822.00",4.14,1.71,
Amara Raja Batt,Automotive,"49,314.00",4.14,1.71,
Sanofi India,Pharmaceuticals,"9,854.00",4.09,1.69,
Ramco Cements,Cement & Construction,"58,882.00",4.09,1.69,
Escorts,Automotive,"58,923.00",3.80,1.57,
Va Tech Wabag,Engineering & Capital Goods,"54,143.00",3.73,1.54,
Cadila Health,Pharmaceuticals,"68,699.00",3.61,1.49,
Torrent Pharma,Pharmaceuticals,"29,558.00",3.61,1.49,
Endurance Techn,Automotive,"39,274.00",3.44,1.42,
Bosch,Automotive,"1,474.00",3.44,1.42,
Sterlite Techno,Telecommunication,"226,197.00",3.32,1.37,
IDFC Bank,Banking & Financial Services,"588,726.00",3.22,1.33,
NALCO,Metals & Mining,"493,609.00",3.20,1.32,
JK Tyre & Ind,Automotive,"197,196.00",3.17,1.31,
CESC,Utilities,"34,568.00",3.00,1.24,
PI Industries,Chemicals,"35,561.00",2.98,1.23,
Navin Fluorine,Chemicals,"46,265.00",2.81,1.16,
Johnson Control,Consumer Durables,"13,784.00",2.76,1.14,
Emami,Consumer Non-durables,"24,538.00",2.64,1.09,
Elgi Equipments,Engineering & Capital Goods,"114,202.00",2.64,1.09,
CCL Products,Food & Beverages,"88,438.00",2.59,1.07,
Vinati Organics,Chemicals,"28,144.00",2.59,1.07,
Carborundum,Engineering & Capital Goods,"78,911.00",2.57,1.06,
BEML,Engineering & Capital Goods,"16,582.00",2.54,1.05,
Bharat Fin,Banking & Financial Services,"34,271.00",2.47,1.02,
UPL,Chemicals,"29,388.00",2.47,1.02,
Strides Shasun,Pharmaceuticals,"24,684.00",2.47,1.02,
Himatsingka Sei,Manufacturing,"69,017.00",2.35,0.97,
Manpasand Bever,Food & Beverages,"29,522.00",2.32,0.96,
Tech Mahindra,Information Technology,"58,948.00",2.25,0.93,
Finolex Cables,Telecommunication,"49,349.00",2.25,0.93,
Hind Copper,Metals & Mining,"344,279.00",2.20,0.91,
Trident,Manufacturing,"296,284.00",2.18,0.90,
CenturyPlyboard,Miscellaneous,"68,298.00",2.01,0.83,
Dr Lal PathLab,Pharmaceuticals,"24,462.00",1.91,0.79,
Kirloskar Ind,Engineering & Capital Goods,"14,665.00",1.86,0.77,
Guj State Petro,Oil & Gas,"98,745.00",1.74,0.72,
Trent,Retail & Real Estate,"73,558.00",1.74,0.72,
Gujarat Gas,Oil & Gas,"21,507.00",1.60,0.66,
Timken,Engineering & Capital Goods,"22,460.00",1.50,0.62,
S H Kelkar,Miscellaneous,"56,000.00",1.48,0.61,
Zydus Wellness,Food & Beverages,"13,116.00",1.11,0.46,
HUDCO,Retail & Real Estate,"86,604.00",0.58,0.24,
Bajaj Electric,Consumer Durables,"6,669.00",0.22,0.09
