Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Ramco Cements,Cement & Construction,664.00,0.05,4.76,
Bajaj Finserv,Banking & Financial Services,93.00,0.04,3.94,
Federal Bank,Banking & Financial Services,"3,275.00",0.04,3.81,
M&M Financial,Banking & Financial Services,995.00,0.03,3.54,
IGL,Oil & Gas,306.00,0.03,3.33,
CESC,Utilities,371.00,0.03,3.32,
Coromandel Int,Chemicals,735.00,0.03,3.18,
Redington,Information Technology,"2,333.00",0.03,3.15,
Exide Ind,Automotive,"1,381.00",0.03,3.14,
Bayer CropScien,Chemicals,65.00,0.03,3.09,
Arvind,Manufacturing,752.00,0.03,2.79,
Karur Vysya,Banking & Financial Services,"1,837.00",0.03,2.74,
Bank of Baroda,Banking & Financial Services,"1,614.00",0.03,2.69,
Max Financial,Manufacturing,407.00,0.03,2.65,
Thermax,Engineering & Capital Goods,270.00,0.03,2.61,
Siemens,Engineering & Capital Goods,190.00,0.03,2.61,
Cholamandalam,Banking & Financial Services,219.00,0.02,2.54,
Century,Conglomerates,221.00,0.02,2.51,
Whirlpool,Consumer Durables,199.00,0.02,2.33,
UPL,Chemicals,268.00,0.02,2.32,
Apollo Tyres,Automotive,915.00,0.02,2.27,
Schaeffler Ind,Engineering & Capital Goods,49.00,0.02,2.26,
Motherson Sumi,Automotive,709.00,0.02,2.25,
Indian Bank,Banking & Financial Services,735.00,0.02,2.14,
Castrol,Chemicals,511.00,0.02,2.13,
CRISIL,Miscellaneous,101.00,0.02,2.03,
SRF,Manufacturing,121.00,0.02,1.92,
Vardhman Text,Manufacturing,146.00,0.02,1.72,
L&T Technology,Information Technology,225.00,0.02,1.66,
MphasiS,Information Technology,251.00,0.02,1.55,
Allahabad Bank,Banking & Financial Services,"2,216.00",0.02,1.55,
J. K. Cement,Cement & Construction,156.00,0.01,1.51,
CenturyPlyboard,Miscellaneous,475.00,0.01,1.44,
Emami,Consumer Non-durables,129.00,0.01,1.43,
HUDCO,Retail & Real Estate,"2,024.00",0.01,1.40,
GlaxoSmith Con,Food & Beverages,23.00,0.01,1.28,
Force Motors,Automotive,26.00,0.01,1.12,
Jindal Steel,Metals & Mining,874.00,0.01,1.11,
Schneider Infra,Utilities,798.00,0.01,1.05,
JM Financial,Banking & Financial Services,809.00,0.01,0.98,
Apollo Hospital,Services,69.00,0.01,0.91,
PNB,Banking & Financial Services,14.00,0.00,0.02
