Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
HPCL,Oil & Gas,"21,119.00",0.72,6.82,
UPL,Chemicals,"7,899.00",0.66,6.31,
L&T Finance,Banking & Financial Services,"40,997.00",0.59,5.60,
IOC,Oil & Gas,"13,994.00",0.54,5.12,
ICICI Bank,Banking & Financial Services,"17,805.00",0.52,4.91,
Guj Flourochem,Chemicals,"5,909.00",0.44,4.15,
IGL,Oil & Gas,"3,920.00",0.42,3.95,
India Cements,Cement & Construction,"20,736.00",0.41,3.89,
Chennai Petro,Oil & Gas,"11,535.00",0.41,3.88,
Atul,Chemicals,"1,670.00",0.41,3.85,
KPR Mill,Manufacturing,"4,156.00",0.34,3.24,
Arvind,Manufacturing,"9,261.00",0.33,3.17,
Dalmia Bharat,Cement & Construction,"1,241.00",0.31,2.91,
Muthoot Finance,Banking & Financial Services,"6,479.00",0.29,2.80,
PNB,Banking & Financial Services,"20,787.00",0.29,2.71,
Repco Home,Banking & Financial Services,"3,242.00",0.27,2.54,
BPCL,Oil & Gas,"3,556.00",0.23,2.16,
Minda Corp,Automotive,"20,712.00",0.23,2.15,
Birla Corp,Cement & Construction,"2,595.00",0.23,2.14,
DCB Bank,Banking & Financial Services,"10,864.00",0.22,2.05,
Shriram Trans,Banking & Financial Services,"2,073.00",0.21,1.97,
Blue Star,Consumer Durables,"3,188.00",0.19,1.82,
Thomas Cook,Miscellaneous,"7,537.00",0.19,1.78,
DLF,Retail & Real Estate,"9,709.00",0.19,1.76,
Pennar Eng,Miscellaneous,"14,081.00",0.18,1.74,
IDFC,Banking & Financial Services,"32,340.00",0.18,1.70,
Mahanagar Gas,Oil & Gas,"1,809.00",0.18,1.70,
Shemaroo Ent,Media & Entertainment,"3,857.00",0.14,1.35,
Laurus Labs,Pharmaceuticals,"2,209.00",0.14,1.29,
Heidelberg Cem,Cement & Construction,"9,430.00",0.12,1.12,
Canara Bank,Banking & Financial Services,"3,549.00",0.12,1.11,
Ambuja Cements,Cement & Construction,"4,536.00",0.11,1.06,
TeamLease Ser.,Miscellaneous,814.00,0.11,1.04,
GNFC,Chemicals,"4,074.00",0.11,1.04,
SBI,Banking & Financial Services,"3,230.00",0.09,0.84,
VIP Industries,Manufacturing,"3,859.00",0.07,0.67,
Satin Credit,Miscellaneous,"2,350.00",0.06,0.61,
Cummins,Engineering & Capital Goods,253.00,0.02,0.22
