Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
KEC Intl,Engineering & Capital Goods,"109,785.00",2.83,3.03,
Tube Investment,Miscellaneous,"38,895.00",2.60,2.78,
Johnson Control,Consumer Durables,"12,965.00",2.60,2.78,
Federal Bank,Banking & Financial Services,"223,441.00",2.52,2.70,
Mahindra CIE,Manufacturing,"93,850.00",2.29,2.45,
Guj State Petro,Oil & Gas,"123,250.00",2.18,2.33,
MRF,Automotive,313.00,2.14,2.29,
PNB Housing Fin,Banking & Financial Services,"12,404.00",1.98,2.12,
PNC Infratech,Retail & Real Estate,"134,346.00",1.92,2.06,
TeamLease Ser.,Miscellaneous,"13,829.00",1.86,1.99,
Hindalco,Metals & Mining,"97,327.00",1.86,1.99,
CG Consumer,Manufacturing,"80,420.00",1.82,1.95,
RBL Bank,Banking & Financial Services,"35,682.00",1.81,1.94,
L&T Finance,Banking & Financial Services,"124,261.00",1.79,1.92,
Bharat Elec,Manufacturing,"107,524.00",1.74,1.86,
IDFC,Banking & Financial Services,"312,709.00",1.73,1.85,
Eris Life,Pharmaceuticals,"28,112.00",1.69,1.81,
Yes Bank,Banking & Financial Services,"11,167.00",1.63,1.75,
HPCL,Oil & Gas,"46,935.00",1.60,1.71,
CG Power ,Engineering & Capital Goods,"194,515.00",1.60,1.71,
Bayer CropScien,Chemicals,"3,407.00",1.58,1.69,
Petronet LNG,Oil & Gas,"72,194.00",1.56,1.67,
IRB Infra,Engineering & Capital Goods,"73,694.00",1.54,1.65,
Aurobindo Pharm,Pharmaceuticals,"22,372.00",1.53,1.64,
Natco Pharma,Pharmaceuticals,"14,451.00",1.45,1.55,
BSE Limited,Miscellaneous,"13,397.00",1.44,1.54,
Voltas,Conglomerates,"31,249.00",1.43,1.53,
Pfizer,Pharmaceuticals,"7,391.00",1.34,1.43,
J. K. Cement,Cement & Construction,"13,925.00",1.31,1.40,
MRPL,Oil & Gas,"107,408.00",1.27,1.36,
AB Nuvo,Conglomerates,"6,681.00",1.24,1.33,
Hind Zinc,Metals & Mining,"44,632.00",1.18,1.26,
BEML,Engineering & Capital Goods,"7,675.00",1.18,1.26,
Divis Labs,Pharmaceuticals,"17,892.00",1.16,1.24,
Guj Flourochem,Chemicals,"15,668.00",1.16,1.24,
Finolex Cables,Telecommunication,"25,174.00",1.15,1.23,
Max Financial,Manufacturing,"17,906.00",1.13,1.21,
Delta Corp,Banking & Financial Services,"72,186.00",1.12,1.20,
Solar Ind,Chemicals,"13,363.00",1.10,1.18,
Torrent Pharma,Pharmaceuticals,"8,952.00",1.09,1.17,
Colgate,Consumer Non-durables,"9,584.00",1.06,1.14,
Dalmia Bharat,Cement & Construction,"4,273.00",1.06,1.13,
HUDCO,Retail & Real Estate,"154,490.00",1.04,1.11,
Schaeffler Ind,Engineering & Capital Goods,"2,226.00",0.99,1.06,
Century,Conglomerates,"8,915.00",0.98,1.05,
Carborundum,Engineering & Capital Goods,"30,149.00",0.98,1.05,
Emami,Consumer Non-durables,"8,943.00",0.96,1.03,
Jyothy Labs,Consumer Non-durables,"26,765.00",0.95,1.02,
Apollo Hospital,Services,"7,034.00",0.90,0.96,
Fortis Health,Services,"53,613.00",0.87,0.93,
Tech Mahindra,Information Technology,"22,247.00",0.85,0.91,
DCB Bank,Banking & Financial Services,"40,441.00",0.80,0.86,
Welspun India,Manufacturing,"89,212.00",0.74,0.79,
Mindtree,Information Technology,"13,417.00",0.71,0.76,
Cummins,Engineering & Capital Goods,"7,311.00",0.67,0.72,
Repco Home,Banking & Financial Services,"7,472.00",0.62,0.66,
GlaxoSmith Con,Food & Beverages,"1,151.00",0.62,0.66,
Capital First,Banking & Financial Services,"7,560.00",0.50,0.54,
S Chand and Co,Miscellaneous,"9,945.00",0.47,0.50,
Cyient,Information Technology,"9,013.00",0.46,0.49,
Satin Credit,Miscellaneous,"15,352.00",0.42,0.45,
Equitas Holding,Banking & Financial Services,"23,036.00",0.35,0.37,
Firstsource Sol,Information Technology,"65,729.00",0.22,0.24
