Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Himatsingka Sei,Manufacturing,"103,093.00",3.51,3.81,
Navin Fluorine,Chemicals,"49,446.00",3.00,3.26,
India Cements,Cement & Construction,"140,299.00",2.77,3.01,
NCC,Cement & Construction,"309,043.00",2.70,2.93,
Astra Microwave,Telecommunication,"187,017.00",2.65,2.88,
Asian Granito,Cement & Construction,"56,642.00",2.44,2.65,
Mahindra Holida,Services,"56,652.00",2.21,2.40,
Rallis India,Chemicals,"84,226.00",2.04,2.22,
Taj GVK Hotels,Services,"116,088.00",1.96,2.13,
Repco Home,Banking & Financial Services,"23,552.00",1.94,2.11,
Rane Holdings,Automotive,"10,826.00",1.89,2.05,
Elgi Equipments,Engineering & Capital Goods,"81,282.00",1.88,2.04,
Ramcoind,Cement & Construction,"78,093.00",1.85,2.01,
Grindwell Norto,Engineering & Capital Goods,"45,308.00",1.82,1.98,
Rajapalayam,Manufacturing,"18,813.00",1.82,1.98,
Praj Industries,Engineering & Capital Goods,"233,873.00",1.76,1.91,
Brigade Ent,Retail & Real Estate,"66,993.00",1.73,1.88,
Indian Terrain,Manufacturing,"80,994.00",1.65,1.79,
JK Tyre & Ind,Automotive,"101,325.00",1.63,1.77,
Johnson Control,Consumer Durables,"7,909.00",1.58,1.72,
Ashoka Buildcon,Cement & Construction,"78,812.00",1.45,1.58,
Force Motors,Automotive,"2,818.00",1.19,1.29,
Guj Mineral,Metals & Mining,"80,805.00",1.19,1.29,
Geojit Fin,Banking & Financial Services,"121,455.00",1.19,1.29,
Subros,Automotive,"48,383.00",1.17,1.27,
Va Tech Wabag,Engineering & Capital Goods,"16,445.00",1.13,1.23,
Timken,Engineering & Capital Goods,"16,807.00",1.12,1.22,
Dollar Ind,Manufacturing,"5,366.00",1.12,1.22,
Mcleod,Food & Beverages,"64,143.00",1.11,1.21,
PSP Projects,Cement & Construction,"41,319.00",1.11,1.21,
HSIL,Cement & Construction,"29,472.00",1.08,1.17,
CL Educate,Miscellaneous,"25,349.00",1.08,1.17,
Hind Constr,Cement & Construction,"266,114.00",1.04,1.13,
Himadri Special,Chemicals,"131,208.00",1.03,1.12,
LG Balakrishnan,Engineering & Capital Goods,"13,670.00",1.02,1.11,
Navneet,Miscellaneous,"54,965.00",0.99,1.07,
Premier Explo,Chemicals,"20,130.00",0.99,1.07,
SREI Infra,Banking & Financial Services,"84,936.00",0.99,1.07,
TD Power System,Engineering & Capital Goods,"42,186.00",0.96,1.04,
GNA Axles,Automotive,"41,191.00",0.95,1.03,
Clariant Chem,Chemicals,"14,549.00",0.92,1.00,
Tata Elxsi,Information Technology,"5,752.00",0.91,0.99,
RPP Infra Proj,Cement & Construction,"37,474.00",0.90,0.98,
West Coast Pap,Manufacturing,"45,778.00",0.88,0.96,
INOX Leisure,Media & Entertainment,"31,891.00",0.87,0.95,
Triveni Engg,Food & Beverages,"113,446.00",0.83,0.90,
Kalpataru Power,Engineering & Capital Goods,"24,917.00",0.81,0.88,
S Chand and Co,Miscellaneous,"14,512.00",0.68,0.74,
Ingersoll Rand,Engineering & Capital Goods,"5,896.00",0.50,0.54,
Orient Refract,Cement & Construction,"34,735.00",0.48,0.52,
Ujjivan Financi,Banking & Financial Services,"8,626.00",0.27,0.29,
MM Forgings,Manufacturing,"2,253.00",0.14,0.15,
Star Cement,Metals & Mining,"2,313.00",0.03,0.03
