Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Yes Bank,Banking & Financial Services,"1,512,349.00",273.66,4.58,
Finolex Cables,Telecommunication,"4,070,052.00",189.99,3.18,
Equitas Holding,Banking & Financial Services,"11,253,507.00",188.50,3.15,
HDFC Bank,Banking & Financial Services,"979,822.00",174.84,2.92,
Apollo Tyres,Automotive,"5,293,261.00",141.07,2.36,
Guj State Petro,Oil & Gas,"7,195,016.00",140.12,2.34,
Voltas,Conglomerates,"2,679,100.00",135.09,2.26,
Cadila Health,Pharmaceuticals,"2,465,038.00",134.01,2.24,
CESC,Utilities,"1,378,637.00",129.97,2.17,
Schaeffler Ind,Engineering & Capital Goods,"275,692.00",125.17,2.09,
J. K. Cement,Cement & Construction,"1,217,476.00",123.94,2.07,
Karur Vysya,Banking & Financial Services,"8,763,980.00",122.91,2.06,
Kotak Mahindra,Banking & Financial Services,"1,188,711.00",121.44,2.03,
Axis Bank,Banking & Financial Services,"2,323,838.00",120.79,2.02,
Repco Home,Banking & Financial Services,"1,623,986.00",120.41,2.01,
WABCO India,Automotive,"215,547.00",117.77,1.97,
Torrent Pharma,Pharmaceuticals,"869,492.00",114.60,1.92,
Kajaria Ceramic,Cement & Construction,"1,593,720.00",107.84,1.80,
Petronet LNG,Oil & Gas,"5,167,506.00",105.39,1.76,
Whirlpool,Consumer Durables,"874,021.00",102.32,1.71,
Tata Motors (D),Automotive,"3,900,000.00",101.60,1.70,
Gujarat Pipavav,Services,"6,687,068.00",98.37,1.64,
Bajaj Holdings,Banking & Financial Services,"391,668.00",94.82,1.59,
Bayer CropScien,Chemicals,"201,813.00",94.75,1.58,
Oracle Fin Serv,Information Technology,"258,180.00",93.53,1.56,
Cyient,Information Technology,"1,769,026.00",92.85,1.55,
United Brewerie,Food & Beverages,"1,120,000.00",91.91,1.54,
City Union Bank,Banking & Financial Services,"5,197,188.00",91.65,1.53,
Aditya Birla F,Retail & Real Estate,"5,218,724.00",90.02,1.51,
Havells India,Engineering & Capital Goods,"1,893,831.00",89.54,1.50,
BPCL,Oil & Gas,"1,886,553.00",88.88,1.49,
eClerx Services,Information Technology,"681,542.00",88.47,1.48,
Vardhman Text,Manufacturing,"713,598.00",86.96,1.45,
Bata India,Consumer Non-durables,"1,462,522.00",86.02,1.44,
Exide Ind,Automotive,"3,930,952.00",85.50,1.43,
Info Edge,Miscellaneous,"816,000.00",81.10,1.36,
Indian Hotels,Services,"6,241,604.00",77.80,1.30,
Mindtree,Information Technology,"1,618,672.00",77.28,1.29,
Coromandel Int,Chemicals,"1,684,709.00",75.74,1.27,
Sobha,Retail & Real Estate,"1,816,862.00",72.55,1.21,
CARE,Miscellaneous,"446,833.00",72.32,1.21,
SKF India,Engineering & Capital Goods,"461,841.00",71.86,1.20,
Balkrishna Ind,Automotive,"438,418.00",71.27,1.19,
Cummins,Engineering & Capital Goods,"720,000.00",71.12,1.19,
Arvind,Manufacturing,"1,920,649.00",70.28,1.18,
Amara Raja Batt,Automotive,"847,835.00",70.74,1.18,
Hindalco,Metals & Mining,"3,195,282.00",70.18,1.17,
Tata Chemicals,Chemicals,"1,062,646.00",65.87,1.10,
Sundaram Fin,Banking & Financial Services,"376,519.00",63.15,1.06,
Larsen,Engineering & Capital Goods,"495,000.00",59.10,0.99,
CG Consumer,Manufacturing,"2,679,949.00",58.61,0.98,
PI Industries,Chemicals,"656,061.00",50.24,0.84,
TVS Motor,Automotive,"809,473.00",47.12,0.79,
Kansai Nerolac,Chemicals,"1,023,536.00",46.83,0.78,
Sanofi India,Pharmaceuticals,"100,000.00",43.05,0.72,
MMTC Ltd,Services,"140,468.00",29.56,0.49,
Gateway Distri,Miscellaneous,"1,030,375.00",28.24,0.47,
DCB Bank,Banking & Financial Services,"1,436,781.00",28.09,0.47,
PNB Housing Fin,Banking & Financial Services,"106,261.00",15.96,0.27,
Blue Dart,Services,"29,300.00",12.49,0.21
