Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
IndusInd Bank,Banking & Financial Services,-,-,4.98,
Coromandel Int,Chemicals,-,-,4.34,
Vinati Organics,Chemicals,-,-,3.75,
Schaeffler Ind,Engineering & Capital Goods,-,-,3.61,
Container Corp,Services,-,-,3.58,
Ramco Cements,Cement & Construction,-,-,3.53,
United Brewerie,Food & Beverages,-,-,3.46,
Heritage Foods,Food & Beverages,-,-,3.33,
Wonderla,Miscellaneous,-,-,3.26,
Piramal Enter,Pharmaceuticals,-,-,3.22,
MCX India,Miscellaneous,-,-,3.17,
MRF,Automotive,-,-,3.14,
Aditya Birla F,Retail & Real Estate,-,-,2.94,
Petronet LNG,Oil & Gas,-,-,2.78,
United Spirits,Food & Beverages,-,-,2.71,
AIA Engineering,Engineering & Capital Goods,-,-,2.59,
Exide Ind,Automotive,-,-,2.59,
ISGEC Heavy Eng,Food & Beverages,-,-,2.57,
Maruti Suzuki,Automotive,-,-,2.52,
Motherson Sumi,Automotive,-,-,2.41,
Timken,Engineering & Capital Goods,-,-,2.40,
L&T Finance,Banking & Financial Services,-,-,2.37,
Thermax,Engineering & Capital Goods,-,-,2.24,
Cholamandalam,Banking & Financial Services,-,-,2.19,
Tata Metaliks,Metals & Mining,-,-,2.14,
Syngene Intl,Miscellaneous,-,-,2.11,
Redington,Information Technology,-,-,2.11,
Voltas,Conglomerates,-,-,2.07,
Rallis India,Chemicals,-,-,2.02,
VIP Industries,Manufacturing,-,-,1.91,
Greenply Ind,Miscellaneous,-,-,1.91,
V-Mart Retail,Retail & Real Estate,-,-,1.41,
PNC Infratech,Retail & Real Estate,-,-,1.40,
Esab India,Engineering & Capital Goods,-,-,1.18,
Repco Home,Banking & Financial Services,-,-,1.13,
Shriram Trans,Banking & Financial Services,-,-,1.03,
DB Corp,Media & Entertainment,-,-,1.02,
Camlin Fine,Chemicals,-,-,0.83
