Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Federal Bank,Banking & Financial Services,"3,235,877.00",36.52,5.31,
IndusInd Bank,Banking & Financial Services,"241,331.00",35.69,5.19,
Bharat Elec,Manufacturing,"1,443,084.00",23.31,3.39,
KPR Mill,Manufacturing,"277,116.00",22.28,3.24,
PVR,Media & Entertainment,"155,258.00",21.87,3.18,
RamkrishnaForge,Manufacturing,"400,217.00",20.84,3.03,
City Union Bank,Banking & Financial Services,"1,227,730.00",19.74,2.87,
Repco Home,Banking & Financial Services,"235,916.00",19.46,2.83,
JK Lakshmi Cem,Cement & Construction,"337,539.00",16.37,2.38,
Tata Chemicals,Chemicals,"268,531.00",16.30,2.37,
Va Tech Wabag,Engineering & Capital Goods,"230,665.00",15.89,2.31,
Shankara Buildi,Miscellaneous,"193,670.00",15.68,2.28,
Kansai Nerolac,Chemicals,"352,987.00",15.54,2.26,
KNR Construct,Cement & Construction,"738,247.00",15.27,2.22,
Guj State Petro,Oil & Gas,"837,471.00",14.79,2.15,
Sundaram Fin,Banking & Financial Services,"91,947.00",14.79,2.15,
Deepak Fert,Chemicals,"542,080.00",14.58,2.12,
Petronet LNG,Oil & Gas,"668,504.00",14.44,2.10,
Mahindra Holida,Services,"366,689.00",14.30,2.08,
Alkem Lab,Pharmaceuticals,"74,492.00",13.82,2.01,
PNC Infratech,Retail & Real Estate,"946,068.00",13.55,1.97,
Guj Alkali,Chemicals,"344,160.00",13.34,1.94,
EngineersInd,Engineering & Capital Goods,"863,540.00",13.27,1.93,
Interglobe Avi,Services,"110,240.00",12.86,1.87,
Britannia,Food & Beverages,"34,478.00",12.72,1.85,
PNB Housing Fin,Banking & Financial Services,"77,550.00",12.38,1.80,
DCM Shriram,Conglomerates,"344,150.00",11.83,1.72,
Aditya Birla F,Retail & Real Estate,"670,250.00",11.62,1.69,
Manpasand Bever,Food & Beverages,"142,370.00",11.21,1.63,
Guj Mineral,Metals & Mining,"757,873.00",11.14,1.62,
MOIL,Metals & Mining,"344,712.00",11.00,1.60,
MCX India,Miscellaneous,"98,577.00",10.73,1.56,
Cholamandalam,Banking & Financial Services,"94,205.00",10.59,1.54,
Ratnamani Metal,Metals & Mining,"129,020.00",10.59,1.54,
DCB Bank,Banking & Financial Services,"529,799.00",10.52,1.53,
Shriram City,Banking & Financial Services,"44,137.00",10.52,1.53,
Endurance Techn,Automotive,"104,477.00",9.15,1.33,
Dhanuka Agritec,Chemicals,"108,086.00",9.08,1.32,
J. K. Cement,Cement & Construction,"86,429.00",8.11,1.18,
Cadila Health,Pharmaceuticals,"151,906.00",7.98,1.16,
Indian Metals,Metals & Mining,"164,087.00",7.70,1.12,
Insecticides,Chemicals,"112,518.00",7.22,1.05,
Heidelberg Cem,Cement & Construction,"560,715.00",7.01,1.02,
Sutlej Textiles,Manufacturing,"73,636.00",6.67,0.97,
Max Financial,Manufacturing,"86,085.00",5.43,0.79,
Union Bank,Banking & Financial Services,"345,250.00",5.09,0.74,
VRL Logistics,Services,"141,603.00",4.75,0.69
