,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,MRF,Automotive,100.00,0.69,2.44,,motilal-most-shares-midcap-100-etf,MMO002
1,REC,Banking & Financial Services,"33,128.00",0.58,2.04,,motilal-most-shares-midcap-100-etf,MMO002
2,Cadila Health,Pharmaceuticals,"10,471.00",0.57,2.0,,motilal-most-shares-midcap-100-etf,MMO002
3,Vakrangee,Information Technology,"12,559.00",0.55,1.95,,motilal-most-shares-midcap-100-etf,MMO002
4,Siemens,Engineering & Capital Goods,"3,642.00",0.53,1.87,,motilal-most-shares-midcap-100-etf,MMO002
5,Bharat Elec,Manufacturing,"29,244.00",0.52,1.84,,motilal-most-shares-midcap-100-etf,MMO002
6,Container Corp,Services,"4,488.00",0.51,1.81,,motilal-most-shares-midcap-100-etf,MMO002
7,Pidilite Ind,Chemicals,"6,293.00",0.5,1.76,,motilal-most-shares-midcap-100-etf,MMO002
8,Petronet LNG,Oil & Gas,"24,547.00",0.5,1.76,,motilal-most-shares-midcap-100-etf,MMO002
9,PNB,Banking & Financial Services,"30,472.00",0.49,1.74,,motilal-most-shares-midcap-100-etf,MMO002
10,TVS Motor,Automotive,"8,358.00",0.49,1.71,,motilal-most-shares-midcap-100-etf,MMO002
11,Voltas,Conglomerates,"9,477.00",0.48,1.68,,motilal-most-shares-midcap-100-etf,MMO002
12,Havells India,Engineering & Capital Goods,"9,715.00",0.46,1.62,,motilal-most-shares-midcap-100-etf,MMO002
13,Power Finance,Banking & Financial Services,"36,725.00",0.46,1.61,,motilal-most-shares-midcap-100-etf,MMO002
14,M&M Financial,Banking & Financial Services,"11,169.00",0.45,1.58,,motilal-most-shares-midcap-100-etf,MMO002
15,Tata Chemicals,Chemicals,"7,191.00",0.45,1.57,,motilal-most-shares-midcap-100-etf,MMO002
16,Bharat Fin,Banking & Financial Services,"5,195.00",0.44,1.55,,motilal-most-shares-midcap-100-etf,MMO002
17,Apollo Hospital,Services,"3,473.00",0.44,1.54,,motilal-most-shares-midcap-100-etf,MMO002
18,L&T Finance,Banking & Financial Services,"24,589.00",0.43,1.52,,motilal-most-shares-midcap-100-etf,MMO002
19,Exide Ind,Automotive,"18,780.00",0.41,1.44,,motilal-most-shares-midcap-100-etf,MMO002
20,NMDC,Metals & Mining,"32,361.00",0.41,1.44,,motilal-most-shares-midcap-100-etf,MMO002
21,Rajesh Exports,Services,"5,557.00",0.4,1.39,,motilal-most-shares-midcap-100-etf,MMO002
22,Page Industries,Manufacturing,233.00,0.38,1.34,,motilal-most-shares-midcap-100-etf,MMO002
23,Rel Capital,Banking & Financial Services,"4,961.00",0.36,1.27,,motilal-most-shares-midcap-100-etf,MMO002
24,Ramco Cements,Cement & Construction,"5,260.00",0.36,1.26,,motilal-most-shares-midcap-100-etf,MMO002
25,DLF,Retail & Real Estate,"18,248.00",0.35,1.24,,motilal-most-shares-midcap-100-etf,MMO002
26,ICICI Prudentia,Banking & Financial Services,"7,634.00",0.35,1.23,,motilal-most-shares-midcap-100-etf,MMO002
27,Karur Vysya,Banking & Financial Services,"24,424.00",0.34,1.21,,motilal-most-shares-midcap-100-etf,MMO002
28,IGL,Oil & Gas,"2,864.00",0.34,1.19,,motilal-most-shares-midcap-100-etf,MMO002
29,Biocon,Pharmaceuticals,"8,591.00",0.33,1.16,,motilal-most-shares-midcap-100-etf,MMO002
30,Oracle Fin Serv,Information Technology,907.00,0.33,1.16,,motilal-most-shares-midcap-100-etf,MMO002
31,IDFC Bank,Banking & Financial Services,"54,241.00",0.32,1.14,,motilal-most-shares-midcap-100-etf,MMO002
32,Sun TV Network,Media & Entertainment,"4,031.00",0.31,1.11,,motilal-most-shares-midcap-100-etf,MMO002
33,Natco Pharma,Pharmaceuticals,"3,209.00",0.31,1.1,,motilal-most-shares-midcap-100-etf,MMO002
34,Apollo Tyres,Automotive,"11,663.00",0.31,1.09,,motilal-most-shares-midcap-100-etf,MMO002
35,P and G,Consumer Non-durables,385.00,0.31,1.09,,motilal-most-shares-midcap-100-etf,MMO002
36,ABB India,Engineering & Capital Goods,"2,168.00",0.31,1.09,,motilal-most-shares-midcap-100-etf,MMO002
37,Canara Bank,Banking & Financial Services,"8,309.00",0.31,1.08,,motilal-most-shares-midcap-100-etf,MMO002
38,Indian Hotels,Services,"24,690.00",0.31,1.08,,motilal-most-shares-midcap-100-etf,MMO002
39,Dewan Housing,Banking & Financial Services,"6,539.00",0.3,1.05,,motilal-most-shares-midcap-100-etf,MMO002
40,Reliance Infra,Utilities,"5,595.00",0.3,1.04,,motilal-most-shares-midcap-100-etf,MMO002
41,Hind Zinc,Metals & Mining,"10,373.00",0.29,1.03,,motilal-most-shares-midcap-100-etf,MMO002
