,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-01-02 10:00:00+00:00,,0.0,,0.002821218000000014,,,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-02 10:00:00+00:00,2017-01,2017-01-02 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,1,[],0.0
2017-01-03 10:00:00+00:00,0.0,0.0,0.0,0.006580454789889112,0.010410521855285354,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-03 10:00:00+00:00,2017-01,2017-01-03 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,2,[],0.0
2017-01-04 10:00:00+00:00,0.0,0.0,0.0,0.006866873231977877,0.028467311423041625,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-04 10:00:00+00:00,2017-01,2017-01-04 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,3,[],0.0
2017-01-05 10:00:00+00:00,0.0,0.0,0.0,0.017772240281018536,0.07170499025935942,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-05 10:00:00+00:00,2017-01,2017-01-05 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,4,[],0.0
2017-01-06 10:00:00+00:00,0.0,0.0,0.0,0.014363865571975554,0.08306121008592184,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-06 10:00:00+00:00,2017-01,2017-01-06 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,5,[],0.0
2017-01-09 10:00:00+00:00,0.0,0.0,0.0,0.014657443776313173,0.07614751196048726,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-09 10:00:00+00:00,2017-01,2017-01-09 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,6,[],0.0
2017-01-10 10:00:00+00:00,0.0,0.0,0.0,0.021395428730326405,0.07394578962954455,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-10 10:00:00+00:00,2017-01,2017-01-10 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,7,[],0.0
2017-01-11 10:00:00+00:00,0.0,0.0,0.0,0.03313140826598415,0.0832893248217463,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-11 10:00:00+00:00,2017-01,2017-01-11 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,8,[],0.0
2017-01-12 10:00:00+00:00,0.0,0.0,0.0,0.03566620857374159,0.07839248127533716,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-12 10:00:00+00:00,2017-01,2017-01-12 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,9,[],0.0
2017-01-13 10:00:00+00:00,0.0,0.0,0.0,0.03515781660261208,0.07714356163913855,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2017-01-13 10:00:00+00:00,2017-01,2017-01-13 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,10,[],0.0
