,algo_volatility
2008-01-02 10:00:00,
2008-01-03 10:00:00,0.0
2008-01-04 10:00:00,0.0
2008-01-07 10:00:00,0.0
2008-01-08 10:00:00,0.0
2008-01-09 10:00:00,0.0
2008-01-10 10:00:00,0.0
2008-01-11 10:00:00,0.0
2008-01-14 10:00:00,0.0
2008-01-15 10:00:00,0.0
2008-01-16 10:00:00,0.0
2008-01-17 10:00:00,0.0
2008-01-18 10:00:00,0.0
2008-01-21 10:00:00,0.0
2008-01-22 10:00:00,0.0
2008-01-23 10:00:00,0.0
2008-01-24 10:00:00,0.0
2008-01-25 10:00:00,0.0
2008-01-28 10:00:00,0.0
2008-01-29 10:00:00,0.0
2008-01-30 10:00:00,0.0
2008-01-31 10:00:00,0.0
2008-02-01 10:00:00,0.0009738031674161649
2008-02-04 10:00:00,0.039428064180708766
2008-02-05 10:00:00,0.07853596307155115
2008-02-06 10:00:00,0.07799847035091115
2008-02-07 10:00:00,0.10831646624784144
2008-02-08 10:00:00,0.12733500208872126
2008-02-11 10:00:00,0.1568084463531059
2008-02-12 10:00:00,0.1839513559438438
2008-02-13 10:00:00,0.19215973855947938
2008-02-14 10:00:00,0.22221536920762947
2008-02-15 10:00:00,0.23156648045696104
2008-02-18 10:00:00,0.23722648089254286
2008-02-19 10:00:00,0.23371837722378652
2008-02-20 10:00:00,0.23416487306905406
2008-02-21 10:00:00,0.23102222323258353
2008-02-22 10:00:00,0.2284821017860013
2008-02-25 10:00:00,0.22790143083174197
2008-02-26 10:00:00,0.23328623937214532
2008-02-27 10:00:00,0.23136297369915623
2008-02-28 10:00:00,0.22902142361838385
2008-02-29 10:00:00,0.2266429378776509
2008-03-03 10:00:00,0.23557654844855994
2008-03-04 10:00:00,0.2403306159145893
2008-03-05 10:00:00,0.24391287119284466
2008-03-07 10:00:00,0.24739267665124395
2008-03-10 10:00:00,0.2489283252363763
2008-03-11 10:00:00,0.2530729724570723
2008-03-12 10:00:00,0.250775891498205
2008-03-13 10:00:00,0.26718388410832283
2008-03-14 10:00:00,0.2646079689358669
2008-03-17 10:00:00,0.29745443263477955
2008-03-18 10:00:00,0.29842123109542035
2008-03-19 10:00:00,0.29584296745546884
2008-03-24 10:00:00,0.3013074997148804
2008-03-25 10:00:00,0.32966815852976517
2008-03-26 10:00:00,0.3304948394448336
2008-03-27 10:00:00,0.3289290769524939
2008-03-28 10:00:00,0.3364918752751512
2008-03-31 10:00:00,0.33371494157554366
2008-04-01 10:00:00,0.33124974129427404
2008-04-02 10:00:00,0.3287203019166082
2008-04-03 10:00:00,0.3262903023999294
2008-04-04 10:00:00,0.32378419509559897
2008-04-07 10:00:00,0.32174075784172484
2008-04-08 10:00:00,0.32160744474682795
2008-04-09 10:00:00,0.32008210613296506
2008-04-10 10:00:00,0.3185978390263864
2008-04-11 10:00:00,0.3166150502336802
2008-04-15 10:00:00,0.3143458851201886
2008-04-16 10:00:00,0.3129134538092054
2008-04-17 10:00:00,0.31088120753503945
2008-04-21 10:00:00,0.3142593038606788
2008-04-22 10:00:00,0.3121327822507526
2008-04-23 10:00:00,0.3100739507718531
2008-04-24 10:00:00,0.30814272485503724
2008-04-25 10:00:00,0.30613541135230465
2008-04-28 10:00:00,0.30420432701767974
2008-04-29 10:00:00,0.3028701413151384
2008-04-30 10:00:00,0.3013465739139456
2008-05-02 10:00:00,0.2995566590850216
2008-05-05 10:00:00,0.2977286184911595
2008-05-06 10:00:00,0.29621874585207725
2008-05-07 10:00:00,0.29445102500462383
2008-05-08 10:00:00,0.29345212006988103
2008-05-09 10:00:00,0.29300311177426613
2008-05-12 10:00:00,0.2920144370811078
2008-05-13 10:00:00,0.29047268134246873
2008-05-14 10:00:00,0.2890236264851792
2008-05-15 10:00:00,0.2890424044882506
2008-05-16 10:00:00,0.28970762675699613
2008-05-20 10:00:00,0.2881288454519532
2008-05-21 10:00:00,0.2867640789155616
2008-05-22 10:00:00,0.28565659125157705
2008-05-23 10:00:00,0.2843628036170865
2008-05-26 10:00:00,0.28475088110738217
2008-05-27 10:00:00,0.2833323073689346
2008-05-28 10:00:00,0.2819216526419039
2008-05-29 10:00:00,0.28051218015826884
2008-05-30 10:00:00,0.27979030392546567
2008-06-02 10:00:00,0.28257169615880556
2008-06-03 10:00:00,0.28187797576428136
2008-06-04 10:00:00,0.28067185971556063
2008-06-05 10:00:00,0.2793242817159173
2008-06-06 10:00:00,0.2780428404670391
2008-06-09 10:00:00,0.2783291131559475
2008-06-10 10:00:00,0.2771348449482656
2008-06-11 10:00:00,0.2760500245454429
2008-06-12 10:00:00,0.2761766886380967
2008-06-13 10:00:00,0.2749437823477291
2008-06-16 10:00:00,0.2752550353842892
2008-06-17 10:00:00,0.2758459941476929
2008-06-18 10:00:00,0.27497211297444024
2008-06-19 10:00:00,0.2748977729469138
2008-06-20 10:00:00,0.2759771999348448
2008-06-23 10:00:00,0.27962228957640894
2008-06-24 10:00:00,0.2798207732161767
2008-06-25 10:00:00,0.27863630944419043
2008-06-26 10:00:00,0.27755509767107606
2008-06-27 10:00:00,0.2769970355164184
2008-06-30 10:00:00,0.28237453144657415
2008-07-01 10:00:00,0.28589041879017085
2008-07-02 10:00:00,0.2869458383582492
2008-07-03 10:00:00,0.2868071584690278
2008-07-04 10:00:00,0.2856656442049686
2008-07-07 10:00:00,0.2877156670653623
2008-07-08 10:00:00,0.28661776434388936
2008-07-09 10:00:00,0.2877472116809128
2008-07-10 10:00:00,0.28663790296028024
2008-07-11 10:00:00,0.28586318614272166
2008-07-14 10:00:00,0.28500271042723435
2008-07-15 10:00:00,0.2877992713745173
2008-07-16 10:00:00,0.28675849517190627
2008-07-17 10:00:00,0.28681068598299175
2008-07-18 10:00:00,0.2866373037821856
2008-07-21 10:00:00,0.2856090383625369
2008-07-22 10:00:00,0.28634398001985933
2008-07-23 10:00:00,0.29604241380945423
2008-07-24 10:00:00,0.2950990952426536
2008-07-25 10:00:00,0.29419907156794545
2008-07-28 10:00:00,0.2950625969657652
2008-07-29 10:00:00,0.2944700284862264
2008-07-30 10:00:00,0.2947741409443491
2008-07-31 10:00:00,0.29399459967753216
2008-08-01 10:00:00,0.2929961835377221
2008-08-04 10:00:00,0.2929674889960942
2008-08-05 10:00:00,0.2932680184649175
2008-08-06 10:00:00,0.29228706462682336
2008-08-07 10:00:00,0.2915367876781322
2008-08-08 10:00:00,0.29073980980806197
2008-08-11 10:00:00,0.29109842897802124
2008-08-12 10:00:00,0.29092879450267206
2008-08-13 10:00:00,0.29008412243207016
2008-08-14 10:00:00,0.2894754268043383
2008-08-18 10:00:00,0.2885984326156185
2008-08-19 10:00:00,0.2876948903989548
2008-08-20 10:00:00,0.2868174090021193
2008-08-21 10:00:00,0.2863173160382637
2008-08-22 10:00:00,0.28542509485104384
2008-08-25 10:00:00,0.28459124189136864
2008-08-26 10:00:00,0.2838921608874783
2008-08-27 10:00:00,0.2830235418185083
2008-08-28 10:00:00,0.28224138408334765
2008-08-29 10:00:00,0.28284675813939836
2008-09-01 10:00:00,0.28200915307621455
2008-09-02 10:00:00,0.2820381005126175
2008-09-04 10:00:00,0.28130748164023933
2008-09-05 10:00:00,0.2805981020958914
2008-09-08 10:00:00,0.27990661738300426
2008-09-09 10:00:00,0.27927535692851896
2008-09-10 10:00:00,0.2785235617718415
2008-09-11 10:00:00,0.2781272535647992
2008-09-12 10:00:00,0.27866327883498615
2008-09-15 10:00:00,0.2791509894771163
2008-09-16 10:00:00,0.2783608403168071
2008-09-17 10:00:00,0.277615012876487
2008-09-18 10:00:00,0.2777049988027078
2008-09-19 10:00:00,0.2840880885318725
