,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2018-10-24 10:00:00+00:00,,0.0,,-0.030298600197361303,,,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-10-24 10:00:00+00:00,2018-10,2018-10-24 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,1,[],0.0
2018-10-25 10:00:00+00:00,0.0,0.0,0.0,-0.012901575234823381,0.5414836795900304,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-10-25 10:00:00+00:00,2018-10,2018-10-25 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,2,[],0.0
2018-10-26 10:00:00+00:00,0.0,0.0,0.0,-0.030262051825591274,0.39690677199122704,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-10-26 10:00:00+00:00,2018-10,2018-10-26 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,3,[],0.0
2018-10-29 10:00:00+00:00,0.0,0.0,0.0,-0.035634662475786616,0.32598486606414434,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-10-29 10:00:00+00:00,2018-10,2018-10-29 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,4,[],0.0
2018-10-30 10:00:00+00:00,0.0,0.0,0.0,-0.02134424911370214,0.32861010084620274,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-10-30 10:00:00+00:00,2018-10,2018-10-30 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,5,[],0.0
2018-10-31 10:00:00+00:00,0.0,0.0,0.0,-0.010891414787471354,0.30920070753243745,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-10-31 10:00:00+00:00,2018-10,2018-10-31 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,6,[],0.0
2018-11-01 10:00:00+00:00,0.0,0.0,0.0,-0.0003654837177005099,0.29175821961994924,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-11-01 10:00:00+00:00,2018-11,2018-11-01 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,7,[],0.0
2018-11-02 10:00:00+00:00,0.0,0.0,0.0,-0.006286319944446617,0.2722181993183097,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-11-02 10:00:00+00:00,2018-11,2018-11-02 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,8,[],0.0
2018-11-05 10:00:00+00:00,0.0,0.0,0.0,-0.0008040641789409664,0.2567249374098433,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-11-05 10:00:00+00:00,2018-11,2018-11-05 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,9,[],0.0
2018-11-06 10:00:00+00:00,0.0,0.0,0.0,0.005518804137275568,0.24410014871773264,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2018-11-06 10:00:00+00:00,2018-11,2018-11-06 03:46:00+00:00,0.0,10000000.0,[],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,10,[],0.0
