Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
MRF,Automotive,69.00,0.47,3.00,
Federal Bank,Banking & Financial Services,"39,827.00",0.45,2.85,
Kansai Nerolac,Chemicals,"9,957.00",0.44,2.78,
Petronet LNG,Oil & Gas,"19,856.00",0.43,2.72,
City Union Bank,Banking & Financial Services,"22,660.00",0.36,2.31,
Sterlite Techno,Telecommunication,"24,195.00",0.35,2.25,
IndusInd Bank,Banking & Financial Services,"2,378.00",0.35,2.23,
Cholamandalam,Banking & Financial Services,"3,016.00",0.34,2.15,
Ramco Cements,Cement & Construction,"4,856.00",0.34,2.14,
Havells India,Engineering & Capital Goods,"7,234.00",0.33,2.11,
Vakrangee,Information Technology,"7,687.00",0.33,2.10,
Supreme Ind,Manufacturing,"2,659.00",0.33,2.07,
GRUH Finance,Banking & Financial Services,"6,978.00",0.31,1.97,
NBCC (India),Engineering & Capital Goods,"15,186.00",0.31,1.95,
Kirloskar Bros,Engineering & Capital Goods,"11,524.00",0.29,1.84,
Vinati Organics,Chemicals,"3,049.00",0.28,1.78,
Equitas Holding,Banking & Financial Services,"18,609.00",0.28,1.77,
Whirlpool,Consumer Durables,"2,369.00",0.27,1.71,
TeamLease Ser.,Miscellaneous,"1,866.00",0.25,1.59,
Page Industries,Manufacturing,148.00,0.25,1.57,
CG Consumer,Manufacturing,"10,655.00",0.24,1.53,
Motilal Oswal,Banking & Financial Services,"2,077.00",0.24,1.51,
Amara Raja Batt,Automotive,"2,799.00",0.24,1.49,
JK Lakshmi Cem,Cement & Construction,"4,748.00",0.23,1.46,
IGL,Oil & Gas,"2,164.00",0.23,1.45,
Kajaria Ceramic,Cement & Construction,"3,389.00",0.23,1.43,
Mold-Tek Pack,Manufacturing,"7,527.00",0.23,1.43,
NCC,Cement & Construction,"25,290.00",0.22,1.40,
Action Const,Engineering & Capital Goods,"29,264.00",0.20,1.26,
CenturyPlyboard,Miscellaneous,"6,753.00",0.20,1.26,
Finolex Ind,Chemicals,"3,239.00",0.20,1.24,
Ahluwalia,Cement & Construction,"5,974.00",0.19,1.22,
Persistent,Information Technology,"2,751.00",0.19,1.19,
Jain Irrigation,Manufacturing,"17,804.00",0.18,1.16,
J. K. Cement,Cement & Construction,"1,948.00",0.18,1.16,
APL Apollo,Metals & Mining,"1,171.00",0.18,1.15,
ITD Cementation,Cement & Construction,"10,591.00",0.18,1.14,
Solar Ind,Chemicals,"2,161.00",0.18,1.13,
Blue Star,Consumer Durables,"2,946.00",0.18,1.12,
Dalmia Bharat,Cement & Construction,715.00,0.18,1.12,
Trident,Manufacturing,"22,942.00",0.17,1.07,
Aegis Logistics,Services,"8,921.00",0.17,1.07,
Sadbhav Engg,Engineering & Capital Goods,"5,256.00",0.16,1.04,
IIFL Holdings,Banking & Financial Services,"2,671.00",0.16,1.03,
Suprajit Eng,Automotive,"5,044.00",0.16,1.02,
Insecticides,Chemicals,"2,506.00",0.16,1.02,
JK Tyre & Ind,Automotive,"9,706.00",0.16,0.99,
Dhanuka Agritec,Chemicals,"1,821.00",0.15,0.97,
V-Guard Ind,Miscellaneous,"8,682.00",0.15,0.95,
Torrent Pharma,Pharmaceuticals,"1,202.00",0.15,0.93,
Genus Power,Manufacturing,"28,912.00",0.14,0.88,
KNR Construct,Cement & Construction,"6,406.00",0.13,0.84,
Jyothy Labs,Consumer Non-durables,"3,545.00",0.13,0.80,
Tube Investment,Miscellaneous,"1,843.00",0.12,0.78,
West Coast Pap,Manufacturing,"6,207.00",0.12,0.76,
Jubilant Life,Pharmaceuticals,"1,681.00",0.12,0.73,
Sagar Cement,Cement & Construction,"1,326.00",0.11,0.69,
Indian Bank,Banking & Financial Services,"3,684.00",0.10,0.66,
Birla Corp,Cement & Construction,"1,128.00",0.10,0.62,
J Kumar Infra,Cement & Construction,"3,176.00",0.09,0.60,
Taj GVK Hotels,Services,"5,134.00",0.09,0.55,
MCX India,Miscellaneous,797.00,0.09,0.55,
Eveready Ind,Consumer Non-durables,"2,411.00",0.08,0.52,
Alembic Pharma,Pharmaceuticals,"1,246.00",0.06,0.40,
Ceat,Automotive,18.00,0.00,0.02
