Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
KEI Industries,Engineering & Capital Goods,"149,672.00",3.48,4.81,
India Cements,Cement & Construction,"144,563.00",2.86,3.95,
Astra Microwave,Telecommunication,"198,850.00",2.82,3.90,
Carborundum,Engineering & Capital Goods,"83,804.00",2.73,3.77,
Healthcare Glob,Services,"98,943.00",2.49,3.45,
Blue Star,Consumer Durables,"40,763.00",2.44,3.38,
Himatsingka Sei,Manufacturing,"70,537.00",2.40,3.32,
V-Guard Ind,Miscellaneous,"139,111.00",2.40,3.32,
Kalpataru Power,Engineering & Capital Goods,"69,588.00",2.26,3.13,
CenturyPlyboard,Miscellaneous,"72,730.00",2.14,2.96,
Grindwell Norto,Engineering & Capital Goods,"47,972.00",1.93,2.67,
Shanthi Gears,Engineering & Capital Goods,"132,512.00",1.89,2.62,
Ashoka Buildcon,Cement & Construction,"98,698.00",1.82,2.52,
Ador Welding,Engineering & Capital Goods,"48,110.00",1.80,2.49,
Minda Ind,Automotive,"26,985.00",1.73,2.39,
Rane Holdings,Automotive,"9,744.00",1.70,2.35,
Heidelberg Cem,Cement & Construction,"120,789.00",1.51,2.09,
Subros,Automotive,"60,724.00",1.47,2.03,
PVR,Media & Entertainment,"10,369.00",1.46,2.02,
Techno Electric,Engineering & Capital Goods,"38,930.00",1.46,2.02,
PNC Infratech,Retail & Real Estate,"100,473.00",1.44,1.99,
ITD Cementation,Cement & Construction,"83,054.00",1.41,1.95,
Navin Fluorine,Chemicals,"22,985.00",1.40,1.93,
NCC,Cement & Construction,"150,729.00",1.32,1.82,
Repco Home,Banking & Financial Services,"14,724.00",1.21,1.68,
PTC India,Services,"125,055.00",1.21,1.67,
Heritage Foods,Food & Beverages,"10,853.00",1.20,1.66,
MM Forgings,Manufacturing,"17,571.00",1.08,1.49,
Navneet,Miscellaneous,"58,082.00",1.04,1.44,
Premier Explo,Chemicals,"20,533.00",1.00,1.39,
Gateway Distri,Miscellaneous,"38,983.00",1.00,1.39,
Texmaco Rail,Engineering & Capital Goods,"113,897.00",1.00,1.38,
Johnson Control,Consumer Durables,"4,838.00",0.97,1.34,
Salzer Electro,Engineering & Capital Goods,"47,766.00",0.95,1.32,
Praj Industries,Engineering & Capital Goods,"125,948.00",0.95,1.31,
NIIT Tech,Information Technology,"16,277.00",0.94,1.30,
PSP Projects,Cement & Construction,"33,784.00",0.91,1.26,
Va Tech Wabag,Engineering & Capital Goods,"12,913.00",0.89,1.23,
WPIL,Engineering & Capital Goods,"18,485.00",0.84,1.16,
Ujjivan Financi,Banking & Financial Services,"25,926.00",0.80,1.11,
Take Solutions,Information Technology,"45,891.00",0.75,1.04,
Dollar Ind,Manufacturing,"3,419.00",0.72,0.99,
HT Media,Media & Entertainment,"86,796.00",0.70,0.97,
KSB Pumps,Engineering & Capital Goods,"8,682.00",0.67,0.92,
Gujarat Pipavav,Services,"40,623.00",0.61,0.84,
Clariant Chem,Chemicals,"9,482.00",0.60,0.83,
ZF Steering Gea,Automotive,"4,607.00",0.56,0.78,
S Chand and Co,Miscellaneous,"12,010.00",0.56,0.78,
RPP Infra Proj,Cement & Construction,"20,717.00",0.50,0.69,
Kennametal,Engineering & Capital Goods,"7,481.00",0.46,0.64,
Mcleod,Food & Beverages,"17,066.00",0.30,0.41,
Madhucon Proj,Cement & Construction,"59,059.00",0.22,0.31,
GNA Axles,Automotive,"9,734.00",0.22,0.31
