Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Ramco Cements,Cement & Construction,"1,048.00",0.07,4.79,
Bajaj Finserv,Banking & Financial Services,146.00,0.06,3.96,
Federal Bank,Banking & Financial Services,"5,105.00",0.06,3.79,
M&M Financial,Banking & Financial Services,"1,547.00",0.05,3.51,
CESC,Utilities,592.00,0.05,3.38,
IGL,Oil & Gas,480.00,0.05,3.34,
Coromandel Int,Chemicals,"1,148.00",0.05,3.17,
Redington,Information Technology,"3,645.00",0.05,3.14,
Exide Ind,Automotive,"2,151.00",0.05,3.12,
Bayer CropScien,Chemicals,102.00,0.05,3.11,
Arvind,Manufacturing,"1,183.00",0.04,2.80,
Karur Vysya,Banking & Financial Services,"2,857.00",0.04,2.72,
Bank of Baroda,Banking & Financial Services,"2,539.00",0.04,2.70,
Max Financial,Manufacturing,636.00,0.04,2.64,
Thermax,Engineering & Capital Goods,425.00,0.04,2.62,
Siemens,Engineering & Capital Goods,295.00,0.04,2.59,
Cholamandalam,Banking & Financial Services,346.00,0.04,2.56,
Century,Conglomerates,347.00,0.04,2.51,
Whirlpool,Consumer Durables,322.00,0.04,2.41,
UPL,Chemicals,423.00,0.04,2.34,
Schaeffler Ind,Engineering & Capital Goods,77.00,0.03,2.26,
Apollo Tyres,Automotive,"1,421.00",0.03,2.25,
Motherson Sumi,Automotive,"1,105.00",0.03,2.24,
Indian Bank,Banking & Financial Services,"1,157.00",0.03,2.15,
Castrol,Chemicals,808.00,0.03,2.15,
CRISIL,Miscellaneous,159.00,0.03,2.03,
SRF,Manufacturing,188.00,0.03,1.91,
Vardhman Text,Manufacturing,231.00,0.03,1.73,
Allahabad Bank,Banking & Financial Services,"3,562.00",0.02,1.59,
L&T Technology,Information Technology,333.00,0.02,1.57,
MphasiS,Information Technology,396.00,0.02,1.56,
J. K. Cement,Cement & Construction,251.00,0.02,1.55,
Emami,Consumer Non-durables,202.00,0.02,1.43,
CenturyPlyboard,Miscellaneous,739.00,0.02,1.43,
HUDCO,Retail & Real Estate,"3,149.00",0.02,1.39,
GlaxoSmith Con,Food & Beverages,38.00,0.02,1.35,
Force Motors,Automotive,41.00,0.02,1.13,
Jindal Steel,Metals & Mining,"1,382.00",0.02,1.12,
Schneider Infra,Utilities,"1,287.00",0.02,1.08,
JM Financial,Banking & Financial Services,"1,268.00",0.01,0.98,
Apollo Hospital,Services,109.00,0.01,0.91,
PNB,Banking & Financial Services,808.00,0.01,0.73
