Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
GRUH Finance,Banking & Financial Services,"112,164.00",4.97,7.62,
Page Industries,Manufacturing,"2,088.00",3.48,5.34,
City Union Bank,Banking & Financial Services,"216,192.00",3.48,5.34,
Motherson Sumi,Automotive,"90,201.00",2.77,4.24,
Bajaj Finserv,Banking & Financial Services,"6,117.00",2.52,3.86,
UPL,Chemicals,"28,486.00",2.39,3.67,
Endurance Techn,Automotive,"25,422.00",2.23,3.42,
PVR,Media & Entertainment,"15,753.00",2.22,3.40,
P and G,Consumer Non-durables,"2,708.00",2.18,3.34,
Britannia,Food & Beverages,"5,350.00",1.98,3.03,
Sundaram Fin,Banking & Financial Services,"12,328.00",1.97,3.02,
Supreme Ind,Manufacturing,"15,283.00",1.87,2.87,
Berger Paints,Chemicals,"66,515.00",1.64,2.51,
Cholamandalam,Banking & Financial Services,"13,117.00",1.47,2.25,
Petronet LNG,Oil & Gas,"65,599.00",1.42,2.17,
Balkrishna Ind,Automotive,"8,357.00",1.39,2.13,
Ceat,Automotive,"6,864.00",1.23,1.89,
Federal Bank,Banking & Financial Services,"105,825.00",1.19,1.83,
Ramco Cements,Cement & Construction,"15,817.00",1.10,1.68,
Cadila Health,Pharmaceuticals,"20,105.00",1.06,1.62,
MCX India,Miscellaneous,"9,300.00",1.01,1.55,
Gulf Oil Lubric,Chemicals,"12,315.00",1.00,1.53,
Igarashi Motors,Engineering & Capital Goods,"9,899.00",0.97,1.49,
V-Guard Ind,Miscellaneous,"55,273.00",0.95,1.46,
MRF,Automotive,137.00,0.93,1.43,
Bajaj Finance,Banking & Financial Services,"6,551.00",0.90,1.38,
TTK Prestige,Consumer Durables,"1,322.00",0.87,1.34,
Amara Raja Batt,Automotive,"10,041.00",0.84,1.29,
Info Edge,Miscellaneous,"7,741.00",0.80,1.22,
Avenue Supermar,Retail & Real Estate,"9,289.00",0.76,1.16,
AIA Engineering,Engineering & Capital Goods,"5,192.00",0.72,1.11,
PSP Projects,Cement & Construction,"26,600.00",0.72,1.10,
Blue Dart,Services,"1,495.00",0.70,1.08,
WABCO India,Automotive,"1,276.00",0.70,1.08,
Cummins,Engineering & Capital Goods,"7,715.00",0.70,1.08,
PI Industries,Chemicals,"8,207.00",0.68,1.05,
Colgate,Consumer Non-durables,"5,985.00",0.67,1.02,
Voltas,Conglomerates,"14,389.00",0.66,1.01,
Bharat Elec,Manufacturing,"40,832.00",0.66,1.01,
Blue Star,Consumer Durables,"10,861.00",0.65,1.00,
VST Tillers,Automotive,"2,739.00",0.63,0.96,
Bharat Forge,Manufacturing,"5,736.00",0.63,0.96,
Alkem Lab,Pharmaceuticals,"3,072.00",0.57,0.87,
JK Lakshmi Cem,Cement & Construction,"11,191.00",0.54,0.83,
CDSL,Banking & Financial Services,"18,203.00",0.48,0.73,
Shankara Buildi,Miscellaneous,"5,632.00",0.46,0.70
