Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Escorts,Automotive,"2,199,994.00",141.93,3.95,
M&M Financial,Banking & Financial Services,"3,927,084.00",135.46,3.77,
Bharat Forge,Manufacturing,"1,111,529.00",121.45,3.38,
Container Corp,Services,"881,024.00",100.97,2.81,
Tata Chemicals,Chemicals,"1,633,959.00",99.17,2.76,
NCC,Cement & Construction,"11,318,880.00",98.81,2.75,
Apollo Tyres,Automotive,"3,567,852.00",85.88,2.39,
Federal Bank,Banking & Financial Services,"7,418,898.00",83.72,2.33,
Exide Ind,Automotive,"3,617,674.00",79.77,2.22,
SRF,Manufacturing,"508,437.00",78.33,2.18,
IGL,Oil & Gas,"727,726.00",76.90,2.14,
Power Finance,Banking & Financial Services,"6,179,067.00",75.82,2.11,
EngineersInd,Engineering & Capital Goods,"4,699,019.00",72.22,2.01,
MRF,Automotive,"9,992.00",68.27,1.90,
MphasiS,Information Technology,"1,096,849.00",65.76,1.83,
Guj Flourochem,Chemicals,"889,678.00",65.76,1.83,
Britannia,Food & Beverages,"170,408.00",62.88,1.75,
Chambal Fert,Chemicals,"5,205,361.00",61.08,1.70,
JSW Steel,Metals & Mining,"2,755,870.00",56.05,1.56,
Tata Global Bev,Food & Beverages,"3,553,875.00",53.54,1.49,
EID Parry,Food & Beverages,"1,683,692.00",52.10,1.45,
UPL,Chemicals,"594,311.00",49.95,1.39,
Dish TV,Media & Entertainment,"6,190,584.00",49.59,1.38,
Arvind,Manufacturing,"1,377,979.00",49.59,1.38,
Navneet,Miscellaneous,"2,746,290.00",49.23,1.37,
Titan Company,Miscellaneous,"931,794.00",48.87,1.36,
GlaxoSmith Con,Food & Beverages,"85,913.00",45.99,1.28,
Voltamp Trans,Engineering & Capital Goods,"363,959.00",45.27,1.26,
IndusInd Bank,Banking & Financial Services,"301,268.00",44.56,1.24,
IRB Infra,Engineering & Capital Goods,"2,113,665.00",44.20,1.23,
United Spirits,Food & Beverages,"184,280.00",44.20,1.23,
JK Lakshmi Cem,Cement & Construction,"874,409.00",42.40,1.18,
Deccan Cements,Cement & Construction,"350,332.00",40.60,1.13,
Tube Investment,Miscellaneous,"592,143.00",39.53,1.10,
Mahindra CIE,Manufacturing,"1,606,489.00",39.17,1.09,
Coromandel Int,Chemicals,"933,418.00",39.17,1.09,
Rane Holdings,Automotive,"222,561.00",38.81,1.08,
Cholamandalam,Banking & Financial Services,"341,999.00",38.45,1.07,
Eicher Motors,Automotive,"14,086.00",38.09,1.06,
HSIL,Cement & Construction,"1,022,284.00",37.37,1.04,
Torrent Power,Utilities,"2,002,419.00",35.57,0.99,
MCX India,Miscellaneous,"320,264.00",34.85,0.97,
Thermax,Engineering & Capital Goods,"368,379.00",34.49,0.96,
Gujarat Pipavav,Services,"2,307,358.00",34.49,0.96,
La Opala RG,Manufacturing,"664,377.00",34.14,0.95,
Wonderla,Miscellaneous,"967,154.00",34.14,0.95,
SBI,Banking & Financial Services,"1,208,029.00",33.06,0.92,
NALCO,Metals & Mining,"5,049,945.00",32.70,0.91,
Kotak Mahindra,Banking & Financial Services,"342,123.00",32.70,0.91,
Orient Cement,Cement & Construction,"2,266,460.00",31.98,0.89,
J Kumar Infra,Cement & Construction,"1,061,266.00",31.62,0.88,
Guj Mineral,Metals & Mining,"2,077,718.00",30.54,0.85,
Monsanto India,Chemicals,"110,107.00",30.18,0.84,
Bosch,Automotive,"12,785.00",29.82,0.83,
MOIL,Metals & Mining,"889,302.00",28.39,0.79,
Indo Count,Manufacturing,"1,705,920.00",28.39,0.79,
Vesuvius India,Cement & Construction,"221,095.00",27.67,0.77,
IFB Industries,Consumer Durables,"384,543.00",27.67,0.77,
WABCO India,Automotive,"50,151.00",27.67,0.77,
Gateway Distri,Miscellaneous,"1,045,354.00",26.95,0.75,
MRPL,Oil & Gas,"2,279,004.00",26.95,0.75,
Finolex Cables,Telecommunication,"590,603.00",26.95,0.75,
NIIT,Information Technology,"2,973,989.00",26.23,0.73,
Automotive Axle,Automotive,"350,864.00",26.23,0.73,
Ujjivan Financi,Banking & Financial Services,"754,514.00",23.36,0.65,
Sun Pharma Adv,Pharmaceuticals,"742,695.00",22.64,0.63,
Union Bank,Banking & Financial Services,"1,462,645.00",21.56,0.60,
GE Shipping,Services,"521,783.00",21.20,0.59,
Bajaj Corp,Consumer Non-durables,"499,387.00",19.04,0.53,
Vardhman Text,Manufacturing,"163,930.00",18.68,0.52,
Equitas Holding,Banking & Financial Services,"1,245,653.00",18.68,0.52,
Guj Ind Power,Utilities,"1,447,930.00",17.61,0.49,
SML Isuzu,Automotive,"136,800.00",16.53,0.46,
Nava Bharat Ven,Conglomerates,"1,182,072.00",15.81,0.44,
Sun Pharma,Pharmaceuticals,"226,315.00",12.58,0.35,
Pricol,Automotive,"1,525,216.00",12.22,0.34,
Indoco Remedies,Pharmaceuticals,"515,095.00",10.42,0.29,
Greaves Cotton,Engineering & Capital Goods,"642,836.00",10.42,0.29
