Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Sundaram-Clayto,Automotive,"33,632.00",14.77,3.52,
Bajaj Finserv,Banking & Financial Services,"32,321.00",13.30,3.17,
UPL,Chemicals,"154,301.00",12.97,3.09,
Schaeffler Ind,Engineering & Capital Goods,"28,677.00",12.80,3.05,
Ramco Cements,Cement & Construction,"169,596.00",11.75,2.80,
Federal Bank,Banking & Financial Services,"956,140.00",10.79,2.57,
IGL,Oil & Gas,"96,592.00",10.24,2.44,
Arvind,Manufacturing,"275,034.00",9.90,2.36,
SRF,Manufacturing,"63,827.00",9.82,2.34,
Mahindra CIE,Manufacturing,"351,151.00",8.56,2.04,
LIC Housing Fin,Banking & Financial Services,"114,573.00",8.52,2.03,
Exide Ind,Automotive,"385,412.00",8.48,2.02,
Cholamandalam,Banking & Financial Services,"75,760.00",8.48,2.02,
Honeywell Autom,Telecommunication,"7,266.00",8.48,2.02,
Karur Vysya,Banking & Financial Services,"575,633.00",8.31,1.98,
DCB Bank,Banking & Financial Services,"416,489.00",8.27,1.97,
Indian Bank,Banking & Financial Services,"291,068.00",8.18,1.95,
Apollo Tyres,Automotive,"329,111.00",7.93,1.89,
Timken,Engineering & Capital Goods,"114,501.00",7.64,1.82,
M&M Financial,Banking & Financial Services,"215,210.00",7.43,1.77,
Emami,Consumer Non-durables,"59,851.00",6.42,1.53,
Bayer CropScien,Chemicals,"13,760.00",6.38,1.52,
WABCO India,Automotive,"11,475.00",6.34,1.51,
Shriram City,Banking & Financial Services,"26,414.00",6.25,1.49,
HSIL,Cement & Construction,"164,392.00",6.00,1.43,
CRISIL,Miscellaneous,"30,409.00",5.92,1.41,
Century,Conglomerates,"53,015.00",5.83,1.39,
IIFL Holdings,Banking & Financial Services,"94,437.00",5.75,1.37,
Coromandel Int,Chemicals,"136,507.00",5.71,1.36,
Whirlpool,Consumer Durables,"50,157.00",5.71,1.36,
Apollo Hospital,Services,"43,417.00",5.54,1.32,
Healthcare Glob,Services,"216,491.00",5.46,1.30,
PVR,Media & Entertainment,"38,155.00",5.37,1.28,
Mahindra Holida,Services,"136,978.00",5.33,1.27,
Trent,Retail & Real Estate,"221,808.00",5.25,1.25,
Ujjivan Financi,Banking & Financial Services,"169,546.00",5.25,1.25,
Tata Chemicals,Chemicals,"85,270.00",5.16,1.23,
Jyothy Labs,Consumer Non-durables,"143,836.00",5.12,1.22,
Thermax,Engineering & Capital Goods,"53,164.00",4.99,1.19,
City Union Bank,Banking & Financial Services,"302,139.00",4.87,1.16,
P and G,Consumer Non-durables,"5,946.00",4.78,1.14,
Varun Beverages,Food & Beverages,"88,879.00",4.74,1.13,
Grindwell Norto,Engineering & Capital Goods,"111,937.00",4.49,1.07,
CESC,Utilities,"51,069.00",4.45,1.06,
Bank of Baroda,Banking & Financial Services,"270,916.00",4.36,1.04,
Max Financial,Manufacturing,"68,879.00",4.32,1.03,
Castrol,Chemicals,"105,980.00",4.28,1.02,
Oracle Fin Serv,Information Technology,"11,896.00",4.28,1.02,
Force Motors,Automotive,"9,955.00",4.20,1.00,
Tata Global Bev,Food & Beverages,"273,176.00",4.11,0.98,
GlaxoSmith Con,Food & Beverages,"7,530.00",4.03,0.96,
Strides Shasun,Pharmaceuticals,"40,350.00",4.03,0.96,
Guj State Petro,Oil & Gas,"225,751.00",3.99,0.95,
L&T Technology,Information Technology,"54,835.00",3.94,0.94,
Vardhman Text,Manufacturing,"32,797.00",3.74,0.89,
HUDCO,Retail & Real Estate,"537,865.00",3.61,0.86,
MphasiS,Information Technology,"60,237.00",3.61,0.86,
Gateway Distri,Miscellaneous,"136,027.00",3.53,0.84,
Aditya Birla F,Retail & Real Estate,"191,195.00",3.32,0.79,
PNB,Banking & Financial Services,"235,609.00",3.23,0.77,
Persistent,Information Technology,"44,526.00",3.02,0.72,
JagranPrakashan,Media & Entertainment,"147,168.00",2.69,0.64,
Laurus Labs,Pharmaceuticals,"43,032.00",2.64,0.63,
Petronet LNG,Oil & Gas,"118,636.00",2.56,0.61,
NALCO,Metals & Mining,"310,620.00",2.01,0.48,
ABB India,Engineering & Capital Goods,"11,857.00",1.72,0.41,
V-Guard Ind,Miscellaneous,"65,762.00",1.13,0.27
