Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Carborundum,Engineering & Capital Goods,"4,935,010.00",167.37,4.34,
Cholamandalam,Banking & Financial Services,"1,332,435.00",159.65,4.14,
Manpasand Bever,Food & Beverages,"1,779,546.00",142.26,3.69,
Strides Shasun,Pharmaceuticals,"1,341,697.00",142.07,3.68,
Ramco Cements,Cement & Construction,"2,028,391.00",137.67,3.57,
Federal Bank,Banking & Financial Services,"11,580,729.00",133.47,3.46,
Sheela Foam,Miscellaneous,"895,487.00",119.95,3.11,
Shriram City,Banking & Financial Services,"497,398.00",114.31,2.96,
Greaves Cotton,Engineering & Capital Goods,"6,310,663.00",101.48,2.63,
PI Industries,Chemicals,"1,311,461.00",100.43,2.60,
Voltas,Conglomerates,"1,893,102.00",95.46,2.48,
IGL,Oil & Gas,"800,000.00",94.33,2.45,
Greenply Ind,Miscellaneous,"3,459,215.00",92.55,2.40,
UPL,Chemicals,"1,014,881.00",89.02,2.31,
Laurus Labs,Pharmaceuticals,"1,305,968.00",75.84,1.97,
Va Tech Wabag,Engineering & Capital Goods,"1,234,446.00",75.31,1.95,
Mahindra Holida,Services,"1,843,399.00",75.20,1.95,
Equitas Holding,Banking & Financial Services,"4,444,463.00",74.44,1.93,
Natco Pharma,Pharmaceuticals,"761,871.00",74.12,1.92,
M&M Financial,Banking & Financial Services,"1,842,474.00",73.88,1.92,
VIP Industries,Manufacturing,"4,154,945.00",71.65,1.86,
Sharda Crop,Chemicals,"1,502,996.00",71.15,1.85,
Sadbhav Engg,Engineering & Capital Goods,"2,324,090.00",68.19,1.77,
Dr Lal PathLab,Pharmaceuticals,"785,250.00",65.49,1.70,
Sanofi India,Pharmaceuticals,"150,000.00",64.57,1.67,
Clariant Chem,Chemicals,"946,500.00",64.02,1.66,
Thyrocare Techn,Services,"853,395.00",61.44,1.59,
Thermax,Engineering & Capital Goods,"683,457.00",59.48,1.54,
SBI,Banking & Financial Services,"1,900,000.00",59.38,1.54,
Eris Life,Pharmaceuticals,"961,815.00",57.84,1.50,
CARE,Miscellaneous,"350,000.00",56.65,1.47,
Britannia,Food & Beverages,"134,461.00",52.73,1.37,
SKF India,Engineering & Capital Goods,"326,198.00",50.75,1.32,
Hexaware Tech,Information Technology,"1,877,744.00",49.19,1.28,
HUDCO,Retail & Real Estate,"5,881,540.00",48.11,1.25,
Narayana Hruda,Services,"1,490,653.00",45.76,1.19,
Schaeffler Ind,Engineering & Capital Goods,"100,000.00",45.40,1.18,
Emami,Consumer Non-durables,"400,000.00",44.32,1.15,
Persistent,Information Technology,"654,665.00",42.33,1.10,
NCC,Cement & Construction,"4,606,734.00",40.95,1.06,
Sequent Scienti,Pharmaceuticals,"2,922,019.00",35.79,0.93,
Navkar Corp,Services,"1,687,456.00",34.25,0.89,
Swaraj Engines,Engineering & Capital Goods,"159,423.00",33.48,0.87,
UFO Moviez,Media & Entertainment,"799,456.00",30.10,0.78,
Mangalam Cement,Cement & Construction,"766,567.00",28.91,0.75,
Divis Labs,Pharmaceuticals,"382,500.00",25.74,0.67,
Repco Home,Banking & Financial Services,"343,322.00",25.46,0.66,
Mold Tek Tech,Manufacturing,"900,530.00",25.22,0.65,
DB Corp,Media & Entertainment,"634,782.00",23.77,0.62,
Bayer CropScien,Chemicals,"50,000.00",23.47,0.61,
Jyothy Labs,Consumer Non-durables,"613,391.00",22.73,0.59,
Shriram Trans,Banking & Financial Services,"217,718.00",22.14,0.57,
Page Industries,Manufacturing,"12,124.00",19.86,0.52,
ITD Cementation,Cement & Construction,"1,068,590.00",17.63,0.46,
NRB Bearings,Engineering & Capital Goods,"1,275,761.00",15.88,0.41,
AU Small Financ,Banking & Financial Services,"223,491.00",13.20,0.34,
RBL Bank,Banking & Financial Services,"236,990.00",12.67,0.33,
Westlife Dev,Banking & Financial Services,"189,587.00",4.95,0.13,
Summit Sec,Banking & Financial Services,"30,737.00",1.96,0.05
