Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Navin Fluorine,Chemicals,800.00,0.05,3.26,
Himatsingka Sei,Manufacturing,"1,384.00",0.05,3.16,
Asian Granito,Cement & Construction,875.00,0.04,2.53,
Elgi Equipments,Engineering & Capital Goods,"1,360.00",0.03,2.11,
Grindwell Norto,Engineering & Capital Goods,737.00,0.03,1.99,
Rallis India,Chemicals,"1,105.00",0.03,1.80,
Ramcoind,Cement & Construction,"1,106.00",0.03,1.76,
Ashoka Buildcon,Cement & Construction,"1,283.00",0.02,1.59,
India Cements,Cement & Construction,"1,184.00",0.02,1.57,
Rane Holdings,Automotive,115.00,0.02,1.35,
Va Tech Wabag,Engineering & Capital Goods,262.00,0.02,1.21,
Rajapalayam,Manufacturing,185.00,0.02,1.20,
Guj Mineral,Metals & Mining,"1,216.00",0.02,1.20,
Astra Microwave,Telecommunication,"1,135.00",0.02,1.08,
SREI Infra,Banking & Financial Services,"1,323.00",0.02,1.03,
GNA Axles,Automotive,660.00,0.02,1.02,
Force Motors,Automotive,36.00,0.02,1.01,
S Chand and Co,Miscellaneous,314.00,0.01,0.99,
Tata Elxsi,Information Technology,91.00,0.01,0.97,
RPP Infra Proj,Cement & Construction,575.00,0.01,0.93,
NCC,Cement & Construction,"1,553.00",0.01,0.91,
Premier Explo,Chemicals,256.00,0.01,0.84,
Triveni Engg,Food & Beverages,"1,611.00",0.01,0.79,
Ujjivan Financi,Banking & Financial Services,274.00,0.01,0.57,
Ingersoll Rand,Engineering & Capital Goods,99.00,0.01,0.56,
Taj GVK Hotels,Services,485.00,0.01,0.55,
Orient Refract,Cement & Construction,594.00,0.01,0.55,
Subros,Automotive,253.00,0.01,0.41,
CL Educate,Miscellaneous,133.00,0.01,0.38,
Blue Star,Consumer Durables,89.00,0.01,0.36,
West Coast Pap,Manufacturing,231.00,0.00,0.30,
INEOS Styro,Chemicals,48.00,0.00,0.27,
Jain Irrigation,Manufacturing,363.00,0.00,0.25,
MM Forgings,Manufacturing,36.00,0.00,0.15,
Star Cement,Metals & Mining,37.00,0.00,0.03,
Indian Terrain,Manufacturing,7.00,0.00,0.01
