Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
UPL,Chemicals,"39,185.00",3.29,5.04,
Chennai Petro,Oil & Gas,"73,492.00",2.60,3.98,
Muthoot Finance,Banking & Financial Services,"56,911.00",2.59,3.96,
J Kumar Infra,Cement & Construction,"73,613.00",2.19,3.35,
Endurance Techn,Automotive,"24,422.00",2.14,3.28,
Voltas,Conglomerates,"43,955.00",2.01,3.08,
CG Consumer,Manufacturing,"88,376.00",1.99,3.05,
NALCO,Metals & Mining,"293,199.00",1.90,2.91,
Sonata,Information Technology,"115,381.00",1.76,2.70,
L&T Finance,Banking & Financial Services,"122,768.00",1.76,2.70,
KPR Mill,Manufacturing,"20,078.00",1.65,2.52,
Atul,Chemicals,"6,628.00",1.61,2.46,
IFGL Refractory,Cement & Construction,"68,480.00",1.57,2.41,
Johnson Control,Consumer Durables,"7,566.00",1.51,2.31,
Gulf Oil Lubric,Chemicals,"18,464.00",1.50,2.29,
DCB Bank,Banking & Financial Services,"72,417.00",1.44,2.20,
Edelweiss,Banking & Financial Services,"73,473.00",1.40,2.15,
Sanghi Ind,Cement & Construction,"166,644.00",1.40,2.15,
Repco Home,Banking & Financial Services,"16,489.00",1.36,2.08,
Sanofi India,Pharmaceuticals,"3,109.00",1.29,1.98,
Minda Corp,Automotive,"117,277.00",1.28,1.96,
Trident,Manufacturing,"171,877.00",1.27,1.94,
GNFC,Chemicals,"46,958.00",1.26,1.93,
ICRA,Miscellaneous,"2,934.00",1.18,1.81,
Equitas Holding,Banking & Financial Services,"78,513.00",1.18,1.80,
Federal Bank,Banking & Financial Services,"103,107.00",1.16,1.78,
Jyothy Labs,Consumer Non-durables,"32,307.00",1.15,1.76,
PNC Infratech,Retail & Real Estate,"79,158.00",1.13,1.73,
Cyient,Information Technology,"21,623.00",1.10,1.68,
Zydus Wellness,Food & Beverages,"12,129.00",1.03,1.58,
Heidelberg Cem,Cement & Construction,"78,439.00",0.98,1.50,
Somany Ceramics,Cement & Construction,"12,605.00",0.97,1.48,
Finolex Cables,Telecommunication,"20,815.00",0.95,1.46,
VIP Industries,Manufacturing,"50,798.00",0.93,1.42,
Berger Paints,Chemicals,"35,835.00",0.88,1.35,
Relaxo Footwear,Consumer Non-durables,"16,679.00",0.80,1.23,
City Union Bank,Banking & Financial Services,"43,867.00",0.78,1.19,
Suven Life Sci,Pharmaceuticals,"44,131.00",0.76,1.16,
JK Bank,Banking & Financial Services,"87,526.00",0.75,1.15,
Ashoka Buildcon,Cement & Construction,"39,310.00",0.73,1.11,
Apollo Tyres,Automotive,"29,281.00",0.71,1.08,
Indian Terrain,Manufacturing,"35,230.00",0.70,1.07,
NIIT Tech,Information Technology,"11,549.00",0.67,1.02,
INOX Leisure,Media & Entertainment,"23,656.00",0.65,0.99,
CG Power ,Engineering & Capital Goods,"78,280.00",0.64,0.98,
Persistent,Information Technology,"9,340.00",0.63,0.97,
Torrent Pharma,Pharmaceuticals,"3,932.00",0.48,0.73,
Unichem Labs,Pharmaceuticals,"15,901.00",0.42,0.65,
Shemaroo Ent,Media & Entertainment,"7,807.00",0.29,0.44
