Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Gillette India,Consumer Non-durables,"40,669.00",20.79,8.21,
Honeywell Autom,Telecommunication,"16,999.00",19.85,7.84,
Bayer CropScien,Chemicals,"39,016.00",18.08,7.14,
Kotak Mahindra,Banking & Financial Services,"168,736.00",16.13,6.37,
ICRA,Miscellaneous,"38,927.00",15.70,6.20,
Pfizer,Pharmaceuticals,"79,024.00",14.28,5.64,
Maruti Suzuki,Automotive,"19,538.00",14.10,5.57,
GlaxoSmithKline,Pharmaceuticals,"54,775.00",13.75,5.43,
Johnson Control,Consumer Durables,"68,142.00",13.65,5.39,
Thomas Cook,Miscellaneous,"512,879.00",12.71,5.02,
Bosch,Automotive,"5,361.00",12.51,4.94,
Capital First,Banking & Financial Services,"155,610.00",10.38,4.10,
Jet Airways,Services,"166,970.00",9.42,3.72,
Kansai Nerolac,Chemicals,"211,598.00",9.32,3.68,
HUL,Consumer Non-durables,"68,710.00",7.42,2.93,
P and G,Consumer Non-durables,"6,816.00",5.47,2.16,
Schaeffler Ind,Engineering & Capital Goods,"10,814.00",4.81,1.90,
Cummins,Engineering & Capital Goods,"51,198.00",4.71,1.86,
Bata India,Consumer Non-durables,"84,822.00",4.56,1.80,
CRISIL,Miscellaneous,"14,716.00",2.86,1.13,
WABCO India,Automotive,"5,048.00",2.78,1.10,
Colgate,Consumer Non-durables,"24,158.00",2.68,1.06,
Quess Corp,Engineering & Capital Goods,"25,383.00",2.35,0.93,
ACC,Cement & Construction,"11,948.00",1.87,0.74,
Castrol,Chemicals,"41,913.00",1.70,0.67,
SML Isuzu,Automotive,"11,734.00",1.42,0.56,
Oracle Fin Serv,Information Technology,"3,647.00",1.32,0.52,
Ambuja Cements,Cement & Construction,"42,101.00",1.04,0.41,
ITD Cementation,Cement & Construction,"59,657.00",1.01,0.40,
Nestle,Food & Beverages,"1,390.00",0.94,0.37,
Federal-Mogul,Automotive,"16,241.00",0.89,0.35,
Siemens,Engineering & Capital Goods,"5,308.00",0.71,0.28,
Akzo Nobel,Chemicals,"3,730.00",0.68,0.27,
Sanofi India,Pharmaceuticals,"1,402.00",0.58,0.23,
GE Power India,Engineering & Capital Goods,"8,979.00",0.56,0.22,
ABB India,Engineering & Capital Goods,"3,665.00",0.53,0.21,
GE T&D India,Engineering & Capital Goods,"14,024.00",0.48,0.19,
Blue Dart,Services,"1,021.00",0.48,0.19,
Disa India,Engineering & Capital Goods,610.00,0.30,0.12,
Schneider Infra,Utilities,"13,889.00",0.18,0.07
