Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
IndusInd Bank,Banking & Financial Services,"16,700.00",2.75,4.69,
Navin Fluorine,Chemicals,"30,000.00",2.11,3.59,
City Union Bank,Banking & Financial Services,"96,250.00",1.70,2.89,
Can Fin Homes,Banking & Financial Services,"5,400.00",1.67,2.84,
Sundram,Manufacturing,"40,000.00",1.66,2.83,
Techno Electric,Engineering & Capital Goods,"39,986.00",1.47,2.51,
Akzo Nobel,Chemicals,"8,000.00",1.43,2.44,
Whirlpool,Consumer Durables,"12,000.00",1.40,2.40,
ICICI Bank,Banking & Financial Services,"44,000.00",1.33,2.27,
Honeywell Autom,Telecommunication,"1,050.00",1.31,2.24,
Honeywell Autom,Telecommunication,"23,200.00",1.28,2.18,
V-Guard Ind,Miscellaneous,"71,100.00",1.27,2.16,
Ramco Cements,Cement & Construction,"18,500.00",1.26,2.14,
Asahi India,Manufacturing,"40,000.00",1.17,2.00,
HUL,Consumer Non-durables,"10,000.00",1.16,1.97,
NCC,Cement & Construction,"130,000.00",1.16,1.97,
CCL Products,Food & Beverages,"40,000.00",1.13,1.93,
Container Corp,Services,"9,800.00",1.12,1.91,
Power Grid Corp,Utilities,"50,000.00",1.12,1.90,
Karur Vysya,Banking & Financial Services,"78,000.00",1.09,1.87,
Schaeffler Ind,Engineering & Capital Goods,"2,400.00",1.09,1.86,
Parag Milk Food,Food & Beverages,"44,050.00",1.09,1.86,
Transport Corp,Services,"34,050.00",1.07,1.83,
Minda Ind,Automotive,"13,500.00",1.07,1.82,
CESC,Utilities,"11,300.00",1.07,1.82,
Piramal Enter,Pharmaceuticals,"3,600.00",1.06,1.81,
Atul,Chemicals,"4,800.00",1.06,1.80,
PVR,Media & Entertainment,"7,600.00",1.02,1.74,
Gulf Oil Lubric,Chemicals,"12,470.00",1.02,1.74,
Thyrocare Techn,Services,"14,000.00",1.01,1.72,
JK Lakshmi Cem,Cement & Construction,"21,500.00",0.98,1.68,
Escorts,Automotive,"14,000.00",0.94,1.60,
Ashoka Buildcon,Cement & Construction,"49,500.00",0.92,1.57,
Solar Ind,Chemicals,"9,890.00",0.89,1.51,
Tata Comm,Telecommunication,"12,500.00",0.84,1.43,
CARE,Miscellaneous,"5,000.00",0.81,1.38,
Force Motors,Automotive,"2,000.00",0.81,1.38,
S H Kelkar,Miscellaneous,"30,000.00",0.79,1.35,
Texmaco Rail,Engineering & Capital Goods,"85,000.00",0.79,1.35,
Sadbhav Engg,Engineering & Capital Goods,"24,717.00",0.73,1.24,
M&M Financial,Banking & Financial Services,"18,000.00",0.72,1.23,
Yes Bank,Banking & Financial Services,"4,000.00",0.72,1.23,
Praj Industries,Engineering & Capital Goods,"90,500.00",0.70,1.19,
Aditya Birla F,Retail & Real Estate,"40,000.00",0.69,1.18,
CenturyPlyboard,Miscellaneous,"22,500.00",0.66,1.13,
KEC Intl,Engineering & Capital Goods,"21,500.00",0.65,1.12,
Essel Propack,Manufacturing,"25,000.00",0.62,1.05,
Grasim,Conglomerates,"5,200.00",0.56,0.95,
Mold Tek Tech,Manufacturing,"19,210.00",0.54,0.92,
Sun Pharma,Pharmaceuticals,"10,000.00",0.53,0.91,
Mindtree,Information Technology,"11,000.00",0.53,0.90,
Ahluwalia,Cement & Construction,"18,766.00",0.52,0.89,
PI Industries,Chemicals,"6,740.00",0.52,0.88
