Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Rane Holdings,Automotive,"29,165.00",5.09,6.56,
Navin Fluorine,Chemicals,"50,821.00",3.09,3.98,
V-Guard Ind,Miscellaneous,"173,864.00",3.00,3.87,
J. K. Cement,Cement & Construction,"29,971.00",2.81,3.63,
Karur Vysya,Banking & Financial Services,"189,648.00",2.74,3.54,
DCB Bank,Banking & Financial Services,"132,713.00",2.64,3.40,
PNC Infratech,Retail & Real Estate,"177,018.00",2.53,3.27,
India Cements,Cement & Construction,"125,178.00",2.47,3.19,
Himatsingka Sei,Manufacturing,"71,529.00",2.43,3.14,
CenturyPlyboard,Miscellaneous,"77,454.00",2.28,2.94,
ITD Cementation,Cement & Construction,"120,105.00",2.04,2.63,
Heritage Foods,Food & Beverages,"18,367.00",2.03,2.62,
HSIL,Cement & Construction,"55,137.00",2.02,2.60,
NRB Bearings,Engineering & Capital Goods,"155,161.00",1.99,2.57,
Ashoka Buildcon,Cement & Construction,"104,984.00",1.94,2.50,
ISGEC Heavy Eng,Food & Beverages,"3,081.00",1.88,2.43,
Timken,Engineering & Capital Goods,"27,835.00",1.86,2.40,
Strides Shasun,Pharmaceuticals,"18,362.00",1.84,2.37,
Ramcoind,Cement & Construction,"76,539.00",1.81,2.34,
Heidelberg Cem,Cement & Construction,"134,467.00",1.68,2.17,
Praj Industries,Engineering & Capital Goods,"220,602.00",1.66,2.14,
Gateway Distri,Miscellaneous,"62,245.00",1.60,2.07,
Brigade Ent,Retail & Real Estate,"60,900.00",1.57,2.03,
Amrutanjan Heal,Pharmaceuticals,"22,867.00",1.55,2.00,
TD Power System,Engineering & Capital Goods,"67,617.00",1.53,1.98,
Take Solutions,Information Technology,"91,311.00",1.50,1.93,
LG Balakrishnan,Engineering & Capital Goods,"19,388.00",1.45,1.87,
Kalpataru Power,Engineering & Capital Goods,"41,001.00",1.33,1.72,
INOX Leisure,Media & Entertainment,"48,044.00",1.32,1.70,
Ramco Cements,Cement & Construction,"16,955.00",1.18,1.52,
Astra Microwave,Telecommunication,"82,550.00",1.17,1.51,
Carborundum,Engineering & Capital Goods,"33,129.00",1.08,1.39,
KSB Pumps,Engineering & Capital Goods,"13,863.00",1.06,1.37,
Taj GVK Hotels,Services,"61,025.00",1.03,1.33,
Va Tech Wabag,Engineering & Capital Goods,"13,620.00",0.94,1.21,
Asian Granito,Cement & Construction,"20,334.00",0.88,1.13,
Redington,Information Technology,"66,302.00",0.87,1.12,
SREI Infra,Banking & Financial Services,"71,506.00",0.83,1.07,
Healthcare Glob,Services,"31,365.00",0.79,1.02,
Star Cement,Metals & Mining,"64,248.00",0.77,0.99,
Ramco System,Information Technology,"22,723.00",0.74,0.96,
Thyrocare Techn,Services,"9,485.00",0.69,0.89,
Triveni Engg,Food & Beverages,"94,446.00",0.69,0.89,
GNFC,Chemicals,"24,275.00",0.65,0.84,
Vijaya Bank,Banking & Financial Services,"86,788.00",0.63,0.81,
Hind Constr,Cement & Construction,"43,617.00",0.17,0.22,
Hind Dorr-Olive,Engineering & Capital Goods,"96,900.00",0.03,0.04
