Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
HPCL,Oil & Gas,"1,890,578.00",64.23,6.61,
ICICI Bank,Banking & Financial Services,"2,033,084.00",58.98,6.07,
UPL,Chemicals,"615,092.00",51.69,5.32,
Chennai Petro,Oil & Gas,"1,227,447.00",43.43,4.47,
L&T Finance,Banking & Financial Services,"2,866,972.00",41.20,4.24,
India Cements,Cement & Construction,"1,964,491.00",38.77,3.99,
Edelweiss,Banking & Financial Services,"1,753,257.00",33.52,3.45,
KPR Mill,Manufacturing,"377,953.00",31.00,3.19,
DLF,Retail & Real Estate,"1,599,902.00",30.51,3.14,
SpiceJet,Services,"2,301,397.00",30.41,3.13,
GNFC,Chemicals,"1,038,415.00",27.89,2.87,
Rel Capital,Banking & Financial Services,"421,443.00",27.11,2.79,
IGL,Oil & Gas,"245,642.00",26.04,2.68,
Blue Star,Consumer Durables,"430,339.00",25.85,2.66,
IDFC,Banking & Financial Services,"4,568,383.00",25.26,2.60,
Atul,Chemicals,"98,158.00",23.81,2.45,
VIP Industries,Manufacturing,"1,196,953.00",21.86,2.25,
Grasim,Conglomerates,"171,518.00",21.28,2.19,
Gulf Oil Lubric,Chemicals,"257,782.00",20.89,2.15,
Fortis Health,Services,"1,144,892.00",18.56,1.91,
Steel Str Wheel,Automotive,"208,316.00",18.27,1.88,
Arvind,Manufacturing,"453,315.00",16.32,1.68,
GAIL,Oil & Gas,"449,494.00",16.23,1.67,
Deepak Nitrite,Chemicals,"989,458.00",15.94,1.64,
CenturyPlyboard,Miscellaneous,"515,049.00",15.16,1.56,
Indian Terrain,Manufacturing,"660,993.00",13.12,1.35,
NCC,Cement & Construction,"1,465,819.00",12.83,1.32,
Monte Carlo,Manufacturing,"218,655.00",11.76,1.21,
Sintex Ind,Conglomerates,"4,555,916.00",10.98,1.13,
Sterlite Techno,Telecommunication,"743,600.00",10.88,1.12,
BEML,Engineering & Capital Goods,"68,391.00",10.49,1.08,
Bank of Baroda,Banking & Financial Services,"603,141.00",9.72,1.00,
PNB,Banking & Financial Services,"701,381.00",9.62,0.99,
Guj Flourochem,Chemicals,"113,106.00",8.36,0.86,
Canara Bank,Banking & Financial Services,"251,037.00",8.26,0.85,
Castrol,Chemicals,"182,833.00",7.38,0.76,
Muthoot Finance,Banking & Financial Services,"119,681.00",5.44,0.56,
Sonata,Information Technology,"292,324.00",4.47,0.46,
HPL Electric & ,Engineering & Capital Goods,"340,668.00",4.37,0.45,
Firstsource Sol,Information Technology,"911,822.00",3.11,0.32
