,Equity
Federal Bank,61
Schaeffler Ind,53
J. K. Cement,51
Repco Home,51
Exide Ind,48
Ramco Cements,46
Bayer CropScien,43
India Cements,43
Max Financial,43
Navin Fluorine,42
NCC,42
Guj State Petro,42
Timken,41
Johnson Control,41
IndusInd Bank,40
V-Guard Ind,40
Atul,40
DCB Bank,39
Grindwell Norto,38
Techno Electric,38
Va Tech Wabag,38
Ashoka Buildcon,38
City Union Bank,37
Minda Ind,37
Cholamandalam,37
KPR Mill,37
M&M; Financial,36
Blue Star,36
Coromandel Int,35
CenturyPlyboard,35
Voltas,35
ITD Cementation,35
Rane Holdings,34
S Chand and Co,33
Karur Vysya,33
UPL,33
AU Small Financ,32
Heidelberg Cem,32
SRF,32
Bajaj Finance,32
NIIT Tech,31
Dollar Ind,31
Bharat Elec,31
Mcleod,31
PNC Infratech,31
Petronet LNG,31
Thyrocare Techn,30
Himatsingka Sei,30
Supreme Ind,30
HPCL,30
Subros,29
HSIL,29
Navneet,29
Ujjivan Financi,29
Gateway Distri,29
Bata India,29
Whirlpool,29
INOX Leisure,29
PVR,29
Finolex Cables,28
Praj Industries,28
Clariant Chem,28
Solar Ind,28
CESC,28
Equitas Holding,28
IGL,28
Thermax,28
KSB Pumps,27
Premier Explo,27
PSP Projects,27
RPP Infra Proj,27
Bank of Baroda,26
AIA Engineering,26
Cochin Shipyard,26
Kalpataru Power,26
Motherson Sumi,26
MRF,25
Force Motors,25
Castrol,25
Carborundum,25
NRB Bearings,24
CARE,24
Kotak Mahindra,24
Aurobindo Pharm,24
Redington,24
ABB India,24
Rallis India,24
JK Lakshmi Cem,24
Kennametal,24
Persistent,24
Emami,24
MCX India,24
Sterlite Techno,24
Tata Chemicals,24
WABCO India,23
Bajaj Finserv,23
MM Forgings,23
Vardhman Text,23
Take Solutions,23
Honeywell Autom,23
Amara Raja Batt,23
Apollo Tyres,23
Britannia,22
Yes Bank,22
EngineersInd,22
Astra Microwave,22
DB Corp,22
Apollo Hospital,22
Mahindra Holida,22
Deepak Nitrite,22
PI Industries,22
Arvind,22
Ador Welding,22
Mahindra CIE,21
RBL Bank,21
Heritage Foods,21
NALCO,21
Strides Shasun,21
Aditya Birla F,21
Torrent Pharma,21
Container Corp,21
Salzer Electro,20
ICICI Bank,20
Cummins,20
Greaves Cotton,20
BEML,20
Texmaco Rail,20
Kansai Nerolac,19
Healthcare Glob,19
Jyothy Labs,19
Raymond,19
Dalmia Bharat,18
HDFC Bank,18
VIP Industries,18
Divis Labs,18
WPIL,18
KEC Intl,18
Sadbhav Engg,18
Gulf Oil Lubric,18
P and G,18
Sundaram Fin,18
Indian Bank,17
L&T; Finance,17
PTC India,17
Himadri Special,17
Siemens,17
Finolex Ind,17
GNFC,16
Vinati Organics,16
Tata Elxsi,16
SKF India,16
CRISIL,16
Muthoot Finance,16
INEOS Styro,16
Alkem Lab,16
Cyient,16
Grasim,16
Schneider Infra,16
Kajaria Ceramic,16
Guj Mineral,15
Page Industries,15
Akzo Nobel,15
Natco Pharma,15
Sanofi India,15
Indian Terrain,15
JM Financial,15
JagranPrakashan,15
ISGEC Heavy Eng,15
3M India,14
KNR Construct,14
KEI Industries,14
MRPL,14
Elgi Equipments,14
Ingersoll Rand,14
Mold-Tek Pack,14
Piramal Enter,14
Chennai Petro,14
TD Power System,14
Bharat Forge,14
Brigade Ent,14
Endurance Techn,14
Ashok Leyland,14
Vesuvius India,14
Suprajit Eng,14
Tata Steel,14
Navkar Corp,14
ICRA,14
Triveni Engg,14
Century,14
Monsanto India,14
SML Isuzu,14
MphasiS,14
GlaxoSmith Con,14
Tata Global Bev,14
Greenply Ind,14
PNB Housing Fin,13
Havells India,13
Cadila Health,13
Laurus Labs,13
Ceat,13
Shriram City,13
CG Power ,13
Ipca Labs,13
Shanthi Gears,13
Trent,13
Bharat Fin,13
CG Consumer,12
Advanced Enzyme,12
Aarti Ind,12
Ahluwalia,12
United Spirits,12
Taj GVK Hotels,12
Hindalco,12
Madhucon Proj,12
Sun Pharma,12
Eveready Ind,12
ZF Steering Gea,12
Balkrishna Ind,12
Somany Ceramics,12
Esab India,12
Colgate,12
TI Financial,12
Oracle Fin Serv,12
Sheela Foam,12
Goodyear,12
Future Retail,12
Indian Hotels,11
LG Balakrishnan,11
ICICI Prudentia,11
L&T; Technology,11
West Coast Pap,11
GE Shipping,11
Union Bank,11
Tata Motors (D),10
Centum Electron,10
Igarashi Motors,10
J Kumar Infra,10
Asian Granito,10
CCL Products,10
Blue Dart,10
Guj Flourochem,10
Escorts,10
Arrow Greentech,10
Eris Life,10
SBI,10
Avenue Supermar,10
Edelweiss,10
GRUH Finance,10
Star Cement,10
Berger Paints,10
UFO Moviez,10
Gillette India,10
Sanghi Ind,10
Tata Metaliks,10
Pennar Eng,10
Shree Cements,10
Capital First,10
Dhanuka Agritec,10
Adani Ports,10
Thomas Cook,10
Elantas Beck,10
Swaraj Engines,10
RamkrishnaForge,10
JK Tyre & Ind,9
SREI Infra,9
CL Educate,9
IIFL Holdings,9
Hind Zinc,9
Canara Bank,9
Gujarat Pipavav,9
TVS Motor,9
United Brewerie,9
Ramcoind,9
IRB Infra,9
Pidilite Ind,9
GMR Infra,9
Mindtree,9
Chambal Fert,8
Relaxo Footwear,8
Reliance,8
Axis Bank,8
Astral Poly Tec,8
VST Tillers,8
Jain Irrigation,8
Ratnamani Metal,8
Lakshmi Machine,8
eClerx Services,8
S H Kelkar,8
Dabur India,8
Trident,8
Shankara Buildi,8
Mahanagar Gas,8
Wonderla,8
Unichem Labs,8
Allcargo,8
Novartis India,8
Allahabad Bank,8
Zee Entertain,8
Sanghvi Movers,8
PTC India Fin,8
Jamna Auto,8
Gujarat Gas,8
Sundram,8
Bosch,8
HUDCO,8
Apar Ind,8
Godfrey Phillip,8
Westlife Dev,8
Ent Network Ind,8
