Equity,Sector,Qty,Value,%,Fund_Name,Fund_Code,Time_Stamp
Max Financial,Manufacturing,"153,064.00",9.03,3.49,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Lakshmi Machine,Engineering & Capital Goods,"13,169.00",7.51,2.90,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Rane Holdings,Automotive,"30,295.00",5.20,2.01,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Sterlite Techno,Telecommunication,"230,578.00",5.15,1.99,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Avanti Feeds,Miscellaneous,"24,769.00",5.02,1.94,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Aarti Ind,Chemicals,"56,107.00",5.00,1.93,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Mayur Uniquoter,Manufacturing,"135,524.00",4.92,1.90,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
HEG,Engineering & Capital Goods,"51,762.00",4.84,1.87,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Amara Raja Batt,Automotive,"67,082.00",4.76,1.84,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Godrej Prop,Retail & Real Estate,"76,932.00",4.76,1.84,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Coromandel Int,Chemicals,"109,677.00",4.74,1.83,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Future Life,Retail & Real Estate,"139,068.00",4.69,1.81,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Somany Ceramics,Cement & Construction,"52,146.00",4.45,1.72,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Sobha,Retail & Real Estate,"112,630.00",4.37,1.69,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
AIA Engineering,Engineering & Capital Goods,"32,861.00",4.35,1.68,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Dalmia Bharat,Cement & Construction,"16,860.00",4.32,1.67,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Mah Seamless,Metals & Mining,"102,141.00",4.27,1.65,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Trent,Retail & Real Estate,"144,731.00",4.27,1.65,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Carborundum,Engineering & Capital Goods,"133,079.00",4.22,1.63,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Max Financial,Manufacturing,"67,980.00",4.01,1.55,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
City Union Bank,Banking & Financial Services,"245,991.00",3.99,1.54,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Sunteck Realty,Retail & Real Estate,"124,010.00",3.88,1.50,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
NOCIL,Chemicals,"271,038.00",3.86,1.49,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Ramco Cements,Cement & Construction,"55,453.00",3.83,1.48,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Sterling Tools,Manufacturing,"149,813.00",3.68,1.42,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Indian Bank,Banking & Financial Services,"138,067.00",3.60,1.39,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Supreme Petro,Chemicals,"94,003.00",3.55,1.37,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Dishman Carboge,Miscellaneous,"101,209.00",3.42,1.32,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Mirza Intl,Consumer Non-durables,"208,842.00",3.31,1.28,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
IIFL Holdings,Banking & Financial Services,"53,670.00",3.26,1.26,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Aegis Logistics,Services,"136,382.00",3.21,1.24,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Navkar Corp,Services,"175,684.00",3.21,1.24,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Jamna Auto,Automotive,"614,540.00",3.21,1.24,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Savita Oil Tech,Chemicals,"25,029.00",3.03,1.17,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Dollar Ind,Manufacturing,"74,521.00",3.03,1.17,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Swaraj Engines,Engineering & Capital Goods,"14,600.00",2.98,1.15,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
TI Financial,Miscellaneous,"51,560.00",2.93,1.13,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
DCB Bank,Banking & Financial Services,"160,759.00",2.93,1.13,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
AksharChem,Chemicals,"38,650.00",2.87,1.11,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
WABCO India,Automotive,"4,653.00",2.77,1.07,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Triveni Turbine,Engineering & Capital Goods,"211,144.00",2.74,1.06,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Rico Auto,Automotive,"284,972.00",2.64,1.02,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
NALCO,Metals & Mining,"337,199.00",2.64,1.02,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
TVS Srichakra,Automotive,"8,544.00",2.61,1.01,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Supreme Ind,Manufacturing,"23,429.00",2.56,0.99,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Wim Plast,Manufacturing,"18,791.00",2.54,0.98,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
RSWM,Manufacturing,"82,241.00",2.54,0.98,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
EngineersInd,Engineering & Capital Goods,"167,169.00",2.49,0.96,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Future Retail,Retail & Real Estate,"47,229.00",2.49,0.96,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Oriental Carbon,Chemicals,"20,183.00",2.46,0.95,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
KPR Mill,Manufacturing,"30,891.00",2.33,0.90,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Deepak Nitrite,Chemicals,"110,917.00",2.15,0.83,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
Skipper,Miscellaneous,"97,703.00",2.04,0.79,L&T; Emerging Businesses Fund-DP (G),MCC492,2017-10-27 14:48:24.077000
