SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Allied Computer,split,19-12-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ACI13,
Jyothy Labs,split,12-12-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JL,
Koffee Break,split,08-12-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KBP,
State Bk Travan,split,05-12-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SBT,
Sybly Ind,split,02-12-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI69,
Khyati Multimed,split,24-11-2008,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KME,
Shri Dinesh Mil,split,20-11-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SDM,
Nectar Life,split,12-11-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NL01,
Jindal Drilling,split,06-11-2008,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JDI,
Ratnamani Metal,split,06-11-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RMT,
Mobile Tele,split,31-10-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MT9,
Time Techno,split,29-10-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TT03,
Skyline Millars,split,27-10-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SM20,
GE T&D India,split,22-10-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ATD,
Country Club,split,15-10-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CCI06,
AIA Engineering,split,13-10-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AIE01,
State B Bikaner,split,07-10-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SBB02,
Provogue,split,03-10-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PI31,
Ramco Cements,split,01-10-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MC,
Take Solutions,split,18-09-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TS09,
Bafna Spinning,split,18-09-2008,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BSM01,
Hercules Hoists,split,17-09-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HH01,
Gemini Comm,split,17-09-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GC17,
Era Infra Eng,split,17-09-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EIE01,
Adinath Bio-Lab,split,15-09-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ABL02,
AI Champdany,split,11-09-2008,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AIC02,
JM Financial,split,08-09-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JMF,
JTEKT India,split,02-09-2008,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SKS04,
Mavens Biotech,split,25-08-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MB03,
Kokuyo Camlin,split,22-08-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=C02,
GS Auto,split,20-08-2008,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GSA,
IIFL Finance,split,08-08-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=II15,
Vedanta,split,08-08-2008,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SG,
Graviss Hosp,split,04-08-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GLH,
Diana Tea,split,30-07-2008,2.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DTC,
Motilal Oswal,split,25-07-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MOF01,
Hatsun Agro,split,17-07-2008,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HAP,
