SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Harvic Manage,split,31-12-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HMS,
Oasis Media,split,30-12-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=OMM01,
Sanyo Impex,split,18-12-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI53,
Media Matrix,split,15-11-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MM06,
Jubilant Life,split,12-11-2002,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JO03,
Gufic Bio,split,29-10-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GB04,
Motherson Sumi,split,22-10-2002,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MSS01,
Goyal Associate,split,22-10-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GA06,
Asahi India,split,08-10-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AIG01,
Innovision eCom,split,07-10-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IC07,
Mega Corp,split,26-09-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MC20,
Balaji Telefilm,split,23-09-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BT06,
Arvind Remedies,split,23-09-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AR06,
Dynacons Sys,split,19-09-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DSS01,
White Lion Asia,split,17-09-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=WLA,
Hit Kit Global,split,13-08-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HKG,
Jump Networks,split,24-07-2002,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CG02,
Seagull Leafin,split,28-06-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SL09,
Sanwaria Consum,split,11-06-2002,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SAO,
PTL Enterprises,split,27-05-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PTL06,
FDC,split,14-05-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FDC,
Polson,split,10-04-2002,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=P08,
E.Star Info,split,27-03-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ESI03,
Panoramic Uni,split,13-03-2002,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PU,
Smartlink Net,split,28-02-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SNS01,
Blue Chip,split,28-02-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BCI02,
Wadala,split,20-02-2002,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=WC02,
Infraquest Intl,split,14-02-2002,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CHI01,
Shiva Cement,split,30-01-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SC50,
Top Telemedia,split,09-01-2002,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TT10,
Sterling Bio,split,07-01-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SB11,
Soundcraft Ind,split,07-01-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI32,
Fourth Gen Info,split,07-01-2002,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FGI,
