fundname,code,link,Do_Not_Use,fund_category
DSP Arbitrage Fund - Direct Plan (G),MDS1298,https://www.moneycontrol.com/mutual-funds/nav/dsp-arbitrage-fund-direct-plan/MDS1298,,Arbitrage Fund
DSP Arbitrage Fund - Direct Plan (R),MDS1300,https://www.moneycontrol.com/mutual-funds/nav/dsp-arbitrage-fund-direct-plan/MDS1300,,Arbitrage Fund
DSP Focus Fund - Direct (G),MDS588,https://www.moneycontrol.com/mutual-funds/nav/dsp-focus-fund-direct-plan/MDS588,,Focused Fund
DSP Focus Fund - Regular (G),MDS588,https://www.moneycontrol.com/mutual-funds/nav/dsp-focus-fund-direct-plan/MDS281,,Focused Fund
Principal Multi Cap Growth Fund - Direct Plan (G),MID309,https://www.moneycontrol.com/mutual-funds/nav/principal-multi-cap-growth-fund-direct-plan/MID309,,Multi Cap Fund
Principal Multi Cap Growth Fund - (G),MID010,https://www.moneycontrol.com/mutual-funds/nav/principal-multi-cap-growth-fund-direct-plan/MID010,,Multi Cap Fund
SBI Consumption Opportunities Fund - (G),MSB524,https://www.moneycontrol.com/mutual-funds/sbi-consumption-opportunities-fund-direct-plan/portfolio-holdings/MSB524,,Consumption
SBI Consumption Opportunities Fund - Direct Plan (G),MSB492,https://www.moneycontrol.com/mutual-funds/sbi-consumption-opportunities-fund-direct-plan/portfolio-holdings/MSB492,,Consumption
