SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Hazoor,bonus,28-12-2006,0.5,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hazoormultiprojects/HMP,
Brady and Morri,bonus,14-12-2006,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/bradymorrisengineeringcompany/BME,
CG Power,bonus,14-12-2006,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG,
Hind Dorr-Olive,bonus,23-11-2006,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/engineering/hindustandorroliver/HDO,
Tera Software,bonus,23-11-2006,0.8,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/terasoftware/TS14,
Arshiya,bonus,20-11-2006,0.4,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/arshiya/AI60,
Lakshmi Vilas,bonus,17-11-2006,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/lakshmivilasbank/LVB,
Minal Ind,bonus,14-11-2006,0.20833333333333334,https://www.moneycontrol.com/india/stockpricequote/trading/minalindustries/ME10,
Supreme Ind,bonus,13-11-2006,0.5,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,
Maha ShreeUmaid,bonus,09-11-2006,0.5,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/maharajashreeumaidmills/MSU,
Sukhjit Starch,bonus,08-11-2006,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sukhjitstarchchemicals/SSC02,
Mah Corporation,bonus,03-11-2006,0.375,https://www.moneycontrol.com/india/stockpricequote/financegeneral/maharashtracorporation/MIL02,
Jeet Machine,bonus,02-11-2006,0.125,https://www.moneycontrol.com/india/stockpricequote/machinetools/jeetmachinetolls/JMT01,
Subway Finance,bonus,02-11-2006,0.2222222222222222,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/subwayfinanceandinvestmentcompany/SFA01,
JagranPrakashan,bonus,02-11-2006,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12,
Opto Circuits,bonus,30-10-2006,0.5,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/optocircuitsindia/OCI01,
