SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Sanwaria Consum,bonus,03-07-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/sanwariaconsumer/SAO,
Petronet LNG,bonus,03-07-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,
Plastiblends,bonus,03-07-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/plastics/plastiblendsindia/PI13,
Godrej Consumer,bonus,22-06-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,
Kitex Garments,bonus,22-06-2017,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,
ICICI Bank,bonus,20-06-2017,0.9090909090909091,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,
Thacker,bonus,16-06-2017,0.39622641509433965,https://www.moneycontrol.com/india/stockpricequote/trading/thackercompany/TC03,
Biocon,bonus,15-06-2017,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,
Wipro,bonus,13-06-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,
Muthoot Cap,bonus,12-06-2017,0.9090909090909091,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootcapitalservices/MCS02,
Hind Composites,bonus,25-05-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/hindustancomposites/HC06,
Beardsell,bonus,04-05-2017,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/B06,
Ram Minerals,bonus,18-04-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/chemicals/rammineralschemicals/ICV02,
Container Corp,bonus,05-04-2017,0.8,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,
Ashari Agencies,bonus,31-03-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ashariagencies/AA10,
Poly Medicure,bonus,24-03-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/polymedicure/PM06,
Kushal,bonus,16-03-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/paper/kushal/KT06,
ABM Inter,bonus,15-03-2017,0.16666666666666666,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02,
K.P. Energy,bonus,15-03-2017,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kpenergy/KEL04,
V-Guard Ind,bonus,15-03-2017,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,
Millitoons Ente,bonus,10-03-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/millitoonsentertainment/ME17,
GAIL,bonus,09-03-2017,0.75,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,
Tejnaksh,bonus,08-03-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/tejnakshhealthcare/TH02,
Akme Star,bonus,07-03-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/financehousing/akmestarhousingfinance/ASH01,
NBCC (India),bonus,17-02-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/nbccindia/NBC01,
Orbit Exports,bonus,14-02-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/orbitexports/OE,
Ishan Dyes,bonus,14-02-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/chemicals/ishandyeschemicals/IDC,
Ambition Mica,bonus,03-02-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ambitionmica/AM,
Fourth Dimensio,bonus,02-02-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/fourthdimensionsolutions/FDS01,
Nutraplus India,bonus,19-01-2017,0.9090909090909091,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nutraplusindia/NPI03,
Oil India,bonus,12-01-2017,0.75,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,
Stampede Cap,bonus,10-01-2017,0.8,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/stampedecapital/BS11,
Advance Syntex,bonus,04-01-2017,0.8695652173913043,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08,
