Equity,Sector,Qty,Value,%,Fund_Type,Fund_Name,Fund_Code,Time_Stamp
"Repco Home","Banking & Financial Services",50212,3.13,3.11,Diversified,"ABSL Intl. Equity B -Direct (G)",MBS825,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",59913,3.85,1.45,Diversified,"ABSL Long Term Adv. -Direct (G)",MBS827,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",696854,43.5,2.15,Midcap,"ABSL Small & Midcap -Direct (G)",MBS833,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",1255776,78.39,1.45,Midcap,"DSP BR Small & Mid Cap - Regular (G)",MDS056,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",1837763,114.71,1.77,Midcap,"DSP BR Micro Cap Fund - Regular (G)",MDS076,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",1255776,78.39,1.45,Midcap,"DSP BR Small & Mid Cap - Direct (G)",MDS574,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",1837763,114.71,1.77,Midcap,"DSP BR Micro Cap Fund - Direct (G)",MDS584,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",218842,13.66,1.96,Diversified,"Franklin India Oppor. (G)",MKP028,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",584610,36.49,1.26,Banking,"ICICI Pru Bkg&Fin; Serv -Direct (G)",MPI1138,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",584610,36.49,1.26,Banking,"ICICI Pru Bkg & Fin Serv-RP(G)",MPI447,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",47550,2.99,2.59,Diversified,"Essel Equity Fund (G)",MPM034,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",10460,0.66,2.59,Diversified,"Essel Equity Fund - Direct (G)",MPM040,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",343322,21.43,0.53,Midcap,"SBI Magnum Midcap Fund (G)",MSB065,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",343322,21.43,0.53,Midcap,"SBI Magnum Midcap Fund - Direct (G)",MSB505,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",420000,26.22,1.12,Diversified,"Sundaram Rural India Fund (G)",MSN097,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",42440,2.65,1.09,Midcap,"Sundaram Select Micro Cap-Sr 5-RP-G",MSN1035,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",42440,2.65,1.09,Midcap,"Sundaram Select Micro Cap-Sr 5-DP-G",MSN1037,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",63760,3.98,1.1,Midcap,"Sundaram Select Micro Cap-Sr 6-RP-G",MSN1045,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",63760,3.98,1.1,Midcap,"Sundaram Select Micro Cap-Sr 6-DP-G",MSN1047,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",34240,2.14,1.09,Midcap,"Sundaram Select Micro Cap-Sr 7-RP-G",MSN1049,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",34240,2.14,1.09,Midcap,"Sundaram Select Micro Cap-Sr 7-DP-G",MSN1051,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",25440,1.59,1.08,Midcap,"Sundaram Select Micro Cap-Sr 8-RP-G",MSN1180,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",25440,1.59,1.08,Midcap,"Sundaram Select Micro Cap-Sr 8-DP-G",MSN1182,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",15092,0.94,1.09,Midcap,"Sundaram Select Micro Cap-Sr 9-RP-G",MSN1185,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",15092,0.94,1.09,Midcap,"Sundaram Select Micro Cap-Sr 9-DP-G",MSN1187,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",9759,0.61,1.08,Midcap,"Sundaram Select Micro Cap-Sr 10-RP-G",MSN1199,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",9759,0.61,1.08,Midcap,"Sundaram Select Micro Cap-Sr 10-DP-G",MSN1201,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",43756,2.73,2.15,Midcap,"Sundaram Select Micro Cap-Sr 11-RP-G",MSN1292,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",43756,2.73,2.15,Midcap,"Sundaram Select Micro Cap-Sr 11-DP-G",MSN1294,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",32199,2.01,2.17,Midcap,"Sundaram Select Micro Cap-Sr 12-RP-G",MSN1300,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",32199,2.01,2.17,Midcap,"Sundaram Select Micro Cap-Sr 12-DP-G",MSN1302,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",35026,2.19,1.38,Midcap,"Sundaram Select Micro Cap-Sr 14-RP-G",MSN1324,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",35026,2.19,1.38,Midcap,"Sundaram Select Micro Cap-Sr 14-DP-G",MSN1326,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",33900,2.12,1.37,Midcap,"Sundaram Select Micro Cap-Sr 15-RP-G",MSN1341,"2018-02-28 00:00:00"
"Repco Home","Banking & Financial Services",33900,2.12,1.37,Midcap,"Sundaram Select Micro Cap-Sr 15-DP-G",MSN1343,"2018-02-28 00:00:00"
