Equity,Sector,Qty,Value,%,Fund_Type,Fund_Name,Fund_Code,Time_Stamp
"Repco Home","Banking & Financial Services",248911,14.05,2.13,Diversified,"Franklin (I) Opport. - Direct (G)",MTE319,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",505000,28.51,0.99,Diversified,"Franklin (I) Flexi Cap -Direct (G)",MTE327,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",55000,3.11,1.01,Midcap,"Union SCF -RP (G)",MUK089,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",55000,3.11,1.01,Midcap,"Union SCF -DP (G)",MUK091,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",74700,4.22,0.18,Arbitrage,"UTI SPrEAD Fund (G)",MUT102,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",74700,4.22,0.18,Arbitrage,"UTI SPrEAD Fund - Direct (G)",MUT712,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",756226,44.65,0.31,Balanced,"ABSL Equity Hybrid '95 Fund (G)",MAC001,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",590000,34.83,0.37,Diversified,"ABSL Equity Fund (G)",MAC006,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",680882,40.2,0.66,Diversified,"ABSL Equity Advantage Fund (G)",MBS022,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",263828,15.58,0.67,MIPA,"ABSL Regular Savings Fund (G)",MBS061,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",110000,6.49,0.8,Diversified,"ABSL India GenNext (G)",MBS087,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",764854,45.16,1.99,Midcap,"ABSL Small Cap Fund (G)",MBS104,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",599666,35.4,2.27,Banking,"ABSL Bank&Financial; Ser -RP (G)",MBS1451,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",599666,35.4,2.27,Banking,"ABSL Bank&Financial; Ser -DP (G)",MBS1453,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",50212,2.96,3.2,Diversified,"ABSL Intl. Equity - B (G)",MBS205,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",145000,8.56,3.2,Midcap,"ABSL Emer. Leaders-Sr 6-RP (G)",MBS2055,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",145000,8.56,3.2,Midcap,"ABSL Emer. Leaders-Sr 6-DP (G)",MBS2057,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",680882,40.2,0.66,Diversified,"ABSL Equity Advantage Fund - D (G)",MBS807,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",590000,34.83,0.37,Diversified,"ABSL Equity Fund -Direct (G)",MBS811,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",110000,6.49,0.8,Diversified,"ABSL India GenNext-Direct (G)",MBS815,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",50212,2.96,3.2,Diversified,"ABSL Intl. Equity B -Direct (G)",MBS825,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",764854,45.16,1.99,Midcap,"ABSL Small Cap Fund - D (G)",MBS833,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",756226,44.65,0.31,Balanced,"ABSL Equity Hybrid '95 Fund - D (G)",MBS849,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",1255776,74.14,1.34,Midcap,"DSP BR Mid Cap - Regular (G)",MDS056,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",785963,46.4,1.08,ELSS,"DSP BR Tax Saver Fund - Regular (G)",MDS060,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",1837763,108.5,1.88,Midcap,"DSP BR Small Cap Fund - Regular (G)",MDS076,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",785963,46.4,1.08,ELSS,"DSP BR Tax Saver Fund - Direct (G)",MDS572,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",1255776,74.14,1.34,Midcap,"DSP BR Mid Cap - Direct (G)",MDS574,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",1837763,108.5,1.88,Midcap,"DSP BR Small Cap Fund - Direct (G)",MDS584,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",53100,3.14,0.04,MIPA,"HDFC Equity Savings Fund (G)",MHD046,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",53100,3.14,0.04,MIPA,"HDFC Equity Savings Fund - Direct Plan (",MHD1217,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",132218,7.81,0.23,Balanced,"ABSL BAF (G)",MIN007,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",132218,7.81,0.23,Balanced,"ABSL BAF - Direct (G)",MIN389,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",40500,2.61,0.07,Balanced,"JM Equity Hybrid Fund (G)",MJM004,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",6300,0.41,0.02,Arbitrage,"JM Arbitrage Fund (G)",MJM068,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",40500,2.61,0.07,Balanced,"JM Equity Hybrid Fund - D (G)",MJM328,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",6300,0.41,0.02,Arbitrage,"JM Arbitrage Fund - D (G)",MJM330,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",14400,0.85,0.01,Arbitrage,"Kotak Equity Arbitrage - Regular (G)",MKM079,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",14400,0.85,0.01,Arbitrage,"Kotak Equity Arbitrage - Direct (G)",MKM526,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",413934,24.44,0.66,ELSS,"Franklin India Tax Shield (G)",MKP007,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",248911,14.7,2.26,Diversified,"Franklin India Oppor. (G)",MKP028,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",153595,9.07,3.1,ELSS,"Mahindra MF KBY - RP (G)",MMH009,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",153595,9.07,3.1,ELSS,"Mahindra MF KBY - DP (G)",MMH011,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",47019,2.78,0.86,Balanced,"Mahindra MF DSESY - RP (G)",MMH013,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",47019,2.78,0.86,Balanced,"Mahindra MF DSESY - DP (G)",MMH015,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",6275,0.39,0.52,MIPA,"Essel Regular Savings (G)",MPM025,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",47550,2.99,2.59,Diversified,"Essel Large Cap Equity (G)",MPM034,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",10460,0.66,2.59,Diversified,"Essel Large Cap Equity - D (G)",MPM040,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",200,0.01,0.52,MIPA,"Essel Regular Savings - Direct (G)",MPM042,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",24920,1.41,0.6,Midcap,"Sundaram Select Micro Cap-Sr 5-RP-G",MSN1035,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",24920,1.41,0.6,Midcap,"Sundaram Select Micro Cap-Sr 5-DP-G",MSN1037,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",3335705,196.94,2.67,Midcap,"Franklin (I) Smaller Cos (G)",MTE090,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",413934,24.44,0.66,ELSS,"Franklin (I) Tax Shield -Direct (G)",MTE311,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",3335705,196.94,2.67,Midcap,"Franklin (I) Smaller Co -Direct (G)",MTE313,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",248911,14.7,2.26,Diversified,"Franklin (I) Opport. - Direct (G)",MTE319,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",80000,4.72,1.47,Midcap,"Union SCF -RP (G)",MUK089,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",80000,4.72,1.47,Midcap,"Union SCF -DP (G)",MUK091,"2018-06-28 00:00:00"
"Repco Home","Banking & Financial Services",703149,38.87,0.29,Balanced,"ABSL Equity Hybrid '95 Fund (G)",MAC001,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",472384,26.16,0.35,Diversified,"ABSL Equity Fund (G)",MAC006,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",552268,30.58,0.63,Diversified,"ABSL Equity Advantage Fund (G)",MBS022,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",206657,11.42,0.51,MIPA,"ABSL Regular Savings Fund (G)",MBS061,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",629707,34.81,1.94,Midcap,"ABSL Small Cap Fund (G)",MBS104,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",527442,29.16,2.16,Banking,"ABSL Bank&Financial; Ser -RP (G)",MBS1451,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",70614,3.9,2.16,Banking,"ABSL Bank&Financial; Ser -DP (G)",MBS1453,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",51435,2.85,3.1,Diversified,"ABSL Intl. Equity - B (G)",MBS205,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",152105,8.42,3.17,Midcap,"ABSL Emer. Leaders-Sr 6-RP (G)",MBS2055,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",1443,0.08,3.17,Midcap,"ABSL Emer. Leaders-Sr 6-DP (G)",MBS2057,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",132979,7.36,0.63,Diversified,"ABSL Equity Advantage Fund - D (G)",MBS807,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",108372,6,0.35,Diversified,"ABSL Equity Fund -Direct (G)",MBS811,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",638,0.04,3.1,Diversified,"ABSL Intl. Equity B -Direct (G)",MBS825,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",159720,8.83,1.94,Midcap,"ABSL Small Cap Fund - D (G)",MBS833,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",57368,3.17,0.29,Balanced,"ABSL Equity Hybrid '95 Fund - D (G)",MBS849,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",1158916,64.06,1.32,Midcap,"DSP BR Mid Cap - Regular (G)",MDS056,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",699556,38.67,1.03,ELSS,"DSP BR Tax Saver Fund - Regular (G)",MDS060,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",1736986,96.18,1.93,Midcap,"DSP BR Small Cap Fund - Regular (G)",MDS076,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",96902,5.36,1.03,ELSS,"DSP BR Tax Saver Fund - Direct (G)",MDS572,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",157235,8.69,1.32,Midcap,"DSP BR Mid Cap - Direct (G)",MDS574,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",312261,17.29,1.93,Midcap,"DSP BR Small Cap Fund - Direct (G)",MDS584,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",24337,1.35,0.02,MIPA,"HDFC Equity Savings Fund (G)",MHD046,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",2906,0.16,0.02,MIPA,"HDFC Equity Savings Fund - Direct Plan (",MHD1217,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",128270,7.09,0.23,Balanced,"ABSL BAF (G)",MIN007,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",11243,0.62,0.23,Balanced,"ABSL BAF - Direct (G)",MIN389,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",14762,0.82,0.06,Balanced,"JM Equity Hybrid Fund (G)",MJM004,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",25323,1.4,0.06,Balanced,"JM Equity Hybrid Fund - D (G)",MJM328,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",368019,20.34,0.63,ELSS,"Franklin India Tax Shield (G)",MKP007,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",223250,12.36,2.2,Diversified,"Franklin India Oppor. (G)",MKP028,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",151451,8.37,2.92,ELSS,"Mahindra MF KBY - RP (G)",MMH009,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",2673,0.15,2.92,ELSS,"Mahindra MF KBY - DP (G)",MMH011,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",48396,2.68,0.83,Balanced,"Mahindra MF DSESY - RP (G)",MMH013,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",363,0.02,0.83,Balanced,"Mahindra MF DSESY - DP (G)",MMH015,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",6275,0.39,0.52,MIPA,"Essel Regular Savings (G)",MPM025,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",47550,2.99,2.59,Diversified,"Essel Large Cap Equity (G)",MPM034,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",10460,0.66,2.59,Diversified,"Essel Large Cap Equity - D (G)",MPM040,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",200,0.01,0.52,MIPA,"Essel Regular Savings - Direct (G)",MPM042,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",24920,1.41,0.6,Midcap,"Sundaram Select Micro Cap-Sr 5-RP-G",MSN1035,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",24920,1.41,0.6,Midcap,"Sundaram Select Micro Cap-Sr 5-DP-G",MSN1037,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",2704906,149.77,2.59,Midcap,"Franklin (I) Smaller Cos (G)",MTE090,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",44353,2.45,0.63,ELSS,"Franklin (I) Tax Shield -Direct (G)",MTE311,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",722534,40.01,2.59,Midcap,"Franklin (I) Smaller Co -Direct (G)",MTE313,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",32017,1.77,2.2,Diversified,"Franklin (I) Opport. - Direct (G)",MTE319,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",96031,5.31,1.7,Midcap,"Union SCF -RP (G)",MUK089,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",3798,0.21,1.7,Midcap,"Union SCF -DP (G)",MUK091,"2018-07-27 00:00:00"
"Repco Home","Banking & Financial Services",703149,38.87,0.29,Balanced,"ABSL Equity Hybrid '95 Fund (G)",MAC001,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",472384,26.16,0.35,Diversified,"ABSL Equity Fund (G)",MAC006,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",552268,30.58,0.63,LargeMid,"ABSL Equity Advantage Fund (G)",MBS022,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",206657,11.42,0.51,MIPC,"ABSL Regular Savings Fund (G)",MBS061,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",65639,3.63,0.57,Banking,"ABSL Infrastructure (G)",MBS094,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",629707,34.81,1.94,Smallcap,"ABSL Small Cap Fund (G)",MBS104,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",527442,29.16,2.16,Banking,"ABSL Bank&Financial; Ser -RP (G)",MBS1451,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",70614,3.9,2.16,Banking,"ABSL Bank&Financial; Ser -DP (G)",MBS1453,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",51435,2.85,3.1,Banking,"ABSL Intl. Equity - B (G)",MBS205,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",152105,8.42,3.17,Midcap,"ABSL Emer. Leaders-Sr 6-RP (G)",MBS2055,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",1443,0.08,3.17,Midcap,"ABSL Emer. Leaders-Sr 6-DP (G)",MBS2057,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",132979,7.36,0.63,LargeMid,"ABSL Equity Advantage Fund - D (G)",MBS807,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",108372,6,0.35,Diversified,"ABSL Equity Fund -Direct (G)",MBS811,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",6464,0.36,0.57,Banking,"ABSL Infrastructure -Direct (G)",MBS821,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",638,0.04,3.1,Banking,"ABSL Intl. Equity B -Direct (G)",MBS825,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",159720,8.83,1.94,Smallcap,"ABSL Small Cap Fund - D (G)",MBS833,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",57368,3.17,0.29,Balanced,"ABSL Equity Hybrid '95 Fund - D (G)",MBS849,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",1158916,64.06,1.32,Midcap,"DSP BR Mid Cap - Regular (G)",MDS056,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",699556,38.67,1.03,ELSS,"DSP BR Tax Saver Fund - Regular (G)",MDS060,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",1736986,96.18,1.93,Smallcap,"DSP BR Small Cap Fund - Regular (G)",MDS076,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",96902,5.36,1.03,ELSS,"DSP BR Tax Saver Fund - Direct (G)",MDS572,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",157235,8.69,1.32,Midcap,"DSP BR Mid Cap - Direct (G)",MDS574,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",312261,17.29,1.93,Smallcap,"DSP BR Small Cap Fund - Direct (G)",MDS584,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",128270,7.09,0.23,MIPA,"ABSL BAF (G)",MIN007,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",11243,0.62,0.23,MIPA,"ABSL BAF - Direct (G)",MIN389,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",14762,0.82,0.06,Balanced,"JM Equity Hybrid Fund (G)",MJM004,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",25323,1.4,0.06,Balanced,"JM Equity Hybrid Fund - D (G)",MJM328,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",10212,0.56,0.01,Arbitrage,"Kotak Equity Arbitrage - Regular (G)",MKM079,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",10957,0.61,0.01,Arbitrage,"Kotak Equity Arbitrage - Direct (G)",MKM526,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",248911,14.95,2.33,Banking,"Franklin India Oppor. (G)",MKP028,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",151451,8.37,2.92,ELSS,"Mahindra MF KBY - RP (G)",MMH009,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",2673,0.15,2.92,ELSS,"Mahindra MF KBY - DP (G)",MMH011,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",6275,0.39,0.52,MIPC,"Essel Regular Savings (G)",MPM025,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",47550,2.99,2.59,Large,"Essel Large Cap Equity (G)",MPM034,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",10460,0.66,2.59,Large,"Essel Large Cap Equity - D (G)",MPM040,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",200,0.01,0.52,MIPC,"Essel Regular Savings - Direct (G)",MPM042,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",3335705,200.36,2.75,Smallcap,"Franklin (I) Smaller Cos (G)",MTE090,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",3335705,200.36,2.75,Smallcap,"Franklin (I) Smaller Co -Direct (G)",MTE313,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",248911,14.95,2.33,Banking,"Franklin (I) Opport. - Direct (G)",MTE319,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",96031,5.31,1.7,Smallcap,"Union SCF -RP (G)",MUK089,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",3798,0.21,1.7,Smallcap,"Union SCF -DP (G)",MUK091,"2018-08-09 00:00:00"
"Repco Home","Banking & Financial Services",756226,45.42,0.31,Balanced,"ABSL Equity Hybrid '95 Fund (G)",MAC001,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",590000,35.44,0.36,Diversified,"ABSL Equity Fund (G)",MAC006,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",680882,40.9,0.64,LargeMid,"ABSL Equity Advantage Fund (G)",MBS022,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",263828,15.85,0.56,MIPC,"ABSL Regular Savings Fund (G)",MBS061,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",70000,4.2,0.6,Banking,"ABSL Infrastructure (G)",MBS094,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",764854,45.94,2.04,Smallcap,"ABSL Small Cap Fund (G)",MBS104,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",599666,36.02,2.14,Banking,"ABSL Bank&Financial; Ser -RP (G)",MBS1451,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",599666,36.02,2.14,Banking,"ABSL Bank&Financial; Ser -DP (G)",MBS1453,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",50212,3.02,3.26,Banking,"ABSL Intl. Equity - B (G)",MBS205,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",145000,8.71,3.28,Midcap,"ABSL Emer. Leaders-Sr 6-RP (G)",MBS2055,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",145000,8.71,3.28,Midcap,"ABSL Emer. Leaders-Sr 6-DP (G)",MBS2057,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",680882,40.9,0.64,LargeMid,"ABSL Equity Advantage Fund - D (G)",MBS807,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",590000,35.44,0.36,Diversified,"ABSL Equity Fund -Direct (G)",MBS811,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",70000,4.2,0.6,Banking,"ABSL Infrastructure -Direct (G)",MBS821,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",50212,3.02,3.26,Banking,"ABSL Intl. Equity B -Direct (G)",MBS825,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",764854,45.94,2.04,Smallcap,"ABSL Small Cap Fund - D (G)",MBS833,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",756226,45.42,0.31,Balanced,"ABSL Equity Hybrid '95 Fund - D (G)",MBS849,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",1255776,75.43,1.33,Midcap,"DSP Mid Cap - Regular (G)",MDS056,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",785963,47.21,1.03,ELSS,"DSP Tax Saver Fund - Regular (G)",MDS060,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",1837763,110.39,2.06,Smallcap,"DSP Small Cap Fund - Regular (G)",MDS076,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",785963,47.21,1.03,ELSS,"DSP Tax Saver Fund - Direct (G)",MDS572,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",1255776,75.43,1.33,Midcap,"DSP Mid Cap - Direct (G)",MDS574,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",1837763,110.39,2.06,Smallcap,"DSP Small Cap Fund - Direct (G)",MDS584,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",132218,7.94,0.24,MIPA,"ABSL BAF (G)",MIN007,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",132218,7.94,0.24,MIPA,"ABSL BAF - Direct (G)",MIN389,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",14762,0.82,0.06,Balanced,"JM Equity Hybrid Fund (G)",MJM004,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",25323,1.4,0.06,Balanced,"JM Equity Hybrid Fund - D (G)",MJM328,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",18000,1.08,0.01,Arbitrage,"Kotak Equity Arbitrage - Regular (G)",MKM079,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",18000,1.08,0.01,Arbitrage,"Kotak Equity Arbitrage - Direct (G)",MKM526,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",248911,14.95,2.33,Banking,"Franklin India Oppor. (G)",MKP028,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",153595,9.23,3.01,ELSS,"Mahindra MF KBY - RP (G)",MMH009,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",153595,9.23,3.01,ELSS,"Mahindra MF KBY - DP (G)",MMH011,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",6275,0.39,0.52,MIPC,"Essel Regular Savings (G)",MPM025,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",47550,2.99,2.59,Large,"Essel Large Cap Equity (G)",MPM034,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",10460,0.66,2.59,Large,"Essel Large Cap Equity - D (G)",MPM040,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",200,0.01,0.52,MIPC,"Essel Regular Savings - Direct (G)",MPM042,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",3335705,200.36,2.75,Smallcap,"Franklin (I) Smaller Cos (G)",MTE090,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",3335705,200.36,2.75,Smallcap,"Franklin (I) Smaller Co -Direct (G)",MTE313,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",248911,14.95,2.33,Banking,"Franklin (I) Opport. - Direct (G)",MTE319,"2018-08-30 00:00:00"
"Repco Home","Banking & Financial Services",756226,41.2,0.27,Balanced,"ABSL Equity Hybrid '95 Fund (G)",MAC001,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",590000,32.14,0.31,Diversified,"ABSL Equity Fund (G)",MAC006,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",303382,16.53,0.26,LargeMid,"ABSL Equity Advantage Fund (G)",MBS022,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",263828,14.37,0.52,MIPC,"ABSL Regular Savings Fund (G)",MBS061,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",70000,3.81,0.54,Banking,"ABSL Infrastructure (G)",MBS094,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",764854,41.67,1.79,Smallcap,"ABSL Small Cap Fund (G)",MBS104,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",599666,32.67,1.89,Banking,"ABSL Bank&Financial; Ser -RP (G)",MBS1451,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",599666,32.67,1.89,Banking,"ABSL Bank&Financial; Ser -DP (G)",MBS1453,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",50212,2.74,2.86,Banking,"ABSL Intl. Equity - B (G)",MBS205,"2018-09-18 00:00:00"
"Repco Home","Banking & Financial Services",145000,7.9,2.95,Midcap,"ABSL Emer. Leaders-Sr 6-RP (G)",MBS2055,"2018-09-18 00:00:00"
