Equity,Sector,Qty,Value,%,Fund_Name,Fund_Code,Time_Stamp
Hero Motocorp,Automotive,595.00,0.22,2.39,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Motherson Sumi,Automotive,"6,128.00",0.21,2.19,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
TeamLease Ser.,Miscellaneous,"1,264.00",0.20,2.16,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
L&T; Finance,Banking & Financial Services,"9,362.00",0.18,1.94,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Cholamandalam,Banking & Financial Services,"1,517.00",0.17,1.76,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
IOC,Oil & Gas,"3,858.00",0.15,1.64,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Shankara Buildi,Miscellaneous,"1,010.00",0.14,1.53,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Sun Pharma,Pharmaceuticals,"2,749.00",0.14,1.47,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
J. K. Cement,Cement & Construction,"1,398.00",0.13,1.42,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Interglobe Avi,Services,"1,202.00",0.13,1.40,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
United Brewerie,Food & Beverages,"1,569.00",0.13,1.37,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Sanofi India,Pharmaceuticals,264.00,0.11,1.16,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Container Corp,Services,783.00,0.11,1.12,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
MCX India,Miscellaneous,"1,016.00",0.11,1.12,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Can Fin Homes,Banking & Financial Services,398.00,0.11,1.12,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Titan Company,Miscellaneous,"1,647.00",0.10,1.02,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Shriram Trans,Banking & Financial Services,662.00,0.07,0.74,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
ISGEC Heavy Eng,Food & Beverages,108.00,0.07,0.74,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Ratnamani Metal,Metals & Mining,740.00,0.06,0.69,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Greenply Ind,Miscellaneous,"1,307.00",0.04,0.38,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
ICICI Lombard ,Conglomerates,431.00,0.03,0.31,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Bajaj Finance,Banking & Financial Services,"18,820.00",3.35,10.53,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
HPCL,Oil & Gas,"63,109.00",3.08,9.68,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Yes Bank,Banking & Financial Services,"17,380.00",3.05,9.57,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Petronet LNG,Oil & Gas,"130,725.00",2.97,9.33,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Maruti Suzuki,Automotive,"3,848.00",2.96,9.31,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Voltas,Conglomerates,"55,175.00",2.90,9.09,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
HDFC Bank,Banking & Financial Services,"15,910.00",2.83,8.88,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Larsen,Engineering & Capital Goods,"23,987.00",2.73,8.56,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Asian Paints,Chemicals,"22,860.00",2.67,8.39,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Shree Cements,Cement & Construction,"1,465.00",2.58,8.09,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
Tata Motors,Automotive,"60,033.00",2.26,7.10,JM Core 11 Fund -Direct (G),MJM324,2017-11-01 16:17:16.170000
SBI,Banking & Financial Services,"11,684,584.00",296.50,9.27,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
TVS Motor,Automotive,"4,206,314.00",276.99,8.66,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Tata Steel,Metals & Mining,"4,224,970.00",275.07,8.60,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
HDFC Bank,Banking & Financial Services,"1,477,668.00",266.43,8.33,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
ICICI Bank,Banking & Financial Services,"7,414,352.00",205.34,6.42,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Infosys,Information Technology,"2,064,090.00",185.51,5.80,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
ITC,Tobacco,"6,229,701.00",160.88,5.03,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Honeywell Autom,Telecommunication,"96,260.00",151.29,4.73,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Ambuja Cements,Cement & Construction,"4,833,748.00",128.58,4.02,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
TCS,Information Technology,"377,987.00",92.12,2.88,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Tata Motors,Automotive,"2,287,739.00",91.80,2.87,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Bharti Airtel,Telecommunication,"2,032,721.00",79.00,2.47,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
ABB India,Engineering & Capital Goods,"526,946.00",73.56,2.30,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Bharat Forge,Manufacturing,"1,193,249.00",70.37,2.20,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
UPL,Chemicals,"880,798.00",68.45,2.14,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Automotive Axle,Automotive,"722,089.00",63.01,1.97,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
HCL Tech,Information Technology,"676,630.00",59.17,1.85,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
GE T&D; India,Engineering & Capital Goods,"1,427,916.00",55.65,1.74,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Vedanta,Metals & Mining,"1,762,484.00",55.33,1.73,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Linde India,Chemicals,"1,319,212.00",49.58,1.55,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Axis Bank,Banking & Financial Services,"924,080.00",47.02,1.47,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
BPCL,Oil & Gas,"975,592.00",46.06,1.44,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Divis Labs,Pharmaceuticals,"527,433.00",45.10,1.41,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Federal-Mogul,Automotive,"888,729.00",43.82,1.37,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
BEML,Engineering & Capital Goods,"237,781.00",37.74,1.18,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Bank of Baroda,Banking & Financial Services,"2,628,544.00",36.14,1.13,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Cipla,Pharmaceuticals,"617,873.00",36.14,1.13,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
IOC,Oil & Gas,"879,464.00",35.18,1.10,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Siemens,Engineering & Capital Goods,"226,708.00",27.19,0.85,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Reliance Comm,Telecommunication,"2,665,375.00",5.12,0.16,Reliance Vision Fund - RP (G),MRC001,2017-11-01 16:17:20.210000
Bajaj Finance,Banking & Financial Services,"87,500.00",15.59,10.29,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
HDFC Bank,Banking & Financial Services,"62,015.00",11.02,7.27,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Maruti Suzuki,Automotive,"13,500.00",10.40,6.86,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
HPCL,Oil & Gas,"180,000.00",8.79,5.80,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
ITC,Tobacco,"287,500.00",8.11,5.35,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Eicher Motors,Automotive,"2,500.00",7.86,5.19,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
IOC,Oil & Gas,"170,000.00",7.73,5.10,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
ICICI Bank,Banking & Financial Services,"221,540.00",6.60,4.36,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Asian Paints,Chemicals,"45,750.00",5.35,3.53,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
HDFC,Banking & Financial Services,"30,000.00",5.33,3.52,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Larsen,Engineering & Capital Goods,"45,915.00",5.22,3.44,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
GAIL,Oil & Gas,"100,000.00",3.78,2.50,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Tata Motors,Automotive,"100,000.00",3.77,2.48,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
CARE,Miscellaneous,"25,000.00",3.71,2.45,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Cummins,Engineering & Capital Goods,"40,000.00",3.65,2.41,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Va Tech Wabag,Engineering & Capital Goods,"50,000.00",3.07,2.03,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Hindalco,Metals & Mining,"128,200.00",3.05,2.01,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Shree Cements,Cement & Construction,"1,692.00",2.98,1.96,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Balkrishna Ind,Automotive,"17,282.00",2.71,1.79,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Thermax,Engineering & Capital Goods,"30,000.00",2.67,1.76,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Yes Bank,Banking & Financial Services,"15,000.00",2.63,1.73,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Pidilite Ind,Chemicals,"31,000.00",2.59,1.71,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Grasim,Conglomerates,"20,000.00",2.39,1.58,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
SBI,Banking & Financial Services,"75,000.00",2.08,1.37,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Vedanta,Metals & Mining,"65,000.00",2.01,1.32,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
UltraTechCement,Cement & Construction,"5,000.00",2.00,1.32,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Kotak Mahindra,Banking & Financial Services,"20,000.00",1.95,1.29,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Tata Steel,Metals & Mining,"30,700.00",1.96,1.29,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
SKF India,Engineering & Capital Goods,"11,746.00",1.77,1.17,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Bank of Baroda,Banking & Financial Services,"125,000.00",1.72,1.14,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Bharat Forge,Manufacturing,"15,242.00",1.72,1.13,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Petronet LNG,Oil & Gas,"70,000.00",1.59,1.05,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.277000
Bajaj Finserv,Banking & Financial Services,"2,500.00",1.38,0.91,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.278000
Aditya Birla ,Miscellaneous,"28,000.00",0.52,0.34,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.278000
Bosch,Automotive,148.00,0.33,0.21,JM Multi Strategy Fund -Direct (G),MJM320,2017-11-01 16:17:25.278000
Reliance,Oil & Gas,"5,642.00",0.44,5.70,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Infosys,Information Technology,"4,716.00",0.42,5.49,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Hindalco,Metals & Mining,"12,594.00",0.30,3.92,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
HUL,Consumer Non-durables,"2,502.00",0.29,3.80,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Maruti Suzuki,Automotive,363.00,0.29,3.75,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Power Grid Corp,Utilities,"12,786.00",0.27,3.49,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Bajaj Finance,Banking & Financial Services,"1,468.00",0.27,3.49,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
GAIL,Oil & Gas,"5,147.00",0.22,2.79,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Hero Motocorp,Automotive,561.00,0.21,2.74,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
BPCL,Oil & Gas,"4,412.00",0.21,2.69,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
NTPC,Utilities,"12,187.00",0.20,2.64,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
SBI,Banking & Financial Services,"7,461.00",0.19,2.45,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Grasim,Conglomerates,"1,520.00",0.17,2.23,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
TCS,Information Technology,619.00,0.15,1.95,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
HDFC Bank,Banking & Financial Services,818.00,0.15,1.91,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Tata Steel,Metals & Mining,"1,966.00",0.13,1.66,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
ITC,Tobacco,"4,848.00",0.13,1.62,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Sun TV Network,Media & Entertainment,"1,633.00",0.12,1.61,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
IndusInd Bank,Banking & Financial Services,731.00,0.12,1.59,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Tata Comm,Telecommunication,"1,703.00",0.12,1.51,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Vedanta,Metals & Mining,"3,714.00",0.12,1.51,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
AU Small Financ,Banking & Financial Services,"1,917.00",0.11,1.41,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Tech Mahindra,Information Technology,"2,245.00",0.10,1.33,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Bajaj Finserv,Banking & Financial Services,196.00,0.10,1.31,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
HDFC,Banking & Financial Services,568.00,0.10,1.28,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
IGL,Oil & Gas,667.00,0.10,1.27,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Federal Bank,Banking & Financial Services,"8,646.00",0.10,1.26,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Colgate,Consumer Non-durables,783.00,0.08,1.08,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Piramal Enter,Pharmaceuticals,312.00,0.08,1.06,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Laurus Labs,Pharmaceuticals,"1,265.00",0.06,0.83,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
IOC,Oil & Gas,"1,390.00",0.06,0.72,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Avenue Supermar,Retail & Real Estate,509.00,0.05,0.71,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Eris Life,Pharmaceuticals,952.00,0.05,0.71,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
JSW Steel,Metals & Mining,"2,116.00",0.05,0.68,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Ramco Cements,Cement & Construction,748.00,0.05,0.67,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Aditya Birla ,Miscellaneous,"2,692.00",0.05,0.64,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
HPCL,Oil & Gas,978.00,0.04,0.54,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
Eicher Motors,Automotive,13.00,0.04,0.51,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
UltraTechCement,Cement & Construction,82.00,0.03,0.41,Kotak Classic Equity - Direct (G),MKM530,2017-11-01 16:17:32.530000
