Equity,Sector,Qty,Value,%,Fund_Name,Fund_Code,Time_Stamp
Maruti Suzuki,Automotive,"2,191.00",1.75,4.86,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Kotak Mahindra,Banking & Financial Services,"17,258.00",1.73,4.81,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
IndusInd Bank,Banking & Financial Services,"10,175.00",1.71,4.76,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
PNB Housing Fin,Banking & Financial Services,"10,555.00",1.56,4.35,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
MRF,Automotive,245.00,1.54,4.29,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Titan Company,Miscellaneous,"26,268.00",1.54,4.27,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
IOC,Oil & Gas,"37,890.00",1.52,4.22,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
CDSL,Banking & Financial Services,"44,088.00",1.51,4.19,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
South Ind Bk,Banking & Financial Services,"515,172.00",1.45,4.04,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
RBL Bank,Banking & Financial Services,"27,310.00",1.38,3.85,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Bharat Elec,Manufacturing,"83,494.00",1.36,3.78,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Kajaria Ceramic,Cement & Construction,"18,264.00",1.29,3.60,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Petronet LNG,Oil & Gas,"51,483.00",1.19,3.31,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Astral Poly Tec,Manufacturing,"15,966.00",1.18,3.28,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Bajaj Finance,Banking & Financial Services,"6,319.00",1.16,3.23,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Dishman Carboge,Miscellaneous,"32,478.00",1.10,3.05,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Eris Life,Pharmaceuticals,"18,954.00",1.09,3.04,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Eicher Motors,Automotive,348.00,1.09,3.02,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
SIS,Miscellaneous,"13,402.00",1.07,2.98,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Dollar Ind,Manufacturing,"26,280.00",1.07,2.97,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Skipper,Miscellaneous,"44,502.00",0.94,2.61,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Minda Ind,Automotive,"11,202.00",0.93,2.58,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Avenue Supermar,Retail & Real Estate,"8,236.00",0.89,2.47,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Infosys,Information Technology,"8,631.00",0.78,2.16,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Sagar Cement,Cement & Construction,"6,968.00",0.57,1.59,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Rane Holdings,Automotive,"2,575.00",0.45,1.24,IDFC Imperial Equity - Direct (G),MAG727,2017-11-01 16:16:56.883000
Maruti Suzuki,Automotive,"18,220.00",14.54,4.86,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Kotak Mahindra,Banking & Financial Services,"143,544.00",14.39,4.81,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
IndusInd Bank,Banking & Financial Services,"84,634.00",14.24,4.76,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
PNB Housing Fin,Banking & Financial Services,"87,793.00",13.01,4.35,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
MRF,Automotive,"2,037.00",12.83,4.29,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Titan Company,Miscellaneous,"218,486.00",12.77,4.27,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
IOC,Oil & Gas,"315,157.00",12.62,4.22,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
CDSL,Banking & Financial Services,"366,709.00",12.53,4.19,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
South Ind Bk,Banking & Financial Services,"4,284,979.00",12.08,4.04,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
RBL Bank,Banking & Financial Services,"227,150.00",11.52,3.85,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Bharat Elec,Manufacturing,"694,471.00",11.31,3.78,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Kajaria Ceramic,Cement & Construction,"151,913.00",10.77,3.60,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Petronet LNG,Oil & Gas,"428,210.00",9.90,3.31,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Astral Poly Tec,Manufacturing,"132,798.00",9.81,3.28,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Bajaj Finance,Banking & Financial Services,"52,561.00",9.66,3.23,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Dishman Carboge,Miscellaneous,"270,138.00",9.12,3.05,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Eris Life,Pharmaceuticals,"157,653.00",9.09,3.04,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Eicher Motors,Automotive,"2,894.00",9.03,3.02,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
SIS,Miscellaneous,"111,470.00",8.91,2.98,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Dollar Ind,Manufacturing,"218,584.00",8.88,2.97,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Skipper,Miscellaneous,"370,152.00",7.81,2.61,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Minda Ind,Automotive,"93,170.00",7.72,2.58,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Avenue Supermar,Retail & Real Estate,"68,504.00",7.39,2.47,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Infosys,Information Technology,"71,792.00",6.46,2.16,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Sagar Cement,Cement & Construction,"57,961.00",4.76,1.59,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
Rane Holdings,Automotive,"21,415.00",3.71,1.24,IDFC Imperial Equity - Regular (G),MAG096,2017-11-01 16:17:00.548000
HDFC Bank,Banking & Financial Services,"4,462.00",0.80,8.55,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
IndusInd Bank,Banking & Financial Services,"4,377.00",0.73,7.81,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Reliance,Oil & Gas,"8,674.00",0.68,7.21,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Maruti Suzuki,Automotive,785.00,0.63,6.65,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
ICICI Bank,Banking & Financial Services,"18,484.00",0.51,5.44,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Larsen,Engineering & Capital Goods,"3,867.00",0.44,4.69,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Kotak Mahindra,Banking & Financial Services,"4,386.00",0.44,4.67,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
TCS,Information Technology,"1,444.00",0.35,3.74,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Britannia,Food & Beverages,726.00,0.32,3.35,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
HCL Tech,Information Technology,"3,153.00",0.28,2.93,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Power Grid Corp,Utilities,"12,642.00",0.27,2.83,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Tata Motors,Automotive,"6,613.00",0.27,2.82,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Coromandel Int,Chemicals,"5,774.00",0.25,2.65,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
Heritage Foods,Food & Beverages,"3,271.00",0.24,2.52,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
CDSL,Banking & Financial Services,"6,746.00",0.23,2.45,Invesco India Growth Fund-DP (G),MLI560,2017-11-01 16:17:06.839000
