,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
65,Geojit Fin,bonus,29-03-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/financegeneral/geojitfinancialservices/GBN01,
66,The Hi-Tech Gea,bonus,16-03-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/thehitechgears/HTG,
67,Shivalik Bimeta,bonus,15-03-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/shivalikbimetalcontrols/SBC01,
68,Sumeet Ind,bonus,14-03-2005,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/sumeetindustries/SI45,
69,Glenmark,bonus,04-03-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,
70,TechNVision,bonus,02-03-2005,0.09090909090909093,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/technvisionventures/STL01,
71,Motherson Sumi,bonus,24-02-2005,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01,
72,Marsons,bonus,22-02-2005,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/electricequipment/marsons/M01,
73,Geodesic,bonus,18-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/geodesic/G05,
74,Ircon Internati,bonus,18-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/irconinternational/II07,
75,Vyapar Ind,bonus,18-02-2005,0.2222222222222222,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/vyaparindustries/VI18,
76,Ind Motor Parts,bonus,16-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/trading/indiamotorpartsaccessories/IMP03,
77,MM Forgings,bonus,16-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mmforgings/MMF,
78,Vedanta,bonus,16-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,
79,Aarti Ind,bonus,09-02-2005,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,
80,Guj NRE Coke,bonus,09-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratnrecoke/GNR,
81,Guj NRE (DVR),bonus,09-02-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gujaratnrecokedvr/GNR01,
82,Ipca Labs,bonus,28-01-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL,
83,Aftek,bonus,27-01-2005,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14,
84,Matrix Lab,bonus,13-01-2005,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/matrixlaboratories/ML07,
85,HSIL,bonus,05-01-2005,0.6,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,
0,Exdon Trading,bonus,31-12-2008,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/exdontradingcompany/ETC01,
1,Compucom Soft,bonus,24-12-2008,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/compucomsoftware/CS14,
