COUNT,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
0,Apollo Tricoat,split,31-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PIF03,
1,Info Drive Soft,split,24-12-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IDS01,
2,Shivamshree Bus,split,24-12-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SB13,
3,Omansh Ente,split,24-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=OE04,
4,PNB,split,18-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PNB05,
5,Inceptum Ent,split,18-12-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AE17,
6,JK Tyre & Ind,split,18-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JKT01,
7,Syschem India,split,12-12-2014,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI71,
8,ICICI Bank,split,04-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ICI02,
9,Godfrey Phillip,split,28-11-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GPI,
10,Roto Pumps,split,27-11-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RP17,
11,Classic Global,split,27-11-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CGF,
12,Surana Solar,split,25-11-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SV05,
13,Surana Telecom,split,25-11-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ST12,
14,Zen Tech,split,21-11-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ZT01,
15,Sanguine Media,split,20-11-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SML03,
16,Excel Castronic,split,20-11-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AG,
17,SBI,split,20-11-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SBI,
