SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Empower India,split,06-10-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EI18,
Millennium Cybe,split,03-10-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MC22,
Manugraph Ind,split,03-10-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MI08,
Veerhealth Care,split,28-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NI08,
BLS Infotech,split,28-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BI26,
UPL,split,27-09-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=UP04,
Sambhaav Media,split,26-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SM16,
Nila Infra,split,26-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NHI,
Jay BharatMarut,split,23-09-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JBM,
Shrenuj and Co,split,23-09-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SC13,
ITC,split,21-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ITC,
Pidilite Ind,split,20-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PI11,
DCW,split,20-09-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DCW,
Chandni Textile,split,19-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CT09,
KSL & Ind,split,16-09-2005,0.4,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KSL04,
Bharat Bijlee,split,09-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BB,
Rajesh Exports,split,09-09-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RE07,
Castex Tech,split,08-09-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AI49,
Ind Tra Deco,split,02-09-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ITD,
Hindalco,split,30-08-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HI,
Kedia Infotech,split,26-08-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KI21,
Aeonian Pub,split,25-08-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AI07,
