COUNT,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
20,JAYAGROGN,split,21-08-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JAO,
21,SATYAMCOMP,split,07-08-2000,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SCS,
22,ELGIEQUIP,split,02-08-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EE01,
23,HINDUNILVR,split,03-07-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HU,
24,ITIL,split,19-06-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IT01,
25,COMPUTECH,split,15-05-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CI15,
26,VATSMUSC,split,10-05-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VM05,
27,BLBLIMITED,split,02-05-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BLB,
28,DOLAT,split,02-05-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DI11,
29,POLARIS,split,02-05-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PSL01,
30,INFY,split,24-01-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IT,
1,GUJCOTEX,split,22-11-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/gujaratcotex/GC09,
2,HIMGRANITE,split,08-11-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/himalayagranites/HG,
5,SATIA,split,15-10-2019,0.1,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/amalgamatedelectricity/SI96,
7,HDFCBANK,split,19-09-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,
10,SESHAPAPER,split,19-08-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/paper/seshasayeepaperboards/SPB,
12,APCOTEXIND,split,04-07-2019,0.4,https://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58,
14,CHOLAFIN,split,14-06-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,
15,JMA,split,14-05-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/JMA,
17,MCL,split,02-05-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/orienttradelink/MC07,
23,SARASIND,split,28-03-2019,0.1,https://www.moneycontrol.com/india/stockpricequote/sugar/saraswatiindustrialsyndicate/SIS06,
28,RADIOCITY,split,20-02-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/MB05,
32,GUJGASLTD,split,15-01-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgascompany/GGC,
1,UJAAS,split,21-12-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=S18,
3,SETUINFRA,split,13-12-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PC02,
8,RUBYMILLS,split,22-11-2012,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RM04,
9,NACLIND,split,22-11-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NA04,
10,SHALPAINTS,split,22-11-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SP13,
11,BBTC,split,08-11-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BBT,
16,KANANIIND,split,01-11-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KI26,
18,BOMDYEING,split,30-10-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BDM,
19,ORISSAMINE,split,29-10-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=OMD,
21,GOENKA,split,25-10-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GDJ01,
22,AMRUTANJAN,split,25-10-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AHC01,
25,AMARAJABAT,split,25-09-2012,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ARB,
26,GSFC,split,20-09-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GSF,
28,VTMLTD,split,16-08-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VTM,
30,AJANTPHARM,split,09-08-2012,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AP22,
33,GRUH,split,24-07-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GRU,
34,ZYLOG,split,29-06-2012,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ZS,
36,RMMIL,split,14-06-2012,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RMM01,
38,AVTNPL,split,07-06-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AVT02,
41,GRAVITA,split,25-05-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI09,
42,INDOCO,split,17-05-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IR05,
43,ARVINDREM,split,14-05-2012,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AR06,
46,VAKRANGEE,split,12-04-2012,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VS,
50,NDL,split,07-03-2012,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NE06,
51,PLASTIBLEN,split,29-02-2012,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PI13,
54,CAMLINFINE,split,15-02-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CFC03,
55,SYMPHONY,split,15-02-2012,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SCS04,
