SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,ISIN
Jindal Worldwid,split,2017-12-26,0.5,https://www.moneycontrol.com/india/stockpricequote/trading/jindalworldwide/JW01,INE247D01039
Premier Pipes,split,2017-12-22,0.5,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/premierpipes/QST,INE448N01024
Advik Industrie,split,2017-12-14,0.1,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/premierpipes/AIL04,INE178T01024
Universal Sec,split,2017-12-04,0.2,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/universalcreditsecurities/UCS,INE607F01039
JMD Telefilms,split,2017-12-04,10,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jmdtelefilmsindustries/AF25,INE047E01031
Akar Tools,split,2017-11-29,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/akartools/AT04,INE864E01021
Esaar (India),split,2017-11-10,10,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/esaarindialtd/EIL02,INE404L01039
IGL,split,2017-11-09,0.2,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,INE203G01027
Jagdamba Polyme,split,2017-11-01,0.1,https://www.moneycontrol.com/india/stockpricequote/packaging/jagdambapolymers/JP01,INE564J01026
Atlas Cycles,split,2017-10-30,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08,INE446A01025
BAMPSL Sec,split,2017-10-26,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bampslsecurities/BAM,INE802A01037
Siyaram Silk,split,2017-10-25,0.2,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/siyaramsilkmills/SSM05,INE076B01028
Vishal Fabrics,split,2017-10-24,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/siyaramsilkmills/VF01,INE755Q01025
Blue Circle Ser,split,2017-10-23,10,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bluecircleservicesltd/BCS,INE526K01031
