SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,ISIN
Mishtann Foods,split,05-05-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/takmachineryleasing/MF21,INE094S01041
HICS Cements,split,05-05-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/cementmini/hicscements/HIC,INE094S01041
Beardsell,split,04-05-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/B06,INE520H01022
Dwekam Industri,split,28-04-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/DI28,INE575D01033
BLS Internation,split,26-04-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/BLS,INE153T01027
Avance Tech,split,24-04-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/avancetechnologies/AT18,INE758A01056
Ontic Finserve,split,13-04-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/avancetechnologies/OF04,INE989S01034
Maral Finance,split,13-04-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maralfinance/MF12,INE989S01034
SVC Resources,split,23-03-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/trading/svcresources/PT11,INE254H01044
Veronica Prod,split,23-03-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/dhvanilchemicals/DC09,INE008M01044
Bharat Elec,split,16-03-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,INE263A01024
Viaan Ind,split,09-03-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/HSG01,INE324N01027
Aadhaar Venture,split,02-03-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/prranetaindustries/PI37,INE063D01030
Nutraplus India,split,27-02-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nutraplusproductindia/NPI03,INE230G01020
Dwitiya Trading,split,17-02-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nutraplusproductindia/DT10,INE222P01028
Allied Computer,split,17-02-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/alliedcomputersinternationalasia/ACI13,INE335I01056
Compuage Info,split,16-02-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/computershardware/compuageinfocom/CI29,INE070C01037
Gayatri Project,split,10-02-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gayatriprojects/GP10,INE336H01023
LT Foods,split,07-02-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ltfoods/LTF,INE818H01020
Kallam Spinning,split,02-02-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kallamspinningmills/KSM,INE629F01025
Rasoi,split,02-02-2017,20.0,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/rasoi/R01,INE349E01023
Khemani Distrib,split,02-02-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/rasoi/KDM,INE030U01025
Ushdev Intl,split,30-01-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/trading/ushdevinternational/UI11,INE981D01025
Sanguine Media,split,19-01-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sanguinemedialtd/SML03,INE617F01038
Sterling Tools,split,09-01-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/fasteners/sterlingtools/ST,INE334A01023
JSW Steel,split,04-01-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01,INE019A01038
ORIENTAL AROMAT,split,13-12-2018,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/camphoralliedproducts/CAP,INE959C01023
Britannia,split,29-11-2018,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,INE216A01030
Mangal Credit,split,26-11-2018,10.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/takmachineryleasing/TML,INE545L01039
Brijlaxmi Lease,split,15-11-2018,10.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/brijlaxmileasingfinance/BLF04,INE957E01031
Oriental Veneer,split,14-11-2018,0.1,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/orientalveneerproducts/OVP,INE457G01029
