fundname,code,link,Do_Not_Use,fund_category
Sundaram Equity Hybrid Fund - D (G),MSN557,/mutual-funds/nav/sundaram-equity-hybrid-fund-d/MSN557,,Balanced
Kotak Balanced Advantage - Reg. (G),MKM1177,/mutual-funds/nav/kotak-balanced-advantage-reg-/MKM1177,,Balanced
MMF Bal Vikas Yojana - RP (G),MMH031,/mutual-funds/nav/mmf-bal-vikas-yojana-rp/MMH031,,Balanced
MMF Bal Vikas Yojana - DP (G),MMH033,/mutual-funds/nav/mmf-bal-vikas-yojana-dp/MMH033,,Balanced
ABSL Nifty Next 50 ETF,MBS2916,/mutual-funds/nav/absl-nifty-next-50-etf/MBS2916,,Large
ICICI Pru Value Fund - Sr 2-DP (D),MPI1705,/mutual-funds/nav/icici-pru-value-fund-sr-2-dp/MPI1705,,Value
Sundaram Equity Hybrid Fund - D (G),MSN557,/mutual-funds/nav/sundaram-equity-hybrid-fund-d/MSN557,,AgressiveHybrid
Kotak Balanced Advantage - Reg. (G),MKM1177,/mutual-funds/nav/kotak-balanced-advantage-reg-/MKM1177,,AgressiveHybrid
MMF Bal Vikas Yojana - RP (G),MMH031,/mutual-funds/nav/mmf-bal-vikas-yojana-rp/MMH031,,AgressiveHybrid
MMF Bal Vikas Yojana - DP (G),MMH033,/mutual-funds/nav/mmf-bal-vikas-yojana-dp/MMH033,,AgressiveHybrid
Reliance Capital Builder-II-Sr-B DP(G),MRC1763,/mutual-funds/nav/reliance-capital-builder-ii-sr-b-dp/MRC1763,,Diversified
DSP A.C.E Fund - Sr. 1 - Direct (G),MDS1276,/mutual-funds/nav/dsp-a-c-e-fund-sr-1-direct/MDS1276,,Diversified
DSP 3Y Close Ended Equity - DP (G),MDS1125,/mutual-funds/nav/dsp-3y-close-ended-equity-dp/MDS1125,,Diversified
DSP A.C.E Fund - Sr. 1 - Regular (G),MDS1278,/mutual-funds/nav/dsp-a-c-e-fund-sr-1-regular/MDS1278,,Diversified
DSP 3Y Close Ended Equity - RP (G),MDS1123,/mutual-funds/nav/dsp-3y-close-ended-equity-rp/MDS1123,,Diversified
Motilal Oswal Multicap 35 - D (G),MMO031,/mutual-funds/nav/motilal-oswal-multicap-35-d/MMO031,,Diversified
Taurus Starshare MCF - D (G),MCM149,/mutual-funds/nav/taurus-starshare-mcf-d/MCM149,,Diversified
Kotak India Growth Fund-Sr V-Dir. (G),MKM1135,/mutual-funds/nav/kotak-india-growth-fund-sr-v-dir-/MKM1135,,Diversified
Kotak India Growth Fund-Sr IV-Dir. (G),MKM1087,/mutual-funds/nav/kotak-india-growth-fund-sr-iv-dir-/MKM1087,,Diversified
Axis CBF Sr.1 - DP (G),MAA741,/mutual-funds/nav/axis-cbf-sr-1-dp/MAA741,,Diversified
Kotak India Growth Fund-Sr VII-Dir. (G),MKM1211,/mutual-funds/nav/kotak-india-growth-fund-sr-vii-dir-/MKM1211,,Diversified
Kotak India Growth Fund-Sr II - RP (G),MKM944,/mutual-funds/nav/kotak-india-growth-fund-sr-ii-rp/MKM944,,Diversified
DSP A.C.E Fund - Sr. 2 - Direct (G),MDS1316,/mutual-funds/nav/dsp-a-c-e-fund-sr-2-direct/MDS1316,,Diversified
Kotak India Growth Fund-Sr II - Dir (G),MKM946,/mutual-funds/nav/kotak-india-growth-fund-sr-ii-dir/MKM946,,Diversified
Tata Multi Cap - Dir. (G),MTA1327,/mutual-funds/nav/tata-multi-cap-dir-/MTA1327,,Diversified
Tata Multi Cap - Reg. (G),MTA1329,/mutual-funds/nav/tata-multi-cap-reg-/MTA1329,,Diversified
DSP A.C.E Fund - Sr. 2 - Regular (G),MDS1318,/mutual-funds/nav/dsp-a-c-e-fund-sr-2-regular/MDS1318,,Diversified
Axis CBF Sr.1 - RP (G),MAA743,/mutual-funds/nav/axis-cbf-sr-1-rp/MAA743,,Diversified
ICICI Pru RIGHT Fund (G),MPI691,/mutual-funds/nav/icici-pru-right-fund/MPI691,,ELSS
Sundaram LT Tax Adv.- Sr-V- DP (G),MSN1432,/mutual-funds/nav/sundaram-lt-tax-adv-sr-v-dp/MSN1432,,ELSS
Sundaram LT Tax Adv.- Sr-V- RP (G),MSN1430,/mutual-funds/nav/sundaram-lt-tax-adv-sr-v-rp/MSN1430,,ELSS
Axis DEF - DP (G),MAA729,/mutual-funds/nav/axis-def-dp/MAA729,,MIPA
DHFL Pramerica Hybrid Debt Fund - D (G),MDE516,/mutual-funds/nav/dhfl-pramerica-hybrid-debt-fund-d/MDE516,,MIPC
Reliance US Equity Opp. Fund DP (G),MRC1902,/mutual-funds/nav/reliance-us-equity-opp-fund-dp/MRC1902,,Banking
ABSL India GenNext (G),MBS087,/mutual-funds/nav/absl-india-gennext/MBS087,,Banking
ICICI Pru Exports & Services - D (G),MPI1122,/mutual-funds/nav/icici-pru-exports-services-d/MPI1122,,Banking
Sundaram Rural and Consumption - D (G),MSN574,/mutual-funds/nav/sundaram-rural-and-consumption-d/MSN574,,Banking
L&T; Infrastructure -Direct (G),MCC285,/mutual-funds/nav/l-t-infrastructure-direct/MCC285,,Banking
Reliance US Equity Opp. Fund DP (G),MRC1902,/mutual-funds/nav/reliance-us-equity-opp-fund-dp/MRC1902,,Technology
ABSL India GenNext (G),MBS087,/mutual-funds/nav/absl-india-gennext/MBS087,,Technology
ICICI Pru Exports & Services - D (G),MPI1122,/mutual-funds/nav/icici-pru-exports-services-d/MPI1122,,Technology
Sundaram Rural and Consumption - D (G),MSN574,/mutual-funds/nav/sundaram-rural-and-consumption-d/MSN574,,Technology
L&T; Infrastructure -Direct (G),MCC285,/mutual-funds/nav/l-t-infrastructure-direct/MCC285,,Technology
Reliance Capital Builder-II-Sr-B DP(G),MRC1763,/mutual-funds/nav/reliance-capital-builder-ii-sr-b-dp/MRC1763,,Multicap
DSP A.C.E Fund - Sr. 1 - Direct (G),MDS1276,/mutual-funds/nav/dsp-a-c-e-fund-sr-1-direct/MDS1276,,Multicap
DSP 3Y Close Ended Equity - DP (G),MDS1125,/mutual-funds/nav/dsp-3y-close-ended-equity-dp/MDS1125,,Multicap
DSP A.C.E Fund - Sr. 1 - Regular (G),MDS1278,/mutual-funds/nav/dsp-a-c-e-fund-sr-1-regular/MDS1278,,Multicap
DSP 3Y Close Ended Equity - RP (G),MDS1123,/mutual-funds/nav/dsp-3y-close-ended-equity-rp/MDS1123,,Multicap
Motilal Oswal Multicap 35 - D (G),MMO031,/mutual-funds/nav/motilal-oswal-multicap-35-d/MMO031,,Multicap
Taurus Starshare MCF - D (G),MCM149,/mutual-funds/nav/taurus-starshare-mcf-d/MCM149,,Multicap
Kotak India Growth Fund-Sr V-Dir. (G),MKM1135,/mutual-funds/nav/kotak-india-growth-fund-sr-v-dir-/MKM1135,,Multicap
Kotak India Growth Fund-Sr IV-Dir. (G),MKM1087,/mutual-funds/nav/kotak-india-growth-fund-sr-iv-dir-/MKM1087,,Multicap
Axis CBF Sr.1 - DP (G),MAA741,/mutual-funds/nav/axis-cbf-sr-1-dp/MAA741,,Multicap
Kotak India Growth Fund-Sr VII-Dir. (G),MKM1211,/mutual-funds/nav/kotak-india-growth-fund-sr-vii-dir-/MKM1211,,Multicap
Kotak India Growth Fund-Sr II - RP (G),MKM944,/mutual-funds/nav/kotak-india-growth-fund-sr-ii-rp/MKM944,,Multicap
DSP A.C.E Fund - Sr. 2 - Direct (G),MDS1316,/mutual-funds/nav/dsp-a-c-e-fund-sr-2-direct/MDS1316,,Multicap
Kotak India Growth Fund-Sr II - Dir (G),MKM946,/mutual-funds/nav/kotak-india-growth-fund-sr-ii-dir/MKM946,,Multicap
Tata Multi Cap - Dir. (G),MTA1327,/mutual-funds/nav/tata-multi-cap-dir-/MTA1327,,Multicap
Tata Multi Cap - Reg. (G),MTA1329,/mutual-funds/nav/tata-multi-cap-reg-/MTA1329,,Multicap
DSP A.C.E Fund - Sr. 2 - Regular (G),MDS1318,/mutual-funds/nav/dsp-a-c-e-fund-sr-2-regular/MDS1318,,Multicap
Axis CBF Sr.1 - RP (G),MAA743,/mutual-funds/nav/axis-cbf-sr-1-rp/MAA743,,Multicap
Axis Gold ETF,MAA093,/mutual-funds/nav/axis-gold-etf/MAA093,,index
Birla Sun Life Gold ETF (G),MBS563,/mutual-funds/nav/birla-sun-life-gold-etf/MBS563,,index
Reliance ETF Gold BeES,MBM017,/mutual-funds/nav/reliance-etf-gold-bees/MBM017,,index
ICICI Prudential Nifty Low Vol 30 ETF,MPI3352,/mutual-funds/nav/icici-prudential-nifty-low-vol-30-etf/MPI3352,,index
Reliance ETF Dividend Opportunities,MRC1519,/mutual-funds/nav/reliance-etf-dividend-opportunities/MRC1519,,index
SBI - ETF SENSEX NEXT 50,MSB1421,/mutual-funds/nav/sbi-etf-sensex-next-50/MSB1421,,index
