fundname,code,link,Do_Not_Use,fund_category
JM Multicap Fund (G),MJM238,https://www.moneycontrol.com/mutual-funds/nav/jm-multicap-fund/MJM238,,Multi Cap Fund
IDFC Sterling Value Fund (G),MAG162,https://www.moneycontrol.com/mutual-funds/nav/idfc-sterling-value-fund/MAG162,,Value Fund
Baroda Pioneer Bank&Fin.-Direct (G),MBO107,https://www.moneycontrol.com/mutual-funds/nav/baroda-pioneer-bank-fin-direct/MBO107,,Sectoral/Thematic
Sundaram Fin-Serv Opp. -Direct (G),MSN549,https://www.moneycontrol.com/mutual-funds/nav/sundaram-fin-serv-opp-direct/MSN549,,Sectoral/Thematic
SBI Magnum Global Fund (G),MSB011,https://www.moneycontrol.com/mutual-funds/nav/sbi-magnum-global-fund/MSB011,,Sectoral/Thematic
Sundaram Fin-Serv. Opp.-IP (G),MSN229,https://www.moneycontrol.com/mutual-funds/nav/sundaram-fin-serv-opp-ip/MSN229,,Sectoral/Thematic
HDFC Hybrid Equity Fund - D (G),MHD1163,https://www.moneycontrol.com/mutual-funds/nav/hdfc-hybrid-equity-fund-d/MHD1163,,Aggressive Hybrid Fund
SBI Large & Midcap Fund - D (G),MSB501,https://www.moneycontrol.com/mutual-funds/nav/sbi-large-midcap-fund-d/MSB501,,Large & Mid Cap Fund
ABSL Equity Advantage Fund (G),MBS022,https://www.moneycontrol.com/mutual-funds/nav/absl-equity-advantage-fund/MBS022,,Large & Mid Cap Fund
DSP Tax Saver Fund - Regular (G),MDS060,https://www.moneycontrol.com/mutual-funds/nav/dsp-tax-saver-fund-regular/MDS060,,ELSS
Taurus Bank & Fin. Serv.-Direct (G),MCM159,https://www.moneycontrol.com/mutual-funds/nav/taurus-bank-fin-serv-direct/MCM159,,Sectoral/Thematic
ICICI Pru Nifty Next 50 Index (G),MPI751,https://www.moneycontrol.com/mutual-funds/nav/icici-pru-nifty-next-50-index/MPI751,,Large Cap Fund
PP Long Term Equity Fund -DP (G),MPP002,https://www.moneycontrol.com/mutual-funds/nav/pp-long-term-equity-fund-dp/MPP002,,Multi Cap Fund
Franklin (I) Tax Shield -Direct (G),MTE311,https://www.moneycontrol.com/mutual-funds/nav/franklin-i-tax-shield-direct/MTE311,,ELSS
Reliance Value Fund - Direct (G),MRC1016,https://www.moneycontrol.com/mutual-funds/nav/reliance-value-fund-direct/MRC1016,,Value Fund
Principal Multi Cap Growth Fund (G),MID010,https://www.moneycontrol.com/mutual-funds/nav/principal-multi-cap-growth-fund/MID010,,
Taurus Infrastructure (G),MCM012,https://www.moneycontrol.com/mutual-funds/nav/taurus-infrastructure/MCM012,,Sectoral/Thematic
Kotak Tax Saver - Regular (G),MKM081,https://www.moneycontrol.com/mutual-funds/nav/kotak-tax-saver-regular/MKM081,,ELSS
BNP Paribas Multi Cap Fund - D (G),MAB722,https://www.moneycontrol.com/mutual-funds/nav/bnp-paribas-multi-cap-fund-d/MAB722,,Multi Cap Fund
Reliance Large Cap Fund - RP (G),MRC155,https://www.moneycontrol.com/mutual-funds/nav/reliance-large-cap-fund-rp/MRC155,,Large Cap Fund
HDFC Capital Builder Value Fund (G),MZU016,https://www.moneycontrol.com/mutual-funds/nav/hdfc-capital-builder-value-fund/MZU016,,Value Fund
SBI Consumption Opportunities - D (G),MSB524,https://www.moneycontrol.com/mutual-funds/nav/sbi-consumption-opportunities-d/MSB524,,
HDFC Equity Fund - Direct (G),MHD1144,https://www.moneycontrol.com/mutual-funds/nav/hdfc-equity-fund-direct/MHD1144,,Multi Cap Fund
Principal Tax Savings,MID026,https://www.moneycontrol.com/mutual-funds/nav/principal-tax-savings/MID026,,ELSS
Reliance Tax Saver (ELSS) (G),MRC101,https://www.moneycontrol.com/mutual-funds/nav/reliance-tax-saver-elss-/MRC101,,ELSS
Sahara Star Value Fund -Direct (G),MFI069,https://www.moneycontrol.com/mutual-funds/nav/sahara-star-value-fund-direct/MFI069,,Small & Mid Cap Equity
ICICI Prudential Equity & Debt - D (G),MPI1136,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-equity-debt-d/MPI1136,,Aggressive Hybrid Fund
Reliance Growth Fund - RP (G),MRC008,https://www.moneycontrol.com/mutual-funds/nav/reliance-growth-fund-rp/MRC008,,Mid Cap Fund
HDFC Long Term Advant. - Direct (G),MHD1157,https://www.moneycontrol.com/mutual-funds/nav/hdfc-long-term-advant-direct/MHD1157,,ELSS
