fundname,code,link,Do_Not_Use,fund_category
Sundaram SMILE Fund (G),MSN066,https://www.moneycontrol.com/mutual-funds/nav/sundaram-smile-fund/MSN066,,Small Cap Fund
DSP Natural Resourses - Direct (G),MDS582,https://www.moneycontrol.com/mutual-funds/nav/dsp-natural-resourses-direct/MDS582,,Sectoral/Thematic
ABSL India GenNext-Direct (G),MBS815,https://www.moneycontrol.com/mutual-funds/nav/absl-india-gennext-direct/MBS815,,Sectoral/Thematic
Reliance Banking Fund (G),MRC026,https://www.moneycontrol.com/mutual-funds/nav/reliance-banking-fund/MRC026,,Sectoral/Thematic
Tata RSF - Moderate - Direct,MTA792,https://www.moneycontrol.com/mutual-funds/nav/tata-rsf-moderate-direct/MTA792,,Retirement Fund
Quant Focused Fund -Direct (G),MES049,https://www.moneycontrol.com/mutual-funds/nav/quant-focused-fund-direct/MES049,,Large Cap Fund
Quant Active Fund - Direct (G),MES061,https://www.moneycontrol.com/mutual-funds/nav/quant-active-fund-direct/MES061,,Large Cap Fund
CR Consumer Trends Fund - D (G),MCA198,https://www.moneycontrol.com/mutual-funds/nav/cr-consumer-trends-fund-d/MCA198,,Sectoral/Thematic
ABSL Tax Relief '96-Direct (G),MBS847,https://www.moneycontrol.com/mutual-funds/nav/absl-tax-relief-96-direct/MBS847,,ELSS
ABSL Midcap Fund -Direct (G),MBS829,https://www.moneycontrol.com/mutual-funds/nav/absl-midcap-fund-direct/MBS829,,Mid Cap Fund
Kotak Infras. & Eco Reform - D (G),MAI089,https://www.moneycontrol.com/mutual-funds/nav/kotak-infras-eco-reform-d/MAI089,,Sectoral/Thematic
Quant Active Fund (G),MES005,https://www.moneycontrol.com/mutual-funds/nav/quant-active-fund/MES005,,Large Cap Fund
Quant Focused Fund (G),MES031,https://www.moneycontrol.com/mutual-funds/nav/quant-focused-fund/MES031,,Large Cap Fund
Taurus Discovery (Midcap) (G),MCM041,https://www.moneycontrol.com/mutual-funds/nav/taurus-discovery-midcap-/MCM041,,Mid Cap Fund
Reliance Focused Equity Fund (G),MRC110,https://www.moneycontrol.com/mutual-funds/nav/reliance-focused-equity-fund/MRC110,,Focused Fund
HSBC Small Cap Equity Fund - Direct (G),MHS331,https://www.moneycontrol.com/mutual-funds/nav/hsbc-small-cap-equity-fund-direct/MHS331,,Small Cap Fund
UTI Mid Cap (G),MUT063,https://www.moneycontrol.com/mutual-funds/nav/uti-mid-cap/MUT063,,Mid Cap Fund
Kotak Standard Multicap Fund - D (G),MKM520,https://www.moneycontrol.com/mutual-funds/nav/kotak-standard-multicap-fund-d/MKM520,,Multi Cap Fund
Reliance ETF Bank BeES,MBM004,https://www.moneycontrol.com/mutual-funds/nav/reliance-etf-bank-bees/MBM004,,Index Funds/ETFs
JM Core 11 Fund -Direct (G),MJM324,https://www.moneycontrol.com/mutual-funds/nav/jm-core-11-fund-direct/MJM324,,Large Cap Fund
BNP Paribas Mid Cap Fund -Dir (G),MAB726,https://www.moneycontrol.com/mutual-funds/nav/bnp-paribas-mid-cap-fund-dir/MAB726,,Mid Cap Fund
ABSL Equity Fund -Direct (G),MBS811,https://www.moneycontrol.com/mutual-funds/nav/absl-equity-fund-direct/MBS811,,Multi Cap Fund
Invesco India Financial Services (G),MLI257,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-financial-services/MLI257,,Sectoral/Thematic
Sundaram Rural and Consumption - D (G),MSN574,https://www.moneycontrol.com/mutual-funds/nav/sundaram-rural-and-consumption-d/MSN574,,Sectoral/Thematic
SBI Magnum Multicap Fund - Direct (G),MSB503,https://www.moneycontrol.com/mutual-funds/nav/sbi-magnum-multicap-fund-direct/MSB503,,Multi Cap Fund
UTI MNC Fund (G),MUT023,https://www.moneycontrol.com/mutual-funds/nav/uti-mnc-fund/MUT023,,Sectoral/Thematic
Invesco India Tax Plan - DP (G),MLI550,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-tax-plan-dp/MLI550,,ELSS
Mirae Asset GCF -Direct (G),MMA094,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-gcf-direct/MMA094,,Sectoral/Thematic
Sahara Midcap Fund - Direct (G),MFI075,https://www.moneycontrol.com/mutual-funds/nav/sahara-midcap-fund-direct/MFI075,,Small & Mid Cap Equity
Sahara Bkg & Fin. Serv. -Direct (G),MFI085,https://www.moneycontrol.com/mutual-funds/nav/sahara-bkg-fin-serv-direct/MFI085,,Sectoral/Thematic
HDFC Small Cap Fund (G),MMS002,https://www.moneycontrol.com/mutual-funds/nav/hdfc-small-cap-fund/MMS002,,Small Cap Fund
DSP Natural Resources - Regular (G),MDS160,https://www.moneycontrol.com/mutual-funds/nav/dsp-natural-resources-regular/MDS160,,Sectoral/Thematic
Mirae Asset India Equity - D (G),MMA096,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-india-equity-d/MMA096,,Multi Cap Fund
Invesco India Infra. -Direct (G),MLI558,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-infra-direct/MLI558,,Sectoral/Thematic
Franklin India Focused Equity (G),MTE117,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-focused-equity/MTE117,,Focused Fund
