SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Shree Digvijay,split,24-11-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SDC,
Bombay Burmah,split,16-11-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BBT,
West Coast Pap,split,18-07-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=WCP,
Cellulose Prods,split,15-06-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CPI01,
Tata Hydro,split,23-05-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=THE,
Andhra Valley,split,23-05-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AVP,
Tata Power,split,22-05-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TPC,
Mangal Credit,split,23-03-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TML,
NOCIL,split,10-03-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NOC02,
Killick Nixon,split,09-03-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KN,
Bajaj Electric,split,20-01-1995,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BE,
